FACTSET_ENTITY_ID_SEGMENT_SUB,g_S1,SOURCE_S1,ISO_COUNTRY
068SSB-E_Beverages_I00005,39025.40612590119,CDP,TUR
05JG97-E_Garment_I00006,471.97946807465513,CDP,TUR
05JG97-E_Textile_I00006,9194.141360927488,CDP,TUR
05J2PQ-E_Vehicle Tires_I00013,8203.81403398719,CDP,TUR
05J2TX-E_Cement_I00014,2.4788785853601187e6,CDP,TUR
05J2TX-E_Ready-mixed Concrete_I00014,533048.9203888491,CDP,TUR
061S53-E_Cement_I00014,3.6480311691685603e6,CDP,TUR
061S53-E_Ready-Mixed Concrete_I00014,1.712365503371011e6,CDP,TUR
05J2WY-E_Electronic Products and Systems_I00017,9527.15455237423,CDP,TUR
05HYX4-E_Motor Vehicles and Spare Parts_I00020,72290.79089703818,CDP,TUR
05HZCC-E_Automobile and Spare Parts Trading_I00020,60306.557527149,CDP,TUR
05HZCC-E_Consumer Financing_I00020,1506.4537917065666,CDP,TUR
05J0DM-E_Power Generation Services_I00024,1.1549656935262165e6,CDP,TUR
05KM47-E_Electricity & Steam_I00024,304757.9235245545,CDP,TUR
07NWS4-E_Food and Beverages and Consumer Durables_I00030,174127.99355233027,CDP,TUR
05HWS3-E_Corporate and Commercial Banking_I00041,18755.782949860895,CDP,TUR
05JD2P-E_Banking_I00041,760.6890578901231,CDP,TUR
0614RM-E_Banking_I00041,10436.131776428305,CDP,TUR
0614RM-E_Factoring_I00041,157.12957266078374,CDP,TUR
0614RM-E_Financing_I00041,52.97493770922863,CDP,TUR
0614RM-E_Leasing_I00041,226.59924115565192,CDP,TUR
0614RM-E_Securities Brokerage_I00041,230.27411373533627,CDP,TUR
06P6MQ-E_Duty Free Shop_I00041,10050.697796567943,CDP,TUR
06P6MQ-E_Ground Handling and Bus Management_I00041,8543.048734037087,CDP,TUR
06P6MQ-E_Terminal_I00041,19533.93000597786,CDP,TUR
05JD2P-E_Banking_I00043,104.73593080257297,CDP,TUR
0614RM-E_Banking_I00043,1436.9050852581222,CDP,TUR
0614RM-E_Factoring_I00043,21.634479789789268,CDP,TUR
0614RM-E_Financing_I00043,7.2938861846831164,CDP,TUR
0614RM-E_Leasing_I00043,31.199452911050027,CDP,TUR
0614RM-E_Securities Brokerage_I00043,31.70542995412942,CDP,TUR
Others-I00001-S,5.882379158936162e7,,TUR
Others-I00002-S,11547.262524438156,,TUR
Others-I00003-S,10664.332767478187,,TUR
Others-I00004-S,8.156283495630699e6,,TUR
Others-I00005-S,5.539621556213547e6,,TUR
Others-I00006-S,4.528470622362731e6,,TUR
Others-I00007-S,8.760164855196103e6,,TUR
Others-I00008-S,727500.596765456,,TUR
Others-I00009-S,365233.6987968734,,TUR
Others-I00010-S,1.6930041198502358e7,,TUR
Others-I00011-S,1.845987076208042e7,,TUR
Others-I00012-S,4.066361170742389e6,,TUR
Others-I00013-S,1.65660080500612e6,,TUR
Others-I00014-S,-2.9056900393190496e6,,TUR
Others-I00015-S,2.0277862308481302e7,,TUR
Others-I00016-S,767044.0270733002,,TUR
Others-I00017-S,127074.5982320473,,TUR
Others-I00018-S,779846.0223193278,,TUR
Others-I00019-S,520917.75725516444,,TUR
Others-I00020-S,324140.18834608246,,TUR
Others-I00021-S,54637.985363147905,,TUR
Others-I00022-S,1.0343143407124368e6,,TUR
Others-I00023-S,289613.8064713083,,TUR
Others-I00024-S,1.2265683846382265e8,,TUR
Others-I00025-S,152871.68724585333,,TUR
Others-I00026-S,5.7287810803249426e7,,TUR
Others-I00027-S,1.2152618861142406e6,,TUR
Others-I00028-S,657278.4329255183,,TUR
Others-I00029-S,2.6244076565998895e6,,TUR
Others-I00030-S,1.3617328070891941e7,,TUR
Others-I00031-S,6.115935807553606e7,,TUR
Others-I00032-S,3.634042395030564e6,,TUR
Others-I00033-S,1.4409330731536346e7,,TUR
Others-I00034-S,8.137186545730869e6,,TUR
Others-I00035-S,198273.56900173606,,TUR
Others-I00036-S,1.8557561388359377e6,,TUR
Others-I00037-S,274522.10328857333,,TUR
Others-I00038-S,233739.0803612264,,TUR
Others-I00039-S,719877.7857059466,,TUR
Others-I00040-S,324145.72103675734,,TUR
Others-I00041-S,1.1052675899540388e6,,TUR
Others-I00042-S,253161.85523077694,,TUR
Others-I00043-S,160011.46675349906,,TUR
Others-I00044-S,1.5545386773989275e6,,TUR
Others-I00045-S,1.682152354843633e6,,TUR
Others-I00046-S,502697.7739216467,,TUR
Others-I00047-S,324683.56866243744,,TUR
Others-I00048-S,19840.665723780614,,TUR
Others-I00049-S,435509.43408047344,,TUR
Others-I00050-S,116301.85795722663,,TUR
Others-I00051-S,111924.61490174732,,TUR
Others-I00052-S,43751.582122940395,,TUR
Others-I00053-S,111768.548021182,,TUR
Others-I00054-S,721916.2055379084,,TUR
Others-I00055-S,2.3330881945474623e6,,TUR
Others-I00056-S,1.4522108513548807e6,,TUR
Others-I00057-S,1.4387518518899377e6,,TUR
Others-I00058-S,91429.14924765375,,TUR
Others-I00059-S,285908.0969112981,,TUR
Others-I00060-S,199821.43924910927,,TUR
Others-I00061-S,237768.07749888723,,TUR
Others-I00062-S,181905.44744700153,,TUR
Others-I00063-S,276721.3533241716,,TUR
Others-I00064-S,3.0233210414474104e7,,TUR
