FACTSET_ENTITY_ID_SEGMENT_SUB,g_S1,SOURCE_S1,ISO_COUNTRY
05W3SN-E_Petrochemical_C00049,1.915995103806756e7,CDP,TWN
05HWFR-E_Plastic_C00054,2.3876122136132405e6,CDP,TWN
001KR6-E_Wafer Fabrication_C00079,182227.25834548316,CDP,TWN
001Y70-E_Foundry_C00079,1.568911e6,CDP,TWN
05HWHG-E_Energy_C00079,16841.20542568279,CDP,TWN
07NKRL-E_Backlight Application_C00079,19127.775089288392,CDP,TWN
07NKRL-E_Lighting Application_C00079,12661.935701740797,CDP,TWN
001KR6-E_Wafer Fabrication_C00080,10057.990131394456,CDP,TWN
05J2P7-E_Printed Circuit Board_C00081,3280.499303911192,CDP,TWN
001KR6-E_Wafer Fabrication_C00082,234586.77764200154,CDP,TWN
05HX62-E_Optoelectronics_C00082,113.46672608711114,CDP,TWN
05J3PK-E_Optoelectronics_C00082,28.581071254291054,CDP,TWN
05JZZV-E_Optical Components_C00082,83.5819146912019,CDP,TWN
001KR6-E_Wafer Fabrication_C00083,41548.97388112082,CDP,TWN
05HWHG-E_Display_C00083,255801.3901314056,CDP,TWN
05HWHG-E_Energy_C00083,3839.901948322478,CDP,TWN
05HX5Y-E_Industry Products_C00083,101.82473690682372,CDP,TWN
05J1ZM-E_LCD_C00083,0.0,CDP,TWN
05J1ZM-E_LED_C00083,0.0,CDP,TWN
05J3PK-E_Quartz Component_C00083,380.17270840022337,CDP,TWN
06J37R-E_Green Energy Products and Components_C00083,485.84809199370255,CDP,TWN
06M9PG-E_Electronics and Home Appliances_C00083,383601.61341330275,CDP,TWN
"06SKFG-E_Hardware Parts, Tool Parts, Manufacture, Processing and Sale of Various Terminals and Finished Connectors_C00083",715.5063866813977,CDP,TWN
07NKRL-E_Backlight Application_C00083,4361.254374370584,CDP,TWN
07NKRL-E_Lighting Application_C00083,2887.001870810398,CDP,TWN
09SZT7-E_Electronics Components_C00083,199.33114319640208,CDP,TWN
05HWF0-E_Electronics_C00084,293.9123914579884,CDP,TWN
05HWZK-E_Computer and Peripherals_C00084,383.954150422369,CDP,TWN
05HX62-E_Information Technology_C00084,129.95154023643133,CDP,TWN
05W8F4-E_Research & Development & Manufacturing Services_C00084,203.64468815413116,CDP,TWN
05YPVW-E_Thermal Module_C00084,541.0954404754416,CDP,TWN
065775-E_Computer-based Industrial Applications_C00084,124622.73073943792,CDP,TWN
05HWK8-E_Brand Marketing_C00085,37.07949314624321,CDP,TWN
05HWK8-E_Design Manufacturing Services_C00085,105.8612944933239,CDP,TWN
