FACTSET_ENTITY_ID_SEGMENT_SUB,g_S1,SOURCE_S1,ISO_COUNTRY
000L92-E_Land Management_111400,9146.86051196149,CDP,USA
003108-E_Seeds and Genomics_111900,1.0184044653789967e6,CDP,USA
"000T99-E_Asia, Middle East and North Africa_112120",188071.8981743502,CDP,USA
000T99-E_Europe Sub-Saharan Africa_112120,310060.494088223,CDP,USA
000T99-E_Latin America_112120,232628.5855690451,CDP,USA
000T99-E_Quaker Foods North America_112120,81048.05293221486,CDP,USA
000WMP-E_Packaged Meats_112A00,243459.34730052645,CDP,USA
000L92-E_Land Management_113000,28720.274157479384,CDP,USA
000YVQ-E_Timberlands_113000,302125.3830660992,CDP,USA
002KXV-E_Northern Resources_113000,10048.772592945712,CDP,USA
002KXV-E_Southern Resources_113000,25790.199610466578,CDP,USA
000WMP-E_Packaged Meats_115000,1138.4526610671337,CDP,USA
000BVL-E_Exploration and Production_211000,3.332469e6,CDP,USA
000C49-E_Oil & Gas Exploration & Production_211000,3.0757278997975807e6,CDP,USA
000HJ2-E_Oil & Gas Exploration & Production_211000,1.9025041502108413e6,CDP,USA
000RC9-E_Oil and Gas Exploration and Production_211000,1.220011e6,CDP,USA
000SSF-E_Midstream and Marketing_211000,530668.2399210124,CDP,USA
000SSF-E_Oil and Gas_211000,5.359423131612477e6,CDP,USA
000SW8-E_Natural Gas Gathering and Processing_211000,433627.68326735095,CDP,USA
00266T-E_Natural Gas Liquids_211000,38196.94062668674,CDP,USA
00266T-E_Natural Gas_211000,167263.9845700675,CDP,USA
00266T-E_Oil and Condensate_211000,30291.04410430867,CDP,USA
002M9F-E_Crude Oil and Condensate_211000,2.404607435848323e6,CDP,USA
002M9F-E_Natural Gas Liquids_211000,198651.36117107375,CDP,USA
002M9F-E_Natural Gas_211000,517042.8225479046,CDP,USA
002Q0G-E_Upstream_211000,2.178599763081911e6,CDP,USA
003GNF-E_Alaska_211000,2.165175280967811e6,CDP,USA
003GNF-E_Asia Pacific_211000,2.3612403374378914e6,CDP,USA
003GNF-E_Canada_211000,1.0629313721322098e6,CDP,USA
003GNF-E_Lower 48_211000,5.9282310094620865e6,CDP,USA
000R9Z-E_Copper_212230,246525.90632682107,CDP,USA
000R9Z-E_Gold_2122A0,1.271720093673179e6,CDP,USA
000KLW-E_FMC Lithium_2123A0,2572.5073116856965,CDP,USA
000LDD-E_Drilling and Evaluation_213111,284721.26390181476,CDP,USA
000LDD-E_Completion and Production_21311A,1.514408457973009e6,CDP,USA
000LDD-E_Drilling and Evaluation_21311A,809359.0206314779,CDP,USA
"00266T-E_Brokered Natural Gas, Marketing and Other_21311A",5275.703372071245,CDP,USA
002KXV-E_Energy and Natural Resources_21311A,128.4879509375872,CDP,USA
0DRJN7-E_Land Drilling Rigs_21311A,19425.690485288174,CDP,USA
000HMG-E_Power Delivery_221100,6.862486087517715e6,CDP,USA
000HMG-E_Power Generation_221100,2.297669301707868e7,CDP,USA
