FACTSET_ENTITY_ID_SEGMENT_SUB,g_S1,SOURCE_S1,ISO_COUNTRY
05HX0N-E_Coal_I00004,191033.31577032755,CDP,ZAF
0B6B7H-E_Mining_I00004,4397.7580066898545,CDP,ZAF
003KKT-E_Gold_I00005,99481.0,CDP,ZAF
008RN7-E_Kolomela Mine_I00005,125448.28780698683,CDP,ZAF
008RN7-E_Sishen Mine_I00005,375228.71950688836,CDP,ZAF
008RN7-E_Thabazimbi Mine_I00005,13786.735389314219,CDP,ZAF
05HQ0P-E_Mining_I00005,7102.0,CDP,ZAF
05HWCN-E_Mined_I00005,127332.19950580796,CDP,ZAF
0B6B7H-E_Mining_I00006,223.27993522593545,CDP,ZAF
05J16R-E_Explosives_I00017,49799.98662619951,CDP,ZAF
05J16R-E_Specialty Chemicals_I00017,57511.69957541512,CDP,ZAF
003JP3-E_Coke and Chemicals_I00025,508424.65437935735,CDP,ZAF
003JP3-E_Flat Steel_I00025,5.796160059258642e6,CDP,ZAF
003JP3-E_Long Steel_I00025,2.9598109341253513e6,CDP,ZAF
05HWCN-E_Tolling and Purchase of Concentrate_I00026,314221.49796795874,CDP,ZAF
008RN7-E_Shipping Operations_I00036,46077.0717633811,CDP,ZAF
05J16R-E_Explosives_I00036,53610.183629266474,CDP,ZAF
05J16R-E_Specialty Chemicals_I00036,61911.91974029866,CDP,ZAF
003HPZ-E_Retail and Business Banking_I00040,4523.909342383084,CDP,ZAF
05HSJH-E_Business & Commercial_I00040,47.546766612420306,CDP,ZAF
05HSJH-E_Corporate & Investment Banking_I00040,24.657115618273497,CDP,ZAF
05HSJH-E_Liberty_I00040,18.619393479107515,CDP,ZAF
05HXR3-E_Asset Management_I00040,9.325589346707226,CDP,ZAF
0610BL-E_Bank_I00040,71.2777223801494,CDP,ZAF
05HZLT-E_Insurance_I00041,19.327515400441044,CDP,ZAF
05HZLT-E_Investment_I00041,1.134902421638629,CDP,ZAF
003HPZ-E_Corporate and Investment Banking_I00042,2839.385701716387,CDP,ZAF
003HPZ-E_Retail and Business Banking_I00042,5627.245235505609,CDP,ZAF
05HSJH-E_Business & Commercial_I00043,176.54406514645743,CDP,ZAF
05HSJH-E_Corporate & Investment Banking_I00043,91.553384934047,CDP,ZAF
05HSJH-E_Liberty_I00043,69.1349517446346,CDP,ZAF
05HXR3-E_Asset Management_I00043,34.62648609893314,CDP,ZAF
05J16R-E_Property_I00043,1674.5583661277203,CDP,ZAF
05HSJH-E_Business & Commercial_I00046,405.8568469593726,CDP,ZAF
05HSJH-E_Corporate & Investment Banking_I00046,210.47191876410494,CDP,ZAF
05HSJH-E_Liberty_I00046,158.93422135991196,CDP,ZAF
05HXR3-E_Asset Management_I00046,79.6027691881748,CDP,ZAF
Others-I00001-S,4.047113425566388e7,,ZAF
Others-I00002-S,10209.278007245723,,ZAF
Others-I00003-S,9112.23948860126,,ZAF
Others-I00004-S,9.76402689037334e7,,ZAF
Others-I00005-S,1.5730202101697144e6,,ZAF
Others-I00006-S,4.967023376322901e6,,ZAF
Others-I00007-S,554363.2447380583,,ZAF
Others-I00008-S,179593.62283804317,,ZAF
Others-I00009-S,30161.411983222162,,ZAF
Others-I00010-S,38826.13855901235,,ZAF
Others-I00011-S,9105.289576515888,,ZAF
Others-I00012-S,8135.986507101683,,ZAF
Others-I00013-S,5.602092525466307e6,,ZAF
Others-I00014-S,1.5890614440332078e6,,ZAF
Others-I00015-S,517409.40217550355,,ZAF
Others-I00016-S,6.625408407650747e6,,ZAF
Others-I00017-S,5.301064636789319e6,,ZAF
Others-I00018-S,3.997591703966351e6,,ZAF
Others-I00019-S,328271.79949309106,,ZAF
Others-I00020-S,653983.249960042,,ZAF
Others-I00021-S,69049.63076760716,,ZAF
Others-I00022-S,847015.5148692109,,ZAF
Others-I00023-S,326598.203117805,,ZAF
Others-I00024-S,1.3129195124259852e7,,ZAF
Others-I00025-S,9.010763005926838e6,,ZAF
Others-I00026-S,6.705227433713215e6,,ZAF
Others-I00027-S,188121.6174464307,,ZAF
Others-I00028-S,2.0979684203181826e6,,ZAF
Others-I00029-S,897504.0075359177,,ZAF
Others-I00030-S,16631.36291275467,,ZAF
Others-I00031-S,283609.67658361624,,ZAF
Others-I00032-S,368020.60132082534,,ZAF
Others-I00033-S,2.3919256213103345e8,,ZAF
Others-I00034-S,957210.5917560202,,ZAF
Others-I00035-S,377911.69502176665,,ZAF
Others-I00036-S,5.660572023185869e6,,ZAF
Others-I00037-S,243609.934671927,,ZAF
Others-I00038-S,6.955841126964375e7,,ZAF
Others-I00039-S,6.858207979661811e6,,ZAF
Others-I00040-S,242185.44851087252,,ZAF
Others-I00041-S,404872.7948477789,,ZAF
Others-I00042-S,298625.88857156766,,ZAF
Others-I00043-S,914637.1008281348,,ZAF
Others-I00044-S,299301.9614501342,,ZAF
Others-I00045-S,32190.04795347584,,ZAF
Others-I00046-S,2.106507293372796e6,,ZAF
Others-I00047-S,1.2853225522866673e6,,ZAF
Others-I00048-S,693338.1063417403,,ZAF
Others-I00049-S,585048.2223336474,,ZAF
Others-I00050-S,3.0136939025073078e7,,ZAF
