SECTOR_CODE,x,CO2,non_CO2,GHG6,ISO_COUNTRY,CO2_EDGAR
I00001,3134.7984045278818,206859.88568111742,2.615206457344001e6,2.8220663430251186e6,ALB,364984.5182391415
I00002,713.6679825249606,28445.016741385934,143723.65939298007,172168.67613436602,ALB,90220.7776940228
I00003,418.11383120776946,6123.722135396815,118091.83147795494,124215.55361335176,ALB,48680.985364822096
I00004,400.3079089110798,667.6199250768916,1410.864477491104,2078.484402567996,ALB,25251.705818102
I00005,149.74169477832288,4940.999648247165,527.7568423185442,5468.756490565709,ALB,9445.811938944611
I00006,28.46471006004662,1646.7584809512848,6533.822236701498,8180.580717652782,ALB,5990.376152869966
I00007,48.80275227201893,3538.9209524604084,11168.183182352892,14707.1041348133,ALB,8681.121748968355
I00008,367.8916033071803,198509.52088101942,84088.50128862262,282598.02216964203,ALB,23206.862349867675
I00009,411.83226889990163,22699.536015038477,1738.875426424096,24438.411441462573,ALB,39390.98406096131
I00010,25.688612180799293,919.884934512253,310.6522838923645,1230.5372184046175,ALB,3827.536384196096
I00011,134.4255583973413,67375.90349365401,1625.6077376127507,69001.51123126676,ALB,20029.05848359815
I00012,447.8651233661108,15703.443928342034,3115.6252409287254,18819.06916927076,ALB,28648.492173561113
I00013,78.94754648567283,877.1425512194107,247.6772864837415,1124.8198377031522,ALB,0.0
I00014,99.67735050347548,1107.4599453863543,498382.922088066,499490.38203345233,ALB,88.32195701831145
I00015,3275.4196221678944,39062.78205363543,11544.04669736494,50606.828751000365,ALB,206615.78472134256
I00016,97.36615159003969,1081.7814917605092,766.3403149622209,1848.12180672273,ALB,5194.413508661958
I00017,1167.0382896890264,23827.21288602241,16852.16244251298,40679.37532853539,ALB,63294.7331297276
I00018,607.2900098686806,295034.3967062477,8769.335150733872,303803.7318569816,ALB,32936.58781086796
I00019,451.5383088230675,1.486264402445478e6,15620.34788437678,1.5018847503298547e6,ALB,1.365875340026543e6
I00020,264.07379578642514,1.0370761261337609e6,7700.482585765314,1.0447766087195262e6,ALB,885179.065305321
I00021,75.42555806171434,838.0116845987892,1905.5607798469305,2743.5724644457196,ALB,223074.20451951146
I00022,454.0787926654516,5045.018475976133,3573.9204981015655,8618.938974077699,ALB,24224.77397021431
I00023,232.46187503028872,10253.257892232523,819.2998303315135,11072.557722564037,ALB,14663.859373043651
I00024,607.3335961311365,6747.747886609755,6685.494310775554,13433.242197385309,ALB,32400.80648653822
I00025,63.95031379238736,710.5165883947542,503.3340931449976,1213.8506815397518,ALB,3411.7028189119646
I00026,485.2164082188512,5390.97131125968,3818.9955033337314,9209.966814593412,ALB,25885.943157008456
I00027,790.8207038940241,8786.37171956469,6224.316945918891,15010.68866548358,ALB,42189.710491308964
I00028,503.22104249798764,5591.010850781534,3960.7046792529786,9551.715530034513,ALB,26846.477326129625
I00029,115.75813260420163,2580.4064717531683,1274.2590594054514,3854.6655311586196,ALB,6175.612344919446
I00030,613.2981267140943,68774.51974255661,214947.72951881468,283722.2492613713,ALB,180746.9705987868
I00031,646.4106665413083,7181.911616320836,5087.708055649193,12269.61967197003,ALB,34485.53982664381
I00032,593.1474323316768,6590.133261950929,4668.488819666869,11258.6220816178,ALB,31643.984945657445
I00033,476.10148820346944,5289.700473186153,3747.254651288413,9036.955124474567,ALB,25399.668790762316
I00034,191.58004201187572,2128.539952074565,1507.8701102825062,3636.410062357071,ALB,10220.65617224532
I00035,376.5735099940519,246623.16348202684,4291.11305407083,250914.27653609766,ALB,43844.44656099069
