SECTOR_CODE,x,CO2,non_CO2,GHG6,ISO_COUNTRY,CO2_EDGAR
I00001,32530.564299452057,507109.2080781625,9.802028854778531e7,9.802028854778531e7,AUS,507109.2080781625
I00002,6043.486034958904,94210.09082437177,4.240377762065907e6,4.240377762065907e6,AUS,94210.09082437177
I00003,17962.708865917808,280015.27990978013,1.069066890818848e7,1.069066890818848e7,AUS,280015.27990978013
I00004,1079.4625915068493,16827.418512941684,616118.3283453336,616118.3283453336,AUS,16827.418512941684
I00005,2647.1281250958905,6.618524430159517e6,13843.596828590169,6.632368026988107e6,AUS,193043.9726582763
I00006,1879.8446105753424,29304.333703025273,1595.5499058479106,1595.5499058479106,AUS,29304.333703025273
I00007,5903.569629369863,92028.97595091732,5010.754566264267,5010.754566264267,AUS,92028.97595091732
I00008,29598.337692,6.619316627200697e6,3.2176842744544398e7,3.8796159371745095e7,AUS,2.8017699185184003e6
I00009,29271.11384021918,8.895065781487739e6,6.926965810920189e6,1.5822031592407927e7,AUS,1.6662559299015163e6
I00010,34235.13728367123,1.9222008983682885e6,123525.55064659487,2.0457264490148835e6,AUS,3.019078057426242e6
I00011,29196.6422049863,1.639304420214198e6,105345.89873319169,1.7446503189473897e6,AUS,2.5747506458413294e6
I00012,3656.632513808219,205309.01467707256,2378.6849184400166,207687.69959551256,AUS,208334.40320106523
I00013,10757.766216821918,3.5254304658906115e6,2.58462511587126e6,6.110055581761871e6,AUS,1.5610751274656267e6
I00014,20797.144437205476,886839.7559607618,91110.19796579595,977949.9539265578,AUS,1.1924482363023155e6
I00015,894.4118615342466,38139.85133422599,3918.328403853271,42058.17973807926,AUS,51282.99464547522
I00016,9443.605138520548,402697.80794774863,41371.48425733723,444069.29220508586,AUS,541469.0620515525
I00017,3320.381797150685,141588.9855250408,14546.25868343847,156135.24420847927,AUS,190381.10880162125
I00018,1114.8178122739725,47538.485851406986,4883.904705223337,52422.39055663032,AUS,63920.435714545216
I00019,3860.489212273973,164620.45167977104,16912.414944133718,181532.86662390476,AUS,221349.30910057094
I00020,5381.515944,229480.65302359354,23575.88006826434,253056.53309185788,AUS,308560.5918366104
I00021,6339.115859671233,270314.9934344175,27771.028981725416,298086.0224161429,AUS,363466.60712987365
I00022,7815.008267013698,333250.5597235271,34236.765170421895,367487.32489394903,AUS,448090.0179746359
I00023,3984.6086043287673,169913.19808023135,17456.16951657761,187369.36759680897,AUS,228465.95680158306
I00024,3257.9459817534243,138926.5736993547,14272.733656087903,153199.30735544258,AUS,186801.21935202114
I00025,4636.047352931508,197692.09736991994,20310.057151343746,218002.15452126367,AUS,265817.57443234976
I00026,383.641757260274,27716.296861731844,1680.6959511902173,29396.99281292206,AUS,21996.911075855645
I00027,795.116347890411,57443.38388794227,3483.3247458981564,60926.708633840426,AUS,45589.67648466553
I00028,1927.2356511780822,139233.6324701117,8443.025543037915,147676.65801314963,AUS,110502.12975753365
I00029,42.125369424657535,3043.358086778398,184.54700640520034,3227.905093183598,AUS,2415.347098525326
I00030,822.196942520548,59399.82837229981,3601.9621071586425,63001.790479458454,AUS,47142.3996194318
I00031,304.6566895890411,22010.000449022344,1334.6703141804667,23344.670763202812,AUS,17468.13526612066
I00032,3266.972846630137,38546.625809214915,14312.279443174733,52858.905252389646,AUS,187318.7937302766
I00033,6654.303891616439,71050.72104963554,29151.836047507182,100202.55709714272,AUS,381538.57917062554
I00034,1913.6953538630137,144178.6946461797,8383.706862407671,152562.40150858738,AUS,109725.76819015051
I00035,5182.172677972603,396238.95782157575,22702.577270096874,418941.5350916726,AUS,297130.824316803
I00036,5086.638358027397,388934.2187239795,22284.05102342794,411218.2697474074,AUS,291653.162146933
I00037,13079.927206356164,1.232293030557612e7,92860.01093978385,1.2415790316515904e7,AUS,2.320239716585211e7
I00038,6720.500900712327,648454.5120226952,2.9422965986728915e6,3.5907511106955865e6,AUS,1.1336202070368514e6
I00039,372.3581761643835,35928.47363456841,163021.80617227237,198950.27980684076,AUS,62809.71597081279
I00040,9442.100661041097,2.278159614824546e6,4.1338378001502287e6,6.411997414974775e6,AUS,1.5927021310417014e6
I00041,2437.2535167123287,235168.19106262957,1.06705182221851e6,1.3022200132811395e6,AUS,411118.14089986554
I00042,9587.282737808218,935819.3471513425,4.197399837708306e6,5.133219184859648e6,AUS,1.6171915758545636e6
I00043,572.4536809315068,41999.05396656749,2507.861997756383,44506.91596432387,AUS,32822.84182103166
I00044,2653.8982737534247,121567.41999356452,11626.461403527623,133193.88139709213,AUS,152166.86720709552
I00045,1027.5581184657535,47069.47157347198,4501.628763383995,51571.100336855976,AUS,58917.216724742764
I00046,6975.509833479452,319527.9721089353,30559.006971346833,350086.97908028215,AUS,399955.60079688113
I00047,2403.402773424658,110092.94412682501,10529.065811868128,120622.00993869314,AUS,137804.17821050744
I00048,1113.3133347945204,113506.89531251998,4877.313740708865,118384.20905322884,AUS,63834.17331816931
I00049,6660.321801534247,8.694984427690003e6,48877.02565729608,8.7438614533473e6,AUS,589766.5507956663
I00050,27992.30798268493,1.267312191168485e7,205422.62014448852,1.2878544531829339e7,AUS,2.478698089926399e6
I00051,522.0536853698629,2943.868124158656,3831.1108884304795,6774.979012589136,AUS,46227.466258436
I00052,11822.18403353425,66665.46316898768,86757.54859160437,153423.01176059205,AUS,1.0468456191895972e6
I00053,2648.632602575343,14935.676750954799,19437.09140945781,34372.76816041261,AUS,234534.45057053774
I00054,4951.2353848767125,33472.76365750297,36334.82978047467,69807.59343797763,AUS,438428.2174539277
I00055,10316.202076602738,591501.251949577,45194.24367573066,45194.24367573066,AUS,591501.251949577
I00056,3113.5161437260276,178520.02929993437,13640.001062698648,13640.001062698648,AUS,178520.02929993437
I00057,2194.280403780822,125813.70511425669,9612.921744356594,9612.921744356594,AUS,125813.70511425669
I00058,3515.2116307397255,201552.0891323008,15399.788588062518,15399.788588062518,AUS,201552.0891323008
I00059,6853.647157643836,46333.99417859459,30025.13884567465,76359.13302426925,AUS,392968.3466904329
I00060,3136.083305917808,21201.45118324671,13738.865530415718,34940.316713662425,AUS,179813.96524557288
I00061,1019.283492328767,6890.853047085463,4465.378458554401,11356.231505639864,AUS,58442.773544675285
I00062,9155.49770120548,61895.6254140791,40109.31455281596,102004.93996689506,AUS,524949.8131455668
