SECTOR_CODE,x,CO2,non_CO2,GHG6,ISO_COUNTRY,CO2_EDGAR
I00001,7557.350654289971,175735.0631564218,7.620996676013539e6,7.620996676013539e6,AUT,175735.0631564218
I00002,2738.0979108107385,63670.43575140282,6498.490185857375,6498.490185857375,AUT,63670.43575140282
I00003,78.21348212558901,1818.739377035749,185.62869647140377,185.62869647140377,AUT,1818.739377035749
I00004,2368.1903090152327,295726.9954878536,2.0420519047647275e6,2.337778900252581e6,AUT,608560.9871644023
I00005,23580.6206101269,835266.0558500001,64955.52316684014,900221.5790168403,AUT,982172.3862715657
I00006,3643.504186176437,29689.571887971913,10036.450036095508,39726.02192406742,AUT,151758.05845375042
I00007,9202.754172204273,878284.6862638516,25350.041532606316,903634.7277964579,AUT,383310.1416212401
I00008,6902.635333390903,850699.2915641246,19014.10046509837,869713.392029223,AUT,287506.335352659
I00009,2743.68339882652,338138.90071335604,7557.790506090993,345696.691219447,AUT,114279.01392221331
I00010,4809.881067144327,2.0070963799623114e6,20358.020427469703,2.027454400389781e6,AUT,6.343257082871714e6
I00011,14587.765125978298,871693.6274871791,1.4394783612771917e6,2.311171988764371e6,AUT,1.8469352814322247e6
I00012,4738.405246436821,278878.4162483464,467572.0893710713,746450.5056194176,AUT,599922.4522598567
I00013,6964.8915468927125,63024.181311851884,19185.592343334174,82209.77365518606,AUT,290099.41103061824
I00014,7179.5720875660245,752955.9527566303,19776.954507364175,772732.9072639944,AUT,299041.2155066473
I00015,17575.41846775802,7.306296756433646e6,56196.55255597779,7.362493308989624e6,AUT,1.1330423699020785e6
I00016,16061.982094159337,116476.05207120083,51357.412773042306,167833.46484424314,AUT,1.0354749897236762e6
I00017,7269.04090524011,52712.621768786084,20023.4066239231,72736.02839270918,AUT,302767.74177602434
I00018,11625.373019544984,114661.55154622081,32023.422919153985,146684.9744653748,AUT,484216.2786419609
I00019,24722.886209163396,179281.99425001314,68102.02472876405,247384.0189787772,AUT,1.029749663719462e6
I00020,16522.05780962454,43145.397883719656,45511.90261532152,88657.30049904119,AUT,688171.4104685882
I00021,2676.533223349041,6989.449631577903,7372.817648463508,14362.267280041411,AUT,111482.096522213
I00022,8073.628677923505,163083.81821049724,22239.7358958443,185323.55410634153,AUT,336280.1715685633
