SECTOR_CODE,x,CO2,non_CO2,GHG6,ISO_COUNTRY,CO2_EDGAR
C00001,4121.979452590797,0.0,0.0,0.0,AZE,0.0
C00002,8.25014296029882,0.0,0.0,0.0,AZE,0.0
C00003,158.73899230098945,0.0,0.0,0.0,AZE,0.0
C00004,0.0,0.0,0.0,0.0,AZE,0.0
C00005,15960.283095726087,0.0,0.0,0.0,AZE,0.0
C00006,81.32605157561619,0.0,0.0,0.0,AZE,0.0
C00007,38.242903762509734,0.0,0.0,0.0,AZE,0.0
C00008,1297.7664229969614,0.0,0.0,0.0,AZE,0.0
C00009,1923.421267837943,0.0,0.0,0.0,AZE,0.0
C00010,152.64275469692035,0.0,0.0,0.0,AZE,0.0
C00011,26.164751213976206,0.0,0.0,0.0,AZE,0.0
C00012,58.52775874272087,0.0,0.0,0.0,AZE,0.0
C00013,52.04347767373626,0.0,0.0,0.0,AZE,0.0
C00014,11.435880232966364,0.0,0.0,0.0,AZE,0.0
C00015,30.350722157749825,0.0,0.0,0.0,AZE,0.0
C00016,36.242490259485315,0.0,0.0,0.0,AZE,0.0
C00017,39.95904546405703,0.0,0.0,0.0,AZE,0.0
C00018,1792.6114307216553,0.0,0.0,0.0,AZE,0.0
C00019,138.5429464806692,0.0,0.0,0.0,AZE,0.0
C00020,0.949946641722635,0.0,0.0,0.0,AZE,0.0
C00021,142.22911238879334,0.0,0.0,0.0,AZE,0.0
C00022,278.6267677097054,0.0,0.0,0.0,AZE,0.0
C00023,190.27723767811972,0.0,0.0,0.0,AZE,0.0
C00024,99.93844985837242,0.0,0.0,0.0,AZE,0.0
C00025,61.321762771747274,0.0,0.0,0.0,AZE,0.0
C00026,81.1270731976253,0.0,0.0,0.0,AZE,0.0
C00027,161.52252379692035,0.0,0.0,0.0,AZE,0.0
C00028,4.222784071050267,0.0,0.0,0.0,AZE,0.0
C00029,8.080934157377527,0.0,0.0,0.0,AZE,0.0
C00030,38.33566392283397,0.0,0.0,0.0,AZE,0.0
C00031,21.03825327011092,0.0,0.0,0.0,AZE,0.0
C00032,366.01576052257747,0.0,0.0,0.0,AZE,0.0
C00033,1350.0362205989907,0.0,0.0,0.0,AZE,0.0
C00034,102.49518504130353,0.0,0.0,0.0,AZE,0.0
C00035,9.097215138279536,0.0,0.0,0.0,AZE,0.0
C00036,30.35672453344495,0.0,0.0,0.0,AZE,0.0
C00037,27.638997743689917,0.0,0.0,0.0,AZE,0.0
C00038,8834.396179367213,0.0,0.0,0.0,AZE,0.0
C00039,5876.285101234298,0.0,0.0,0.0,AZE,0.0
C00040,2678.7358162266887,0.0,0.0,0.0,AZE,0.0
C00041,119.21233219856703,0.0,0.0,0.0,AZE,0.0
C00042,708.5595807216979,0.0,0.0,0.0,AZE,0.0
C00043,306.40829526696234,0.0,0.0,0.0,AZE,0.0
C00044,28.13343341407384,0.0,0.0,0.0,AZE,0.0
C00045,455.794082289654,0.0,0.0,0.0,AZE,0.0
C00046,876.4247092706507,0.0,0.0,0.0,AZE,0.0
C00047,11.65139400956079,0.0,0.0,0.0,AZE,0.0
C00048,5.430844249371494,0.0,0.0,0.0,AZE,0.0
C00049,19.909049418600873,0.0,0.0,0.0,AZE,0.0
C00050,632.3286153112392,0.0,0.0,0.0,AZE,0.0
C00051,360.0352064164194,0.0,0.0,0.0,AZE,0.0
C00052,44.75426704394363,0.0,0.0,0.0,AZE,0.0
C00053,929.3025444708364,0.0,0.0,0.0,AZE,0.0
C00054,228.03454973101333,0.0,0.0,0.0,AZE,0.0
C00055,16.39616149643928,0.0,0.0,0.0,AZE,0.0
C00056,1505.2834492501777,0.0,0.0,0.0,AZE,0.0
C00057,83.28478639173518,0.0,0.0,0.0,AZE,0.0
C00058,154.74602416268738,0.0,0.0,0.0,AZE,0.0
C00059,286.80553293047035,0.0,0.0,0.0,AZE,0.0
C00060,79.36154162574294,0.0,0.0,0.0,AZE,0.0
C00061,450.51676502030364,0.0,0.0,0.0,AZE,0.0
C00062,17.73125176184688,0.0,0.0,0.0,AZE,0.0
C00063,11.855553632551395,0.0,0.0,0.0,AZE,0.0
C00064,76.09516359564742,0.0,0.0,0.0,AZE,0.0
C00065,41.17967453508397,0.0,0.0,0.0,AZE,0.0
C00066,46.98519263060594,0.0,0.0,0.0,AZE,0.0
C00067,90.26478953829894,0.0,0.0,0.0,AZE,0.0
C00068,40.94089099855685,0.0,0.0,0.0,AZE,0.0
C00069,95.47595566829578,0.0,0.0,0.0,AZE,0.0
C00070,2159.4191916557934,0.0,0.0,0.0,AZE,0.0
C00071,1648.614528632663,0.0,0.0,0.0,AZE,0.0
C00072,645.8623720442439,0.0,0.0,0.0,AZE,0.0
C00073,344.0593457583314,0.0,0.0,0.0,AZE,0.0
C00074,133.27280698478373,0.0,0.0,0.0,AZE,0.0
C00075,14.332332825719744,0.0,0.0,0.0,AZE,0.0
C00076,121.77999954030946,0.0,0.0,0.0,AZE,0.0
C00077,133.92848752069813,0.0,0.0,0.0,AZE,0.0
C00078,249.6493340988534,0.0,0.0,0.0,AZE,0.0
C00079,107.2320625284489,0.0,0.0,0.0,AZE,0.0
C00080,117.47277775488885,0.0,0.0,0.0,AZE,0.0
C00081,452.2785694778331,0.0,0.0,0.0,AZE,0.0
