SECTOR_CODE,x,CO2,non_CO2,GHG6,ISO_COUNTRY,CO2_EDGAR
I00001,10365.331544929311,576569.4913847918,9.82484843778486e6,9.82484843778486e6,BEL,576569.4913847918
I00002,458.0943768109588,25481.40797033511,453.94806967901707,453.94806967901707,BEL,25481.40797033511
I00003,135.97422136986296,7563.538832968379,134.743490515337,134.743490515337,BEL,7563.538832968379
I00004,704.1799676493149,3396.0696744176344,7.342054691390447e6,7.345450761064865e6,BEL,201773.98089806677
I00005,41222.27794858081,2.09025741033e6,80691.33894956973,2.17094874927957e6,BEL,2.528124839104935e6
I00006,5427.757896791908,90807.00128719085,10624.668843690575,101431.67013088142,BEL,332879.4584482686
I00007,3429.6583607232865,1.5479155275116912e6,6713.450566985855,1.554628978078677e6,BEL,210337.8300006578
I00008,4424.989661150684,229291.26239108876,8661.780919570561,237953.04331065933,BEL,271380.5939858963
I00009,3267.5992887232865,169318.35400147675,6396.224926886194,175714.57892836296,BEL,200398.89441256275
I00010,27514.300444668483,7.485795415029269e6,61067.552653415376,7.546862967682684e6,BEL,7.632022611264672e6
I00011,34541.010869787315,3.4785065699714646e6,5.207073237343814e6,8.685579807315279e6,BEL,5.125502983651124e6
I00012,17314.224753433416,1.625694565594626e6,2.6101273260018537e6,4.235821891596479e6,BEL,2.569238953888079e6
I00013,7526.744799548493,152990.85017677,14733.371032160248,167724.22120893025,BEL,461608.4173969709
I00014,7282.890295934243,3.1379727401925223e6,14256.033354944524,3.152228773547467e6,BEL,446653.0423329393
I00015,20336.74854553424,5.380765248043908e6,45061.97398631694,5.425827222030224e6,BEL,1.6022778679012652e6
I00016,12564.684050761636,165905.786214418,27840.707405808105,193746.4936202261,BEL,989937.753649819
I00017,3814.604156405478,50368.548791871544,7466.970101140396,57835.51889301194,BEL,233946.20576744791
I00018,3897.8536796931503,76230.72627160096,7629.928477903923,83860.65474950487,BEL,239051.82336407213
I00019,9983.948828843833,131829.4095802153,19543.27220849602,151372.6817887113,BEL,612306.5071279425
I00020,16069.710979901365,102090.35891551625,31455.964105581053,133546.3230210973,BEL,985540.7684214264
I00021,2493.9337189698617,15843.881000696389,4881.798412163835,20725.679412860223,BEL,152950.68821460218
I00022,4520.7821126137,87116.46031247388,8849.29169176646,95965.75200424033,BEL,277255.4579670786
I00023,5239.391997632874,77140.21027961762,5191.969174942806,82332.17945456042,BEL,291440.13060716196
I00024,12786.005683406025,1.7475214815632407e7,537009.3036873725,1.8012224119319778e7,BEL,1.734844068892211e7
I00025,2826.3768152986295,41613.0921221538,4596.934037685414,46210.02615983922,BEL,15087.855088171144
I00026,8779.150627888217,129256.510262584,4.693869387454616e6,4.8231258977172e6,BEL,47558.296094668665
I00027,75259.99993813479,351717.23984999995,27377.37472383054,379094.6145738305,BEL,4.615627391382065e6
I00028,8281.773576021917,121933.56699234253,8206.813527216173,130140.3805195587,BEL,460671.99662579916
I00029,16688.318489802907,245704.157676738,16537.269060957944,262241.42673769593,BEL,928284.3739272498
I00030,971.3554377205478,428742.0382504278,962.5634983671139,429704.6017487949,BEL,54031.451695760254
I00031,21294.90615882958,1.0920768526747162e7,146682.02223854262,1.1067450548985705e7,BEL,1.001723615489324e7
I00032,2506.698645873972,1.9079381512323644e7,8258.53186134503,1.908764004418499e7,BEL,435112.88576
I00033,3990.760147682191,4.341267156017095e6,6430.624938121847,4.347697780955217e6,BEL,9227.2599
I00034,29056.63661277807,1.4721242571947105e7,190616.68694753604,1.4911859258894641e7,BEL,1.3576311837298498e7
I00035,4367.380991035615,64301.48539599668,28644.97258933801,92946.45798533468,BEL,2.0346709154130642e6
I00036,18486.278141895884,272175.7379095936,18318.955007662273,290494.6929172559,BEL,1.0282955195084782e6
I00037,3473.170111561643,179970.49041056485,6798.62347857426,186769.11388913912,BEL,213006.36613116003
I00038,4508.350183802738,66376.99209179588,11652.49553137679,78029.48762317267,BEL,250776.07611415815
I00039,12611.192784438352,185676.1364119901,20098.440237566865,205774.57664955696,BEL,0.0
I00040,16113.111731375338,237235.31810157225,15967.26861809664,253202.58671966888,BEL,896288.6131828751
I00041,30132.664451112323,443646.91038466507,29859.92746100163,473506.8378456667,BEL,1.676123425607696e6
