SECTOR_CODE,x,CO2,non_CO2,GHG6,ISO_COUNTRY,CO2_EDGAR
I00001,8902.431286374407,76722.78171113381,1.4438009894997457e7,1.451473267670859e7,BLR,1.5016869510296262e6
I00002,461.6718377209791,1.9997756070539078e6,4922.813131801304,2.0046984201857091e6,BLR,77876.09385141445
I00003,37.36487882244985,3844.7024427491565,269.6685379566881,269.6685379566881,BLR,3844.7024427491565
I00004,387.2880330025495,10347.84460445883,87088.02752881701,97435.87213327584,BLR,117591.90825355976
I00005,240.87542340098625,805.3575308274219,74.07091490299251,879.4284457304144,BLR,17255.892372937804
I00006,11121.67372291111,95848.61908581718,4.871440207665435e6,4.967288826751253e6,BLR,1.8760349578734506e6
I00007,1354.828271155341,24292.850798119012,4668.531707222798,28961.38250534181,BLR,89129.59065338977
I00008,331.5005276959923,5943.995287276605,1142.3002881317811,7086.295575408387,BLR,21808.30365292751
I00009,1042.8062734856858,9741.015959668586,3593.351464468058,13334.367424136644,BLR,68602.7139124477
I00010,779.8669170935966,5296.710213866042,2687.3025219357123,7984.012735801754,BLR,51304.81889442619
I00011,7690.244269391422,3.4873097074776934e6,6.336477742331858e6,9.823787449809551e6,BLR,3.6362281498981775e6
I00012,5365.103134789904,197228.84009377015,4.42061444175257e6,4.61784328184634e6,BLR,2.505422068936955e6
I00013,1550.0361987584233,67808.17920223893,1.276533200302868e6,1.344341379505107e6,BLR,351131.1815005098
I00014,2015.4740101372436,434982.9697654139,1.6598447767533264e6,2.0948277465187404e6,BLR,456567.2537389281
I00015,2921.3036920467366,385450.59103570326,10084.19011629748,395534.7811520007,BLR,209277.06690402824
I00016,3144.187220617857,52328.442143142514,10853.572595093334,63182.01473823585,BLR,225244.0515237971
I00017,1701.9109264078731,38704.20939020124,18147.499529179277,56851.708919380515,BLR,287083.0841360296
I00018,1503.5893591516024,23494.019164133613,5181.139740947448,28675.15890508106,BLR,98916.08179809619
I00019,1200.7667081970787,262662.158169351,12811.11774562821,275473.2759149792,BLR,209575.0984097759
I00020,4929.748475628944,7.733072907732019e6,80844.70895515592,7.813917616687175e6,BLR,7.971046327818663e6
I00021,9529.558973392122,353642.1387256643,32837.40764074273,386479.546366407,BLR,626917.6016540261
I00022,10909.165553071272,1.906613077959227e7,254348.47945978318,1.9320479259052053e7,BLR,1.8044164718690995e7
I00023,934.755816598379,5700.798337636836,6746.288021069182,12447.086358706018,BLR,96182.78139016689
I00024,5778.365432543951,1.0420217279663052e7,249088.39632310998,1.0669305675986163e7,BLR,8.48191292626192e6
I00025,1550.4746548374508,9455.884818145045,50904.76485713527,60360.649675280314,BLR,2.01592783361082e6
I00026,2747.642414233941,16757.05572444199,19830.191774342562,36587.24749878455,BLR,282721.8456134631
I00027,7918.2111026211405,389861.11014036817,82544.47308456775,472405.5832249359,BLR,1.3284823853939786e6
I00028,2536.255362342312,15467.868823838282,18304.576302726466,33772.44512656475,BLR,260970.9303051285
I00029,3008.9719878376877,18350.827244577576,21716.2507221967,40067.077966774275,BLR,309611.65448374493
I00030,2999.67988471017,18294.15746502459,21649.188070211465,39943.345535236054,BLR,308655.5327801954
I00031,1960.2915425622655,8.337806635436215e6,6.509370207196926e6,1.4847176842633141e7,BLR,4.000152476956419e6
