SECTOR_CODE,x,CO2,non_CO2,GHG6,ISO_COUNTRY,CO2_EDGAR
I00001,2041.0795941085664,146469.4937180642,2.3211372763563083e6,2.3211372763563083e6,BOL,146469.4937180642
I00002,1006.6798100235947,72240.14317518579,1.1448069145101474e6,1.1448069145101474e6,BOL,72240.14317518579
I00003,155.47762281438958,11157.197771142133,148614.28072249188,148614.28072249188,BOL,11157.197771142133
I00004,1066.5961868991683,195854.92641845776,1.7905981322166868e7,1.7905981322166868e7,BOL,195854.92641845776
I00005,350.2784198644454,593578.0351799999,3486.5774802163837,597064.6126602163,BOL,64320.26946202661
I00006,5290.290464827144,526898.8586461149,8.1462365436259685e6,8.673135402272083e6,BOL,95920.86292504742
I00007,3128.971988997186,350161.7411552485,3401.0861288879883,3401.0861288879883,BOL,350161.7411552485
I00008,1650.3671088376493,184618.86434429054,11860.804271886846,11860.804271886846,BOL,184618.86434429054
I00009,329.5774802522358,60519.036104602725,472364.73477297416,472364.73477297416,BOL,60519.036104602725
I00010,1109.6114070335796,124127.04829914414,7974.518909279186,7974.518909279186,BOL,124127.04829914414
I00011,278.6732117832627,31173.871320567516,2002.7595091296137,2002.7595091296137,BOL,31173.871320567516
I00012,1246.2468739884305,228843.48622494348,12404.807259664056,12404.807259664056,BOL,228843.48622494348
I00013,1193.6431695454057,133527.28930049858,8578.435627224693,8578.435627224693,BOL,133527.28930049858
I00014,52.690553815912395,5894.246289249337,378.6747460254527,378.6747460254527,BOL,5894.246289249337
I00015,517.087551532401,57844.170560159124,3716.187875602129,3716.187875602129,BOL,57844.170560159124
I00016,584.0511056287309,464461.5315872027,4197.439352460425,468658.9709396631,BOL,65335.07076261707
I00017,189.13052151780147,150404.3924366526,1359.2370361418782,151763.62947279448,BOL,21157.148557118264
I00018,288.9016373652151,229746.49936541036,7892.399863726198,237638.89922913656,BOL,309761.85793493316
I00019,781.9306855368957,424868.6875241388,21361.28300364482,446229.9705277836,BOL,838424.7503712376
I00020,930.8750437011108,104132.64569698046,19363.370067908934,19363.370067908934,BOL,104132.64569698046
I00021,366.85296233951595,296101.26686562604,2636.4868516650204,298737.75371729105,BOL,41054.33749246683
I00022,64.5891984556685,51731.20678495872,642.9035647925703,52374.11034975129,BOL,11863.118154147109
I00023,102.8378456868251,82365.5655704756,1023.6203447086702,83389.18591518428,BOL,18888.25907846029
I00024,899.3513235039071,643882.7101589409,11987.534410719476,655870.2445696604,BOL,710196.1628862194
I00025,2373.0090457876577,267305.7219448107,17054.26367066138,284359.9856154721,BOL,265457.4444473754
I00026,3499.514438745681,2.5054467394133154e6,52524.52125326585,2.5579712606665813e6,BOL,2.623136184838769e6
I00027,4036.4107310207064,9.382858134715945e6,232277.99155092836,9.615136126266873e6,BOL,9.795559228461439e6
I00028,512.4822897504819,2913.638312352832,4544.060495203826,7457.698807556658,BOL,36776.13638188903
I00029,2191.132081691876,12457.340494148973,6062.785026080709,18520.12552022968,BOL,157237.37947367204
I00030,956.7460976315966,2.174678881137716e6,2.3193104722597543e6,4.49398935339747e6,BOL,1.7603672949208198e6
I00031,929.8115989161695,5286.299160096291,2572.755830690193,7859.054990786484,BOL,66724.01925899179
I00032,1636.712752203694,9305.275668080092,2.0270286385142028e6,2.036333914182283e6,BOL,301066.3486740689
I00033,1440.0811801336122,8187.357462398295,3984.653726813748,12172.011189212044,BOL,103341.36991811167
I00034,149.13305195052132,1.4944173420199999e6,412.6458837484555,1.4948299879037484e6,BOL,10701.906323923964
I00035,5568.584816547494,31659.32246161837,15408.077369829743,47067.399831448114,BOL,399606.0717867462
