SECTOR_CODE,x,CO2,non_CO2,GHG6,ISO_COUNTRY,CO2_EDGAR
I00001,94305.10037639999,2.125725779308754e6,1.1000531072449265e8,1.1000531072449265e8,BRA,2.125725779308754e6
I00002,41776.44509191233,941680.4175522448,4.716420335845042e8,4.716420335845042e8,BRA,941680.4175522448
I00003,9882.03273930411,222750.32487181108,33273.44246121323,33273.44246121323,BRA,222750.32487181108
I00004,6016.542286405479,417557.81054127193,1.3392862928439071e7,1.3810420738980344e7,BRA,4.9248569982449785e6
I00005,52437.49093321644,1.0282880493688772e7,2.5596247167556986e7,3.5879127661245756e7,BRA,2.9689063452272997e6
I00006,16084.25760070685,1.116273611690251e6,132783.72599255573,1.2490573376828067e6,BRA,2.42675596913372e6
I00007,4909.764376323287,340745.62525445205,40532.60174128722,381278.2269957393,BRA,740774.0104062383
I00008,77809.23115624109,1.6682488784703766e6,609779.6534718734,2.27802853194225e6,BRA,7.158800254116281e6
I00009,14655.203037468493,314211.12466616946,114850.69955007118,429061.82421624067,BRA,1.348344787241096e6
I00010,77208.58308933699,1.6553708375351552e6,605072.4617331466,2.2604432992683016e6,BRA,7.10353792251255e6
I00011,23307.584175846576,499720.2848995269,182658.15496204473,682378.4398615716,BRA,2.1444028817845946e6
I00012,4599.073828010959,98605.26368877171,36042.274206575836,134647.53789534754,BRA,423135.538025729
I00013,14156.390734191778,124824.97514621953,110941.57991324022,235766.55505945976,BRA,1.3024518052595197e6
I00014,18690.82629307397,164807.68094795497,146477.293384481,311284.974332436,BRA,1.7196403309502278e6
I00015,12266.636054663013,108161.92978855707,96131.84671698214,204293.7765055392,BRA,1.1285858502950894e6
I00016,8106.614620734244,1.853721828654913e7,63530.36241079541,1.8600748648959924e7,BRA,745845.1130355396
I00017,24494.55012734794,3.37709754199379e6,191960.2348802494,3.5690577768740393e6,BRA,2.2536091035781614e6
I00018,5937.268937473971,818579.4893417114,46529.5150904701,865109.0044321815,BRA,546255.5245276465
I00019,113833.17519318903,2.3180290856843673e7,1.870221452660951e6,2.5050512309504624e7,BRA,3.690551932261042e7
I00020,13062.113621441093,2.659888845552123e6,214603.91551456624,2.874492761066689e6,BRA,4.234829484744711e6
I00021,44372.64726941918,2.70546880752721e6,5.666951153891737e6,8.372419961418947e6,BRA,7.2394617662741e6
I00022,22709.985083901367,2.035343617339162e6,2.9003538011754863e6,4.935697418514648e6,BRA,3.7051670081641963e6
I00023,12340.726146164381,752433.1250277517,1.5760676132132781e6,2.32850073824103e6,BRA,2.0134073714548873e6
