SECTOR_CODE,x,CO2,non_CO2,GHG6,ISO_COUNTRY,CO2_EDGAR
I00001,27501.148424967854,1.5268891288919311e6,1.240983037460934e7,1.240983037460934e7,CAN,1.5268891288919311e6
I00002,2973.0954757265713,165069.00333381232,1.341602538597562e6,1.341602538597562e6,CAN,165069.00333381232
I00003,21955.92790465768,1.2190133704351294e6,4.158583287514991e7,4.158583287514991e7,CAN,1.2190133704351294e6
I00004,794.5221565512359,44112.60303589569,349618.03859822155,349618.03859822155,CAN,44112.60303589569
I00005,8053.896870646514,447159.7835471585,13369.921391833737,13369.921391833737,CAN,447159.7835471585
I00006,2588.8721598415245,143736.57041042708,4297.673266309096,4297.673266309096,CAN,143736.57041042708
I00007,926.0622088499674,51415.82807818024,1537.315306506785,1537.315306506785,CAN,51415.82807818024
I00008,1576.4839766590335,87527.84460621349,2617.0519913454978,2617.0519913454978,CAN,87527.84460621349
I00009,41758.80186656601,4.587039690025515e7,2.9591719168818723e7,7.546211606907387e7,CAN,1.7450558423511635e6
I00010,38012.188626039424,4.175489002043963e7,2.6936740532168537e7,6.869163055260816e7,CAN,1.588488866476173e6
I00011,2477.283733956938,193280.8339462786,2.384229692308772e6,2.5775105262550507e6,CAN,507038.72470546
I00012,2396.3954805842113,115722.24744528256,80014.59515741956,195736.84260270212,CAN,325765.38420447573
I00013,5699.274397994459,275218.69720038556,190296.2751104002,465514.9723107858,CAN,774757.8932575749
I00014,7692.979304072452,371494.9647627771,256865.20841697673,628360.1731797538,CAN,1.0457816245160358e6
I00015,2194.190904957017,105957.76235720604,73263.07296966971,179220.83532687573,CAN,298277.74629128905
I00016,1406.850111955107,67936.97371454015,1244.9292765960906,69181.90299113623,CAN,110118.27777461166
I00017,1401.089668287814,67658.8011454204,1239.8318288248922,68898.6329742453,CAN,109667.39098115046
I00018,1684.8577083893404,81361.9964734662,1490.9397029919141,82852.93617645813,CAN,131878.7464041041
I00019,1096.426899491014,52946.596668439335,970.2340961731388,53916.830764612474,CAN,85820.54395966842
I00020,5203.508871369831,251278.11585155514,4604.613156687511,255882.72900824263,CAN,407293.8761783627
I00021,15282.233023371587,1.6786930251116592e7,1.08295144421309e7,2.7616444693247493e7,CAN,638628.2371515635
I00022,4356.3476646573545,339887.7964777906,145456.5398644263,485344.3363422169,CAN,592200.7791299135
I00023,36928.53433933586,1.0095544528236528e8,1.2290453460462594e6,1.0218449062841153e8,CAN,7.88045376899205e7
I00024,4896.155441164661,290511.73970472167,162952.50180218008,453464.24150690174,CAN,1.0448269147470014e7
I00025,501.09280122093713,9500.865389628863,1.200400624466142e6,1.2099014898557707e6,CAN,1233.667733280231
I00026,84162.545481374,2.0296561473624795e6,74475.89190365432,2.1041320392661337e6,CAN,6.587648878000779e6
I00027,39125.85925777029,943555.5960097156,34622.68456892353,978178.2805786391,CAN,3.062495571706643e6
I00028,20036.269060568975,483192.8078742867,17730.202908818996,500923.01078310574,CAN,1.568297449194785e6
I00029,45466.06800261946,1.0964554825440692e6,40233.16959438526,1.1366886521384544e6,CAN,3.558762275445301e6
I00030,14495.14367209081,349563.5415099514,12826.831069284692,362390.3725792361,CAN,1.134577339620054e6
I00031,3653.5053894913954,88107.59739727991,3233.006688437169,91340.60408571707,CAN,285970.5649608622
I00032,17111.1026067508,412649.7647534665,15141.70728563265,427791.47203909914,CAN,1.3393361054373595e6
I00033,34027.01202368701,820592.2686302032,30110.687061399552,850702.9556916028,CAN,2.6633938683469254e6
I00034,3485.1561491571138,84047.702718549,3084.0335347203168,87131.73625326932,CAN,272793.376962837
I00035,6636.409442264724,146806.56227187984,53250.57492254634,200057.13719442618,CAN,519451.19965465256
I00036,8649.577974157903,191340.63661017254,69404.24697547301,260744.88358564556,CAN,677027.7955679451
I00037,3610.74776397836,79874.738150521,28972.65396369686,108847.39211421786,CAN,282623.80040988675
I00038,5213.880646539621,115338.2563980499,41836.198387275064,157174.45478532495,CAN,408105.70539133804
I00039,10692.036724986507,236522.65113170884,85792.94385793858,322315.5949896474,CAN,836897.0226843782
I00040,21757.66336596909,481309.62828850205,174583.5746405808,655893.2029290828,CAN,1.7030360220326944e6
I00041,4342.057785160152,96052.32802026792,34840.6883900448,130893.01641031272,CAN,339865.577175956
I00042,7557.687208645309,167186.50159848272,60642.91126796385,227829.41286644657,CAN,591562.3080973892
I00043,7839.276870471237,173415.65466440003,62902.38779889938,236318.0424632994,CAN,613603.1554740258
I00044,3498.542875057853,77392.61070557896,28072.321502880754,105464.93220845971,CAN,273841.19519784546
I00045,4761.906711384084,105339.96737837262,38209.55779096721,143549.52516933982,CAN,372728.3820251869
I00046,1859.5517398175953,41135.85827762805,14921.05032171074,56056.90859933879,CAN,145552.5597797519
I00047,1572.0089406689262,34775.01357443503,12613.80579397111,47388.81936840614,CAN,123045.74291300034
I00048,2883.933144782779,59934.498034350756,23140.690660198743,83075.18869454949,CAN,225733.89192062934
I00049,2320.8360684228805,48232.097554889224,18622.397550915106,66854.49510580432,CAN,181658.6349037328
I00050,11725.768472086105,1.8274737296151724e7,94087.6113777227,1.8368824907529447e7,CAN,917810.2334836114
I00051,4672.04802003504,875968.2548807837,37488.531305523094,913456.7861863069,CAN,365694.87913077703
