SECTOR_CODE,x,CO2,non_CO2,GHG6,ISO_COUNTRY,CO2_EDGAR
I00001,12387.527677694821,189763.5735412887,5.476716760229811e6,5.476716760229811e6,CHE,189763.5735412887
I00002,2085.6150259544625,33999.99111196081,660952.7377550616,660952.7377550616,CHE,33999.99111196081
I00003,42608.15369597803,669670.527,33255.902422791754,702926.4294227918,CHE,477306.85456345644
I00004,3609.6802914089544,20927.97420498292,2817.3756695752368,23745.349874558156,CHE,40436.512648862874
I00005,9068.54984885059,10425.605185763907,7078.053910560923,17503.65909632483,CHE,101588.09120648117
I00006,3272.114113510351,69193.39555681351,2553.9033784843796,71747.29893529789,CHE,36655.01458796474
I00007,3915.488824170622,82798.44700112518,3056.0609409001736,85854.50794202536,CHE,43862.25387934749
I00008,27642.908289137475,1.0721423970860639e6,373409.94595353876,1.4455523430396025e6,CHE,779500.7478553558
I00009,88834.64495651417,973656.9874220033,1.198288977871551e6,2.171945965293554e6,CHE,1.107644976719328e6
I00010,8411.455240218158,58437.57901499509,6565.18789099234,65002.76690598743,CHE,94227.15829596744
I00011,7513.621120383855,218066.84812799018,5864.42333559502,223931.2714635852,CHE,84169.40308987147
I00012,5543.406967040795,351524.60133146396,12244.002236989989,363768.6035684539,CHE,73580.77923637153
I00013,20885.34789359149,93928.24342106837,46130.5200664273,140058.76348749566,CHE,277223.0474454111
I00014,66685.02560247316,299904.38029769267,52048.035695725375,351952.415993418,CHE,747021.8034771248
I00015,21394.17822764951,96216.61992889232,16698.275842487114,112914.89577137944,CHE,239662.76475324697
I00016,32174.877338401773,144700.95140774437,25112.67183426879,169813.62324201316,CHE,360430.766560233
I00017,2049.331625390255,22957.109079447655,1599.5148030165115,1599.5148030165115,CHE,22957.109079447655
I00018,5900.548917360822,66099.37769279949,4605.411453329034,4605.411453329034,CHE,66099.37769279949
I00019,2822.22824482083,3244.558161451,2202.764940116798,5447.3231015677975,CHE,31615.284154467612
I00020,8844.686831266368,39777.45077089281,6903.327572452654,46680.77834334546,CHE,99080.32347876817
I00021,5003.346074762858,23166.79883833031,1899.7236897721098,25066.522528102418,CHE,76645.86958060885
I00022,45425.94040926936,2.8601878070655796e6,338505.6060212414,3.198693413086821e6,CHE,3.0422582077412037e6
I00023,6109.300870907387,28287.658339895224,521193.71656195127,549481.3749018465,CHE,60530.41818753146
I00024,83173.73629645501,214067.592,8062.781383829763,222130.37338382978,CHE,931732.3331402349
I00025,14408.582473704282,66715.4993330378,5470.803948461352,72186.30328149916,CHE,220723.95485321843
I00026,137105.44356326188,634834.0057249953,52057.654066271374,686891.6597912667,CHE,2.1003076319559542e6
I00027,42350.57776235747,1.4252295418200588e6,16080.118114655832,1.4413096599347147e6,CHE,648765.2085891207
I00028,59510.628679367204,1.7535717669587616e7,169161.43613369743,1.7704879105721314e7,CHE,1.172374420096613e7
I00029,17068.957618633714,3.532177702717885e6,46981.12802902262,3.5791588307469077e6,CHE,3.273556386369123e6
I00030,6223.601634743375,28816.900723549716,17127.774134605235,45944.67485815495,CHE,1.19126220089888e6
I00031,9033.87124009885,41829.182835542124,3430.076382629628,45259.25921817175,CHE,138389.17127263627
I00032,16616.00452001392,76936.43982646044,6308.941445256116,83245.38127171656,CHE,254539.28158510523
I00033,9172.778613333865,236443.49845522802,10642.223257104564,247085.7217123326,CHE,243272.76958865722
I00034,18383.297123491382,85119.46606958752,12566.207283941872,97685.67335352939,CHE,0.0
I00035,32905.26500635991,152359.9694551252,12493.821238174882,164853.79069330008,CHE,504073.19671813236
I00036,65315.1687912633,302426.2871023777,24799.558455509774,327225.84555788746,CHE,1.000557993392031e6
I00037,46845.583248375886,216907.28311869132,17786.82963927279,234694.11275796412,CHE,717623.8482069725
I00038,67102.02614703591,310699.90325752983,25478.011474405866,336177.9147319357,CHE,1.027930722322478e6
I00039,71773.46795892397,332329.8986893579,27251.7142210935,359581.6129104514,CHE,1.0994921763009229e6
I00040,20332.099536965787,94142.93013023697,7719.907952801198,101862.83808303816,CHE,311465.85227648856
I00041,9797.285834329698,45363.99175551672,3719.937761016659,49083.929516533375,CHE,150083.86009707948
I00042,36978.53628725029,182380.4508240494,39331.1229441124,221711.5737681618,CHE,580293.1815973071
I00043,73731.15677351215,341394.5091076495,27995.030346482916,369389.53945413243,CHE,1.12948185906926e6
I00044,40010.25459368942,185257.92655394445,15191.5193052177,200449.44585916214,CHE,612913.9798949892
I00045,53487.11887059415,247659.32733838446,20308.558572163245,267967.8859105477,CHE,819365.0161192153
I00046,23153.69312542706,107207.64524101473,8791.240637531195,115998.88587854593,CHE,354689.62511953246
I00047,11574.315154679132,53592.10154028739,4394.659166820566,57986.760707107955,CHE,177306.03411686808
I00048,17334.9067182378,80265.14472950382,6581.9018833685,86847.04661287232,CHE,265552.0884753206
I00049,2275.1831071978468,8.467114598899623e6,863.8657375940012,8.467978464637218e6,CHE,34853.35315617874
