SECTOR_CODE,x,CO2,non_CO2,GHG6,ISO_COUNTRY,CO2_EDGAR
I00001,2057.9850687174626,52076.67014435212,697729.1749242248,697729.1749242248,CHL,52076.67014435212
I00002,1351.5131050124494,34199.61749740233,406467.5739489943,406467.5739489943,CHL,34199.61749740233
I00003,1373.6570288150515,34759.9625810955,413127.3591574198,413127.3591574198,CHL,34759.9625810955
I00004,3613.945319837452,91449.75889362885,1.0868940753076312e6,1.0868940753076312e6,CHL,91449.75889362885
I00005,1461.0514506817012,36971.45116242043,4.023968523966291e6,4.023968523966291e6,CHL,36971.45116242043
I00006,943.3188243749336,23870.388568244627,2.5980503667947655e6,2.5980503667947655e6,CHL,23870.388568244627
I00007,1623.9801734505925,41094.31166400992,676486.4441026369,676486.4441026369,CHL,41094.31166400992
I00008,194.98300412177798,4933.984091406797,537014.2652596805,537014.2652596805,CHL,4933.984091406797
I00009,835.1796418784401,21133.96029082308,2642.6338036082157,2642.6338036082157,CHL,21133.96029082308
I00010,2871.27069681197,72656.60924654127,9085.131655794617,9085.131655794617,CHL,72656.60924654127
I00011,3415.461555614265,86427.18915997092,10807.033252738529,10807.033252738529,CHL,86427.18915997092
I00012,933.5198604555826,23622.428843200334,2953.797022675285,2953.797022675285,CHL,23622.428843200334
I00013,82.25523796518328,15578.995393515623,903143.8331153002,918722.8285088157,CHL,102812.86678331
I00014,214.29166099212836,41558.24642851133,1.4569283828757128e6,1.4984866293042242e6,CHL,95562.879269403
I00015,34432.761910032474,6.52150370544759e6,49901.94102456709,6.571405646472157e6,CHL,3.4227869357887185e6
I00016,807.2364627179849,152889.14657914467,1169.893558369946,154059.04013751462,CHL,80243.29927127852
I00017,1161.3108103783766,219950.19664258423,1683.038488812276,221633.2351313965,CHL,115440.04168295217
I00018,1766.1222008911127,334500.39550933545,2481.0067564002916,336981.4022657357,CHL,171002.10159512763
I00019,5065.606035332378,28271.78169632116,29851.732630436625,58123.51432675778,CHL,490469.6161215432
