SECTOR_CODE,x,CO2,non_CO2,GHG6,ISO_COUNTRY,CO2_EDGAR
I00001,2544.587633958903,40632.71747211781,1.4955565499833927e6,1.4955565499833927e6,COL,40632.71747211781
I00002,13092.343495726025,209062.35934271882,1.0927432770905804e7,1.0927432770905804e7,COL,209062.35934271882
I00003,9236.23804956164,147486.94293903175,4.769061980902794e7,4.769061980902794e7,COL,147486.94293903175
I00004,743.230256958904,11868.11750741551,3336.906428729806,3336.906428729806,COL,11868.11750741551
I00005,728.4982399726026,11632.872363561884,3270.7635857420996,3270.7635857420996,COL,11632.872363561884
I00006,4683.676500369863,126677.95652873725,5.25243975346874e6,5.379117709997477e6,COL,807677.6107932699
I00007,18849.615733972594,2.106313666477013e6,1.0733715973063039e7,1.2840029639540052e7,COL,2.9943917005826817e6
I00008,2072.0581891232873,56042.31999926678,2650.110648826289,58692.43064809307,COL,156992.2342289228
I00009,1524.3954576575338,41229.85468840476,1910.708417602682,43140.563106007445,COL,110900.6029020526
I00010,7865.4238689863,443570.7436974329,47475.4692390242,491046.21293645713,COL,572213.8863436182
I00011,2602.0425002054785,146742.24125409077,15705.852695903066,162448.09394999384,COL,189300.0143761782
I00012,3042.8981085205473,171604.3025111533,18366.844299157983,189971.1468103113,COL,221372.50088832053
I00013,8349.002326561642,470842.16093262343,50394.33471527624,521236.4956478997,COL,607394.4834951995
I00014,3299.2352040821906,186060.43837992148,19914.087537140786,205974.52591706227,COL,240021.16472495464
I00015,1782.2057549178078,100507.53084622015,10757.341995113227,111264.87284133337,COL,129656.44296763289
I00016,884.6576200273971,49890.28499537525,5339.767611544115,55230.052606919366,COL,64359.325482176944
I00017,2367.4351296986297,133511.55368454292,14289.769445048112,147801.32312959104,COL,172232.19991650016
I00018,4920.125372999998,277470.5733776927,29697.7333566269,307168.3067343196,COL,357941.8106229816
I00019,143.63716561643832,8100.420960947688,866.9897454214008,8967.41070636909,COL,10449.682322251878
I00020,898.6530361643833,55367.46571278448,5424.243535456968,60791.709248241445,COL,65377.49965716558
I00021,752.8060679999998,46381.59832661127,4543.915486259854,50925.51381287112,COL,54767.05299149445
I00022,5472.576009986301,337174.2512402724,33032.30930055537,370206.5605408278,COL,398132.89647779654
I00023,1535.0761699726022,94578.52339790399,9265.675022862559,103844.19842076655,COL,111677.63056191236
I00024,1098.271866328767,334307.97852875537,6629.136976529788,340937.11550528515,COL,79899.87867937205
I00025,3721.675791164382,815524.745284756,22463.92660893142,837988.6718936873,COL,270753.9483752697
I00026,2453.2491286438353,537576.4797963147,14807.740241671669,552384.2200379864,COL,178475.21525261478
I00027,9865.663475301368,6.465124212429267e6,67229.55920948333,6.532353771638751e6,COL,4.915258185685284e6
I00028,13593.600373684929,536026.8563401334,3.034590808060735e6,3.570617664400868e6,COL,1.0723400026589073e6
I00029,4238.401286958903,428264.6409423133,946166.8162010062,1.3744314571433195e6,COL,334349.04090055835
I00030,7789.9222819315055,1.0191625054046159e6,47019.74386002064,1.0661822492646365e6,COL,566721.1046101268
I00031,8310.699082397257,3.871736677662142e6,50375.51385583581,3.922112191517978e6,COL,629671.1278662712
I00032,2217.168556438356,3309.6712253000514,13382.764788299573,16692.436013599625,COL,161300.22456399054
