SECTOR_CODE,x,CO2,non_CO2,GHG6,ISO_COUNTRY,CO2_EDGAR
I00001,54374.148636931495,2.2854706961770025e6,6.4437752544366665e7,6.4437752544366665e7,DEU,2.2854706961770025e6
I00002,7035.139714630135,295703.1248187205,8213.621765691862,8213.621765691862,DEU,295703.1248187205
I00003,461.7573558356163,19408.72513799112,539.1080237500496,539.1080237500496,DEU,19408.72513799112
I00004,12965.83575364383,646421.6072534211,1.140930966382778e7,1.2055731271081202e7,DEU,6.301977618676947e6
I00005,198186.03512591773,7.63678333339e6,407348.2430645573,8.0441315764545575e6,DEU,8.073715832973621e6
I00006,24894.9374439452,143469.9532300064,51168.63568389216,194638.58891389854,DEU,1.0141716114072618e6
I00007,28319.267835178078,905731.6269689042,58206.94677203232,963938.5737409365,DEU,1.153672209819577e6
I00008,42063.20913315068,2.9855370797284953e6,86456.01253973131,3.0719930922682267e6,DEU,1.7135738012430086e6
I00009,20464.952811397252,1.4525490734649494e6,42063.31978348135,1.4946123932484307e6,DEU,833702.6038664029
I00010,60969.73086860273,2.9484719547644395e7,161649.11545304584,2.964636866309744e7,DEU,2.613662105935856e7
I00011,152879.42456547936,1.3032990562581899e7,1.077755105091417e7,2.381054161349607e7,DEU,1.8133102526878204e7
I00012,51546.994826082184,4.211732585504815e6,3.63391195275832e6,7.845644538263135e6,DEU,6.114014000186578e6
I00013,87134.50104109586,663344.4558320681,179094.78781815295,842439.243650221,DEU,3.5496910779146627e6
I00014,49141.6385998904,3.8956320536508337e6,101004.89740490787,3.9966369510557414e6,DEU,2.0019353299546235e6
I00015,109130.13508734242,4.310985196830122e7,524840.438356005,4.363469240665723e7,DEU,6.743587473837203e6
I00016,139363.03196449316,1.2422866298997845e6,670239.7530098003,1.9125263829095848e6,DEU,8.61179907749179e6
I00017,91820.89420536984,1.124367391697289e6,188727.12150182482,1.3130945131991138e6,DEU,3.740605673213462e6
