SECTOR_CODE,x,CO2,non_CO2,GHG6,ISO_COUNTRY,CO2_EDGAR
C00001,10079.894286418777,147076.57235974685,1.0630806785908582e7,1.0630806785908582e7,DNK,147076.57235974685
C00002,718.3471978035489,10481.463457362455,1312.4721318899801,1312.4721318899801,DNK,10481.463457362455
C00003,717.492134995616,10468.987165114777,1310.9098704795383,1310.9098704795383,DNK,10468.987165114777
C00004,3651.341673365794,1.276108087949356e6,916074.5043419149,2.192182592291271e6,DNK,218154.89011918643
C00005,398.2618001401902,6078.154665445232,69.85674944057605,6148.011414885808,DNK,9876.337521530311
C00006,390.7759366183931,136572.3555623985,98109.18313170239,234681.5386941009,DNK,33038.19355469322
C00007,5667.179572322235,241919.8935739163,12696.530470706182,254616.4240446225,DNK,136516.37489864108
C00008,2031.431559321778,86717.51095270852,4551.140891678911,91268.65184438742,DNK,48935.04234235235
C00009,5131.458772322083,219051.10721070893,11496.32225880972,230547.42946951865,DNK,123611.42621287842
C00010,1893.6552573639672,80836.13241488616,4242.4721802634795,85078.60459514963,DNK,45616.1566338281
C00011,4950.050118060548,211307.15596083621,11089.90130865487,222397.05726949108,DNK,119241.48318584326
C00012,1123.169918610879,47945.74509387335,2516.306553099067,50462.05164697242,DNK,27055.97797408925
C00013,198.06241448061223,8454.865003070377,443.7313920378002,8898.596395108178,DNK,4771.114534753598
C00014,931.8782275118454,2728.144453202103,2087.744028506861,4815.888481708964,DNK,22447.963019946932
C00015,377.5036636453356,1105.1707139755056,845.7446437174044,1950.91535769291,DNK,9093.664849356364
C00016,48.51057414034464,142.01839881589927,108.68121873751633,250.6996175534156,DNK,1168.5685342026175
C00017,1683.6119091044116,1.1969380640877227e6,3771.8991664188143,1.2007099632541414e6,DNK,40556.43404871554
C00018,1425.5659504132207,28376.623289735788,3193.7829561320855,31570.406245867875,DNK,34340.379239051064
C00019,1149.4257431299538,22879.91046844859,2575.129089386434,25455.039557835025,DNK,27688.45307701778
C00020,4107.421488583073,1.98393323245053e6,12780.682113110974,1.996713914563641e6,DNK,2.3169843419307666e6
C00021,2638.149673713058,36394.06002078808,103705.97233212322,140100.0323529113,DNK,63569.77329998327
C00022,3473.951815431657,51340.38822238869,136561.45231033236,187901.84053272105,DNK,83709.55278334809
C00023,13607.941734434853,187725.60676793332,534929.7816837741,722655.3884517074,DNK,327901.70313570066
C00024,3169.409958225256,12395.39970151,7100.623792705629,19496.023494215628,DNK,76347.74097819315
C00025,344.26000689344664,24626.003283696762,771.2668376903227,25397.270121387086,DNK,8292.860242721505
C00026,2628.038203759348,228100.20288147085,5887.755400441238,233987.95828191208,DNK,63306.66676322548
C00027,1454.7694083285319,99986.79855956371,3259.2092565589483,103246.00781612267,DNK,36076.25357890713
C00028,6563.208433715541,35165.18041262298,14703.95896245072,49869.139375073704,DNK,162758.42095001796
C00029,1533.1493427428088,6706.842642064187,3434.808637676677,10141.651279740865,DNK,36931.9496194679
C00030,3284.8742430821567,17600.1107624992,7359.305521818937,24959.416284318137,DNK,79129.15374229742
C00031,1496.5457240809387,8018.38017404745,3352.8033026157827,11371.183476663233,DNK,36050.20707644078
C00032,417.1539977308981,1824.8621594057408,934.5757224694648,2759.4378818752057,DNK,10048.7995515135
C00033,847.2206738816199,9544.231727785014,1898.0805114919663,11442.31223927698,DNK,20408.651898444936
C00034,13478.992443557261,58964.563185203006,30197.81464308122,89162.37782828422,DNK,324694.70257611683
