SECTOR_CODE,x,CO2,non_CO2,GHG6,ISO_COUNTRY,CO2_EDGAR
I00001,474.08627875573495,13805.117135894996,1.4369297423650865e6,1.4369297423650865e6,DOM,13805.117135894996
I00002,163.66660472076595,4765.8764884198135,29888.029778735065,29888.029778735065,DOM,4765.8764884198135
I00003,253.37487248322003,7378.1291521527655,46270.134013483555,46270.134013483555,DOM,7378.1291521527655
I00004,2460.983860210816,71662.42091824382,449413.3609263708,449413.3609263708,DOM,71662.42091824382
I00005,2250.593764450389,221961.5560071289,5.968673004347594e6,6.190634560354724e6,DOM,193567.49754727367
I00006,1826.0686386820732,104419.65581813529,285645.0711122355,285645.0711122355,DOM,104419.65581813529
I00007,2382.434323708502,37967.77311481497,9610.663973616358,47578.437088431325,DOM,135531.6443124706
I00008,456.1732690921168,7269.8260806504695,1840.1883986317262,9110.014479282196,DOM,25950.73141626476
I00009,1368.3893366292505,21807.398990541227,343806.3872739171,365613.7862644583,DOM,117691.47491012551
I00010,891.1974036295633,14202.608015170399,3595.06186391354,17797.66987908394,DOM,50698.33334708862
I00011,382.23963460221523,6091.579347075581,1541.9424783309423,7633.521825406523,DOM,21744.803490908205
I00012,2626.3899151668375,41855.582509771404,20122.520312402037,61978.102822173445,DOM,225888.71056718318
I00013,1962.910134705693,31282.006768298765,7918.316793596788,39200.32356189555,DOM,111665.80146484915
I00014,696.5930187542634,11101.286371771535,2810.033990441024,13911.320362212558,DOM,39627.701930265
I00015,464.89156697064135,384.6391081160204,1875.3577338358825,2259.9968419519028,DOM,26446.696923193434
I00016,1829.8511413996475,1513.9709149800312,7381.561064128656,8895.531979108688,DOM,104096.35706343579
I00017,394.7730273109639,22230.74591713929,77426.7295538521,99657.4754709914,DOM,26227.456030566434
I00018,1458.819513382382,67590.71027230751,286117.88576317165,353708.59603547916,DOM,96919.29791756097
I00019,237.41381703642364,10999.968381794839,46563.90921446414,57563.87759625898,DOM,15773.013900635382
I00020,810.4744174380336,38221.84634758749,158937.45534551603,197159.3016931035,DOM,46106.17357862086
I00021,1586.7585035126622,269073.845956272,311170.0423479976,580243.8883042696,DOM,90267.33159767011
I00022,1196.8361618776255,23641.750788796886,4827.9988534474805,28469.749642244366,DOM,68438.31924370473
I00023,2464.1839276389105,486181.5988842847,18942.62227283984,505124.2211571245,DOM,236194.57180862577
I00024,410.90949558145434,8116.917085832741,1657.595781886804,9774.512867719544,DOM,23375.77117889793
I00025,726.9616371275822,41355.30832959985,2932.540027071089,2932.540027071089,DOM,41355.30832959985
I00026,1374.6140751834414,27153.4938794591,5545.149277998678,32698.64315745778,DOM,78198.88424654544
I00027,125.57666406403139,20888.921154309526,962.1263616646348,21851.04751597416,DOM,10837.531829004785
I00028,2790.6865651218277,1.682283824027997e6,17402.95367382214,1.699686777701819e6,DOM,1.7757865535696626e6
I00029,256.8595144120637,923.3638384684093,879.9449428304015,1803.3087812988108,DOM,0.0
I00030,14219.885937884146,132781.0865586515,57362.56573042812,190143.65228907962,DOM,808939.203032159
I00031,10725.516613548076,7.828338314125664e6,99271.04091849466,7.927609355044158e6,DOM,6.527094485552395e6
I00032,7402.170891399859,7.215196627550581e6,143013.59833974895,7.358210225890329e6,DOM,5.874709222820448e6
I00033,8682.80665765554,31213.131047308925,31498.593177745817,62711.72422505474,DOM,252838.28777297982
I00034,1833.1495545231755,6589.843529937299,12930.08393224905,19519.927462186348,DOM,53380.2505194315
I00035,4410.236063746406,15854.006847649138,15999.000906842737,31853.007754491875,DOM,128423.51315621388
I00036,1562.0081744588833,5615.138948575573,5666.492640857519,11281.631589433091,DOM,45484.77098351275
I00037,4970.277916956457,3.753329725334974e6,856720.0033313279,4.610049728666302e6,DOM,3.8275782906797435e6
I00038,1745.4461548691822,6274.565554205687,6331.950084067645,12606.515638273331,DOM,50826.37845079184
I00039,1987.6696871551587,7145.315664634345,7210.663707712083,14355.979372346428,DOM,57879.78705197401
I00040,2248.286931004859,1.270443866805248e6,4.613292114606558e6,5.883735981411806e6,DOM,193413.87546432417
