SECTOR_CODE,x,CO2,non_CO2,GHG6,ISO_COUNTRY,CO2_EDGAR
I00001,3535.299,150730.74892645844,584282.776829297,584282.776829297,ECU,150730.74892645844
I00002,954.9200000000001,40713.89909731926,2.871952279763059e6,2.871952279763059e6,ECU,40713.89909731926
I00003,1182.697,50425.38256681418,195465.64160702645,195465.64160702645,ECU,50425.38256681418
I00004,1134.1550000000002,48355.74941431758,187443.05156503915,187443.05156503915,ECU,48355.74941431758
I00005,1903.679,81165.11825041432,314623.1343690079,314623.1343690079,ECU,81165.11825041432
I00006,355.805,15170.075889416581,51770.801162641765,51770.801162641765,ECU,15170.075889416581
I00007,2705.844,223536.41190270125,8.230908730241591e6,8.230908730241591e6,ECU,223536.41190270125
I00008,1465.289,484992.00063,7414.315290488681,492406.3159204887,ECU,121051.11952518224
I00009,1322.9859999999999,56406.73408365729,1512.33443756456,1512.33443756456,ECU,56406.73408365729
I00010,632.912,26984.789621625405,723.4956481382728,723.4956481382728,ECU,26984.789621625405
I00011,224.512,9572.27716891189,256.6446124497875,256.6446124497875,ECU,9572.27716891189
I00012,7448.226000000001,375851.27367752406,7.163823410565221e6,7.539674684242745e6,ECU,2.2601240700908266e6
I00013,1309.382,66073.839922476,1.2593846407148105e6,1.3254584806372866e6,ECU,397324.91671757365
I00014,291.085,12091.967895276995,128.30392205820422,128.30392205820422,ECU,12091.967895276995
I00015,254.126,10556.653325850395,112.01320060107257,112.01320060107257,ECU,10556.653325850395
I00016,3088.527,123468.58278875708,12097.284205695754,12097.284205695754,ECU,123468.58278875708
I00017,2840.358,113547.64807712818,11125.244484481304,11125.244484481304,ECU,113547.64807712818
I00018,528.1610000000001,21114.042439743196,2068.725228357879,2068.725228357879,ECU,21114.042439743196
I00019,1195.9840000000002,47811.28658354901,4684.484983768907,4684.484983768907,ECU,47811.28658354901
I00020,1387.897,55483.30179621793,5436.178624060117,5436.178624060117,ECU,55483.30179621793
I00021,1364.2869999999998,112707.09648653082,349229.4123740486,349229.4123740486,ECU,112707.09648653082
I00022,1356.279,54219.32396775313,5312.335791533256,5312.335791533256,ECU,54219.32396775313
I00023,982.9169999999999,39293.60792020815,3849.934386071371,3849.934386071371,ECU,39293.60792020815
I00024,138.79600000000002,5548.582031741452,543.6425385349548,543.6425385349548,ECU,5548.582031741452
I00025,476.0690000000001,19031.58519891871,1864.6888936121888,1864.6888936121888,ECU,19031.58519891871
