SECTOR_CODE,x,CO2,non_CO2,GHG6,ISO_COUNTRY,CO2_EDGAR
I00001,52472.72952504108,1.4107573009213496e6,4.094695116361679e7,4.094695116361679e7,ESP,1.4107573009213496e6
I00002,1491.8314573150683,40108.68386686468,2091.132409049427,2091.132409049427,ESP,40108.68386686468
I00003,3411.0104675068483,91706.83446642496,4781.287122774471,4781.287122774471,ESP,91706.83446642496
I00004,6601.132199890409,266601.13171703235,2.0464516245905987e6,2.3130527563076313e6,ESP,846923.0796386771
I00005,156657.84292909584,2.90685679e6,308348.07629233063,3.2152048662923304e6,ESP,5.564736743382476e6
I00006,23045.688033315062,214503.69348071306,45360.598863359424,259864.29234407248,ESP,818619.6399599457
I00007,7521.316930630135,5.653388600034187e6,14804.133411912313,5.668192733446099e6,ESP,267169.1879572581
I00008,13554.13238487671,762187.3507221811,26678.464151839027,788865.8148740202,ESP,481464.42652687104
I00009,9059.768120986299,509456.4864953273,17832.25160980347,527288.7381051308,ESP,321817.43094851536
I00010,35508.696666301366,2.408173887321124e7,91224.0189016989,2.4172962892112937e7,ESP,2.183440350143458e7
I00011,54784.84628515067,3.3555016509154583e6,7.271979312912376e6,1.0627480963827834e7,ESP,4.303299385000307e6
I00012,16807.5237549589,991420.8234057085,2.230981253669649e6,3.2224020770753575e6,ESP,1.3202155621945588e6
I00013,21038.819525260267,241748.64970186283,41410.499511420596,283159.14921328344,ESP,747332.4658414801
I00014,18339.31498345205,2.2878771950916983e6,36097.09153359138,2.32397428662529e6,ESP,651441.7537529246
I00015,44724.97389106848,5.853877613066664e6,454316.84952990094,6.308194462596565e6,ESP,2.825342788245865e6
I00016,33822.61632131506,507243.62971734407,343570.5636717447,850814.1933890888,ESP,2.1366247263951492e6
I00017,8479.241445260272,127164.65122282796,16689.606719834435,143854.2579426624,ESP,301196.1963998663
I00018,19835.58641534246,364517.6385763993,39042.187731828955,403559.82630822825,ESP,704591.7043677983
I00019,28424.717231342456,426290.4029996306,55948.08860865562,482238.4916082862,ESP,1.0096913466956116e6
I00020,69871.87989216436,236151.57677344725,137528.12721562223,373679.70398906944,ESP,2.4819607502263105e6
I00021,19683.51728613698,66525.95651845238,38742.87157518315,105268.82809363553,ESP,699189.9660634677
I00022,14101.359251287668,354655.61566644814,27755.56535787102,382411.18102431914,ESP,500902.7986731119
