SECTOR_CODE,x,CO2,non_CO2,GHG6,ISO_COUNTRY,CO2_EDGAR
I00001,1044.7088126766025,36611.41858267202,1.620844994439346e6,1.620844994439346e6,EST,36611.41858267202
I00002,723.6821119740491,25361.161311918382,6055.212818217517,6055.212818217517,EST,25361.161311918382
I00003,92.49321735544108,3241.389232643886,773.9117853847539,773.9117853847539,EST,3241.389232643886
I00004,479.9191828354192,4.431240495270485e6,170250.28042453187,4.601490775695017e6,EST,4.116919008567661e6
I00005,1749.4087013486899,86505.2427,10711.081476047577,97216.32417604758,EST,72983.98829517687
I00006,557.2849628152111,4599.641316683626,3412.0812577918646,8011.722574475491,EST,23249.500915267585
I00007,2105.7038960930186,366917.09056734235,12892.565343990269,379809.65591133264,EST,87848.35035236822
I00008,236.85477269685472,18578.452267979777,1450.1875784605886,20028.639846440365,EST,9881.399323575492
I00009,250.35606938428495,19637.46912124915,1532.8517887962685,21170.32091004542,EST,10444.6630587138
I00010,291.43382616043823,12662.360759066007,2166.504687228529,14828.865446294536,EST,245649.2991029707
I00011,477.0353083493697,21485.489246651927,198624.59095697617,220110.0802036281,EST,101669.85313031395
I00012,50.347757693282176,2187.534232801843,20963.443590857074,23150.977823658915,EST,10730.545602229733
I00013,368.39712244497525,3626.7915939111117,2255.580180324659,5882.371774235771,EST,15369.24519225986
I00014,460.96293338472316,71219.77695536001,2822.3316444666193,74042.10859982662,EST,19231.01977755361
I00015,72.55817550961095,362902.07782683044,444.250979795428,363346.32880662585,EST,3203.105156637682
I00016,1232.7214230586735,6318.467535139083,7547.567123377996,13866.03465851708,EST,54418.90344078403
I00017,1820.4793743761966,9331.094284745644,11146.224944105263,20477.31922885091,EST,75949.00222495268
I00018,641.0022374243943,8062.483991039264,3924.655905785958,11987.139896825222,EST,26742.1213563745
I00019,412.3237889073971,2113.417050636369,2524.529399044926,4637.946449681294,EST,17201.832002001884
I00020,369.4558343824657,2753.2991915463163,2262.0623418763776,5015.361533422694,EST,15413.41384169792
I00021,70.30566540817532,523.9395719734825,430.4595660431716,954.3991380166542,EST,2933.0983990642376
I00022,714.464946754367,13213.55329351954,4374.445062818224,17587.998356337765,EST,29806.92920472762
