SECTOR_CODE,x,CO2,non_CO2,GHG6,ISO_COUNTRY,CO2_EDGAR
I00001,4963.891575232876,74459.70649271204,5.05652995074888e6,5.05652995074888e6,FIN,74459.70649271204
I00002,5123.730659945204,76857.33568210168,15490.900472777943,15490.900472777943,FIN,76857.33568210168
I00003,221.99872876712323,3330.0405408189636,671.1828627720079,671.1828627720079,FIN,3330.0405408189636
I00004,2062.367080252931,68110.13605082413,8.244373743739072e6,8.312483879789896e6,FIN,377103.12776132836
I00005,12162.200355506848,222018.44916,46736.981584786656,268755.43074478663,FIN,583053.6190317984
I00006,1303.1314278693694,6837.822971416124,5007.681814689964,11845.504786106088,FIN,62471.87785796406
I00007,6285.892895047451,1.536771154823044e6,24155.46956079814,1.560926624383842e6,FIN,301344.5342268372
I00008,15078.152547869364,1.7705292612175308e6,57942.421384572444,1.8284716826021033e6,FIN,722843.8238454256
I00009,1357.5211164173145,159404.86420381648,5216.690858922377,164621.55506273886,FIN,65079.30939328924
I00010,6796.491081205478,4.331100588563304e6,30482.224984989545,4.361582813548294e6,FIN,3.9647719299786966e6
I00011,8390.443063747067,466082.583166441,2.0987032790558417e6,2.5647858622222827e6,FIN,1.2799512424896588e6
I00012,2036.8383364383558,107938.18918658314,509474.7992581916,617412.9884447748,FIN,310717.0550670021
I00013,3343.2986352455882,26045.490376139263,12847.649453264054,38893.13982940331,FIN,160277.11366400824
I00014,3133.5131665415884,237229.1820482614,12041.484507696843,249270.66655595825,FIN,150220.0373807051
I00015,9137.466566061146,3.1208645794091257e6,44745.10140603502,3.1656096808151607e6,FIN,889633.7044703539
I00016,7448.055130149696,41026.41382061141,36472.251872758025,77498.66569336943,FIN,725150.7656559078
I00017,10689.238790136982,58879.952735080966,41076.67542771702,99956.62816279798,FIN,512440.116024114
I00018,5165.90819842367,45231.87251982937,19851.58518039919,65083.45770022856,FIN,247652.6765416402
I00019,15739.708759595396,86699.65429942841,60484.65384095037,147184.3081403788,FIN,754558.7053771364
I00020,1779.3198110684925,5778.344931259491,6837.581589888929,12615.92652114842,FIN,85300.26022706696
I00021,1801.5185739515612,5850.435461690096,6922.887138370645,12773.322600060741,FIN,86364.46478369898
I00022,1841.4794551232874,23478.179676700915,7076.449069011687,30554.6287457126,FIN,88280.18198172434
I00023,3389.9216982676166,11718.93923267221,10248.965670442878,21967.904903115086,FIN,50849.7357085083
I00024,9595.8950509589,1.722364648355543e7,1.2652623451619984e6,1.8488908828717425e7,FIN,1.7081846718529463e7
I00025,771.4455824657533,2666.8828093727484,1468.325762139376,4135.208571512125,FIN,30159.315117192185
I00026,3362.1707471780815,11623.00435912238,1.3770341337639062e7,1.3781964341998184e7,FIN,131442.5402733455
I00027,33077.81058630136,912059.79159,71873.48106595983,983933.2726559598,FIN,1.5857440765855242e6
I00028,5713.137284821916,19750.281755167678,17272.89097343762,37023.1727286053,FIN,85698.59331797603
I00029,16443.44583978082,56844.89487488907,49714.514645522635,106559.4095204117,FIN,246656.10285846068
I00030,13403.173249315063,618407.207107858,40522.665339859974,658929.872447718,FIN,201051.1976519449
I00031,10716.988631232874,6.063379959546407e6,90869.85956876517,6.154249819115172e6,FIN,5.590448308139873e6
I00032,2743.904287561643,1.3405351656000002e6,8536.508412108657,1.349071674012109e6,FIN,396682.15245
I00033,2983.6629146301357,2.0845164656e6,6363.2268032715465,2.0908796924032716e6,FIN,181401.0371
I00034,7244.928513315067,4.0502290534204156e6,56554.66721791435,4.10678372063833e6,FIN,3.7323230911475997e6
I00035,1545.111152219178,5341.440101650167,12060.6957254831,17402.135827133265,FIN,795365.5604815843
I00036,8227.27399810323,28441.63748194765,24874.040250244925,53315.67773219258,FIN,123411.31909295349
I00037,3446.5302641095886,404703.6042980005,13244.348619217173,417947.9529172177,FIN,165226.0187180555
I00038,2029.0683809315062,7014.477374868179,9523.045027627666,16537.522402495844,FIN,30436.570543085327
I00039,4655.31445224022,16093.394488333988,7774.121535233412,23867.5160235674,FIN,0.0
I00040,12267.65197165852,42409.20020568812,37089.571708609794,79498.77191429792,FIN,184018.0735860614
I00041,6776.511195616436,23426.3590665045,20487.85688611554,43914.21595262004,FIN,101649.48750849886
I00042,2939.263168876712,10161.01536578279,8886.461103101386,19047.476468884175,FIN,44089.73676044309
I00043,2616.2550185205473,9044.378103153334,7909.890037768114,16954.26814092145,FIN,39244.52777355149
I00044,14798.435259616434,51158.103042528746,44741.04963238205,95899.15267491079,FIN,221980.50245099212
I00045,22344.172050410954,77243.67043550134,67554.5551380026,144798.22557350394,FIN,335168.5804334287
I00046,6244.824240219176,21588.320410836088,18880.373929776582,40468.69434061267,FIN,93674.04041323744
I00047,6491.241719157039,22440.184176012983,19625.3835515392,42065.56772755218,FIN,97370.3687633438
I00048,2378.7163787397253,8223.20843235367,7191.724374602065,15414.932806955734,FIN,35681.3843948752
I00049,1476.2904363077255,5103.52729436395,4463.3626815195385,9566.889975883489,FIN,22144.752946243403
I00050,1555.1033150009857,5375.982949204084,4701.642665546543,10077.625614750628,FIN,23326.967288842246
I00051,1943.5988703561638,6719.009783038392,5876.205963568929,12595.215746607322,FIN,29154.504934870027
I00052,2515.245596931506,8695.18913099086,7604.50183520685,16299.690966197712,FIN,37729.35932747886
I00053,804.7453917808217,4850.543453179191,1344.1950268572355,6194.738480036426,FIN,322.59665094339624
I00054,5851.885380307725,20229.93309946809,17692.376906755817,37922.31000622391,FIN,87779.85200578519
