SECTOR_CODE,x,CO2,non_CO2,GHG6,ISO_COUNTRY,CO2_EDGAR
I00001,88332.18418279449,2.5148801166136074e6,7.723235215629223e7,7.723235215629223e7,FRA,2.5148801166136074e6
I00002,7252.698468821916,206489.48443626222,10378.751942081291,10378.751942081291,FRA,206489.48443626222
I00003,2395.36628339726,68197.78197328649,3427.8155327535087,3427.8155327535087,FRA,68197.78197328649
I00004,1.1099936438356162,36.91367394356588,113389.92037800001,113426.83405194357,FRA,1.70110035228e6
I00005,266.3984745205479,8663.781844848096,3.468154169264654e6,3.4768179511095025e6,FRA,80689.28921324758
I00006,69.92959956164381,2235.13246594465,96.70884393529492,2331.841309879945,FRA,4790.814287029843
I00007,4709.70303079452,150534.39766671672,1020.0444863915317,151554.44215310825,FRA,187969.76238651128
I00008,78.80954871232875,2664.9475016008946,1.0261045977395143e6,1.0287695452411151e6,FRA,29269.75304906382
I00009,36224.642566575334,1.5821782618266204e6,53236.802914345506,1.6354150647409658e6,FRA,1.4457678990063153e6
I00010,3378.8206518356155,147576.24112150245,4965.614465183629,152541.85558668608,FRA,134852.68835836442
I00011,6802.041049424656,297091.72325642814,9996.48010599385,307088.203362422,FRA,271477.4225558664
I00012,4834.022318904108,211134.86533644653,7104.2217463451725,218239.0870827917,FRA,192931.49073609628
I00013,28947.524237589034,1.2643366597265645e6,42542.135229147134,1.3068787949557116e6,FRA,1.1553295859716774e6
I00014,6460.163007123286,282159.5674530697,9494.046053669093,291653.6135067388,FRA,257832.66959450755
I00015,28098.379100054786,1.2272486753448467e6,41294.206495288556,1.2685428818401352e6,FRA,1.1214392092981725e6
I00016,24844.987729972596,1.0851507900862647e6,36512.92660125006,1.1216637166875147e6,FRA,991592.5504353716
I00017,13042.425315068489,569652.0476930531,19167.532840311313,588819.5805333644,FRA,520538.46524664323
I00018,21704.815711561638,947997.9694119117,31898.037205059358,979896.006616971,FRA,866264.6084623713
I00019,639.3563388493149,27925.070593293498,939.6169290229207,28864.687522316417,FRA,25517.46008358013
I00020,7746.645640328765,61664.19502286161,11384.698867449588,73048.8938903112,FRA,309177.6977835169
I00021,6481.252886356163,51591.52238694498,9525.040362091724,61116.562749036704,FRA,258674.3913680979
I00022,3884.9777534246564,30924.872127814248,5709.477867326774,36634.34999514102,FRA,155054.01092453202
I00023,11174.306012493147,1.015214662629423e7,16422.089625822467,1.0168568715920052e7,FRA,445979.6365649326
I00024,7526.866898849313,309945.1613991273,11061.705548097958,321006.86694722524,FRA,300406.0708797862
I00025,10571.579463890408,511651.1319793893,15536.304916691486,527187.4368960807,FRA,421924.11429864087
I00026,9830.103709808216,475764.6393122083,14446.610283727403,490211.2495959357,FRA,392330.9487850445
I00027,39327.07480109588,1.1828107974724364e7,69393.75114971957,1.1897501725874083e7,FRA,1.5107023444416048e7
I00028,40650.18722454793,2.409368559218884e6,6.100503532717139e6,8.509872091936024e6,FRA,3.767684716734279e6
I00029,13766.141170849312,808778.194556027,2.0659288081688047e6,2.874707002724832e6,FRA,1.2759222832433656e6
I00030,17587.84928657534,1.160296710084346e6,2.639464760960709e6,3.7997614710450545e6,FRA,1.6301393789704181e6
I00031,28892.024555397253,1.6974429629171765e6,4.335918476683263e6,6.03336143960044e6,FRA,2.6778730132673406e6
I00032,6314.75383978082,95860.15156198246,9280.348453492006,105140.50001547448,FRA,252029.21947133224
I00033,25959.421348383556,394073.0118790797,38150.73110947751,432223.7429885572,FRA,1.0360709009977231e6
