SECTOR_CODE,x,CO2,non_CO2,GHG6,ISO_COUNTRY,CO2_EDGAR
I00001,38276.07945863015,968493.6549389205,4.875070886235581e7,4.875070886235581e7,GBR,968493.6549389205
I00002,1933.2125095890415,48915.773915904116,819.0662199524843,819.0662199524843,GBR,48915.773915904116
I00003,2851.679480547946,72155.60010045618,1208.2036098271428,1208.2036098271428,GBR,72155.60010045618
I00004,666.3088175342467,14389.65,548330.0762661065,562719.7262661065,GBR,896564.7859903696
I00005,28270.74957698631,8.822918103549413e6,6.015217631475978e6,1.4838135735025391e7,GBR,3.803793338625773e6
I00006,5663.624949041097,197533.3718779031,914.9982939371467,914.9982939371467,GBR,197533.3718779031
I00007,8995.16903671233,2.7702599385384456e6,1.9139181025389263e6,4.684178041077372e6,GBR,1.2102885340370447e6
I00008,28602.375754520555,845538.7853150294,57000.71529657238,902539.5006116019,GBR,997580.8386580772
I00009,13177.937921095894,389564.0599364981,26261.87048527162,415825.93042176974,GBR,459614.2109290767
I00010,2367.230179726028,69979.67399299961,4717.573626543633,74697.24761954324,GBR,82563.19294087206
I00011,12963.985548493154,383239.2346563045,25835.491978030746,409074.7266343353,GBR,452152.0759957506
I00012,8357.896612602743,247074.7818384215,16656.17182928801,263730.9536677095,GBR,291502.97107400215
I00013,14834.54057753425,438536.27853456885,29563.25835562236,468099.5368901912,GBR,517392.4556985443
I00014,20415.641040000006,603523.8637007629,40685.64627307707,644209.50997384,GBR,712047.5755307359
I00015,7555.575215342467,223356.6870376953,15057.252427134743,238413.93946483004,GBR,263519.96507402934
I00016,14421.918144657539,426338.40120848117,28740.956948800682,455079.3581572819,GBR,503001.19546998694
I00017,6103.75554410959,180438.22977923846,12163.969699428835,192602.1994786673,GBR,212884.04945503097
I00018,8901.94693150685,154878.0009638727,17740.39146198622,172618.39242585894,GBR,310478.11419017415
I00019,6369.667778630139,110820.8597454801,12693.897272713919,123514.75701819402,GBR,222158.41715787916
I00020,1722.3165994520552,29965.237268031684,3432.3469832890078,33397.58425132069,GBR,60070.1862132749
I00021,10549.380200547948,1.73393184491939e6,21023.50596774093,1.754955350887131e6,GBR,367936.553176785
I00022,17313.33163726028,1.6296637543556294e6,34503.15791808445,1.6641669122737139e6,GBR,603846.6189975078
I00023,13825.90796383562,1.3014006519247396e6,27553.188250058258,1.328953840174798e6,GBR,482213.8195842928
I00024,35737.687380821924,1.79005228444991e7,117139.13229452731,1.801766197679363e7,GBR,2.87067397286845e7
I00025,4470.076356164384,358936.2784151139,595619.5544860958,954555.8329012097,GBR,389092.02200856624
I00026,11017.018957808223,298187.84053282026,1.467973117364193e6,1.7661609578970133e6,GBR,958962.1834734203
I00027,7265.211281095892,613271.4440148417,968059.9528297093,1.581331396844551e6,GBR,632390.930813239
I00028,5027.880756164384,136085.17066902184,669944.7296612837,806029.9003303056,GBR,437645.38543869497
I00029,18236.383301917813,520810.9171417886,2.4299241516863527e6,2.9507350688281413e6,GBR,1.5873624268814432e6
I00030,3397.2580306849322,91950.5575675488,452670.8614094328,544621.4189769815,GBR,295709.93672651035
I00031,29348.15259616439,794340.3092789957,3.9105223672994813e6,4.704862676578477e6,GBR,2.5545720309923096e6
I00032,30848.875666849322,3.013805238488424e6,4.110487633113275e6,7.124292871601699e6,GBR,2.685200532056382e6
I00033,11522.863495890413,295314.5516982685,22963.528175686886,318278.0798739554,GBR,401889.26712341857
I00034,9458.223100273975,745875.8138378751,18848.975580812486,764724.7894186876,GBR,329879.665016822
I00035,11684.856006575345,8.147655884531139e6,38889.228002992284,8.186545112534132e6,GBR,533430.6176386487
I00036,9860.14791452055,3.4627126870641178e6,32816.28290286506,3.495528969966983e6,GBR,450130.04773797566
I00037,3365.165174794521,58420.69329734679,11199.853526365288,69620.54682371208,GBR,153624.66911330164
I00038,44175.05201753426,3.1184002528008306e6,147022.23707225936,3.26542248987309e6,GBR,2.0166551704764296e6
I00039,30327.748816438365,2.140892998575814e6,60439.1534013934,2.2013321519772075e6,GBR,1.057757626798971e6
I00040,18509.936692602743,1.5542249364887103e6,36887.83199786732,1.5911127684865776e6,GBR,645581.2736603243
I00041,40409.49025972604,701525.872919366,80530.71777473643,782056.5906941025,GBR,1.4093840850500574e6
I00042,78097.20069369864,1.0445634988842807e6,155637.29182521577,1.2002007907094965e6,GBR,2.7238391535554454e6
I00043,7306.473524383563,97725.34074644827,14560.826022275727,112286.166768724,GBR,254831.90797308544
I00044,31354.720204931513,419374.77851806727,62485.770236149576,481860.54875421687,GBR,1.093575874478936e6
I00045,3788.485226301371,50671.64185535355,7549.945138929415,58221.58699428296,GBR,132133.08928368098
I00046,12053.159733698632,765670.0067523147,24020.337761491042,789690.3445138058,GBR,420384.7015653053
I00047,13375.079750136989,944172.1100295049,26654.747824086422,970826.8578535913,GBR,466490.0352604985
I00048,890.9588087671235,11916.727390750753,1775.5619265816254,13692.28931733238,GBR,31074.461900922153
I00049,6446.079340273975,164954.76839896193,12727.65747144022,177682.42587040213,GBR,121295.87175167866
I00050,28585.56521095891,153866.47451332214,12111.17284127369,165977.64735459583,GBR,723296.0878237047
I00051,108758.10391890413,1.2233993272389385e8,1.3806371439354224e6,1.2372056986782928e8,GBR,7.86620399225783e7
I00052,63959.53355835618,649738.7457895159,811938.6469379384,1.4616773927274542e6,GBR,4.626034475507612e7
I00053,14183.514072328771,121530.40492934284,26718.05938673843,148248.46431608126,GBR,163079.77851529937
I00054,14342.450120547948,122892.23685614509,2.202851213605099e6,2.325743450461244e6,GBR,169153.77946607445
I00055,27844.373063013707,238582.47794554755,8.745423332272835e6,8.984005810218383e6,GBR,328394.4445255063
I00056,805.3778597260276,4335.077897274567,252954.89001689263,257289.9679141672,GBR,9498.565986001198
I00057,420176.47986082203,1.336228327e6,67882.45437937425,1.4041107813793742e6,GBR,1.465472689266765e7
