SECTOR_CODE,x,CO2,non_CO2,GHG6,ISO_COUNTRY,CO2_EDGAR
I00001,219.85540886237797,28511.494842370248,29940.69740253907,29940.69740253907,GEO,28511.494842370248
I00002,318.92963924858,41359.7318872737,43432.981116330026,43432.981116330026,GEO,41359.7318872737
I00003,178.31597136621872,23124.5386421338,24283.70795306541,24283.70795306541,GEO,23124.5386421338
I00004,810.9992621333412,13711.703468504782,2.238157197014394e6,2.251868900482899e6,GEO,228695.35380520395
I00005,84.52977419549674,10962.069268490226,11022.838795758704,11022.838795758704,GEO,10962.069268490226
I00006,87.71398492948538,38384.49715659086,1615.1542717925754,39999.65142838344,GEO,24734.64743278008
I00007,11.836122755954532,1534.9431458440977,138.93170053600468,138.93170053600468,GEO,1534.9431458440977
I00008,232.833163516299,5947.499541097089,69008.17436573996,74955.67390683705,GEO,60498.88479916587
I00009,191.20242222027903,3232.6921100370428,1276.4547338753607,4509.146843912404,GEO,29121.87378683503
I00010,220.63635102902637,3730.336587144184,1472.9536972681533,5203.290284412337,GEO,33604.92975372809
I00011,652.6236866211548,11034.020479787288,208333.343757347,219367.3642371343,GEO,184034.69877503064
I00012,293.2357964367992,4957.787848678887,1957.6227965995156,6915.410645278403,GEO,44662.487820244794
I00013,326.08445839566207,5513.165804180683,2176.918292817423,7690.084096998106,GEO,49665.63880820835
I00014,34.64640816865473,585.7727586677728,231.29713109861854,817.0698897663913,GEO,5276.964141658878
I00015,329.30126578088345,192.71666799850362,2198.393486317328,2391.1101543158316,GEO,50155.58792904663
I00016,831.8298230490313,614825.0738091668,978119.0866381049,1.5929441604472715e6,GEO,684650.5267853189
I00017,497.66103833795734,372913.39267166134,4491.984025649597,377405.37669731095,GEO,128963.40066390409
I00018,160.01931846474616,79404.83920061414,3322.662256978784,82727.50145759292,GEO,62219.02656673426
I00019,565.9866535278882,298779.8203912181,7120.905516744937,305900.72590796306,GEO,357776.0691871244
I00020,985.6557669947658,16664.65091904336,314645.2786518825,331309.92957092583,GEO,277947.10166572983
I00021,1527.940881940548,186019.40125386283,10200.432343831737,196219.83359769458,GEO,232719.34006335365
I00022,465.78326556525656,42190.32897945958,331.4666513013001,42521.79563076088,GEO,70943.04200908082
I00023,326.8680221358091,29607.481432462453,232.61000710996248,29840.091439572414,GEO,49784.98271650995
I00024,1532.4209727169198,47759.189110992294,17987.4656647586,65746.6547757509,GEO,198728.8504114444
I00025,936.8585313785084,910920.8275291752,22117.08374654128,933037.9112757165,GEO,571017.0662055796
I00026,132.88297907947165,16458.428734917758,2446.8904414874505,18905.31917640521,GEO,37471.94520908545
I00027,194.8449198740128,6072.505885299002,2287.078008318196,8359.583893617199,GEO,25268.06120802514
I00028,247.8594831345653,7724.749359824399,2909.3597790320696,10634.10913885647,GEO,32143.145404474988
I00029,440.872753731024,13740.170354098565,5174.937997751674,18915.10835185024,GEO,57173.67295708433
I00030,83.89865136459629,1309.8493079715424,2447.282418999766,3757.131726971308,GEO,18879.30231
I00031,269.53775697445536,1.2737981070365827e6,25990.09016430513,1.2997881972008878e6,GEO,828693.9290758936
I00032,195.07613172300583,189737.99229,1179.2069100522685,190917.19920005227,GEO,16175.454182104095
I00033,90.13796019170086,53234.908519767516,540.0835073827866,53774.9920271503,GEO,325.11100657432456
I00034,216.6239517440428,1.0157260511359214e6,18315.404733396925,1.0340414558693183e6,GEO,618698.3418633732
I00035,274.26647161170166,1.4495776535135317e6,23234.257937696668,1.4728119114512284e6,GEO,808653.9113125325
I00036,424.0005715870114,35157.56519423961,2563.021931311707,2563.021931311707,GEO,35157.56519423961
I00037,487.9778044878975,15208.238898730782,46999.42998475855,62207.66888348933,GEO,1.458752858990923e6
I00038,739.4322431805623,23045.02807359405,8679.411416593008,31724.43949018706,GEO,95891.7440185503
I00039,1125.3610649049335,649571.1103307448,432493.11622933496,1.0820642265600797e6,GEO,1.0719198837595235e6
I00040,1509.4047317815912,47041.86859461642,17717.30240614565,64759.17100076207,GEO,195744.03671905462
I00041,714.6904520558095,22273.9293335548,8388.993753128068,30662.923086682866,GEO,92683.15591196448
I00042,951.4398300448646,29652.422917626747,11167.943782884513,40820.36670051126,GEO,123385.51026565986
I00043,988.4943142822887,31385.75269102957,1.6133966169415477e6,1.6447823696325773e6,GEO,278747.549467008
I00044,418.5964698457778,13045.911221844994,4913.460310707318,17959.37153255231,GEO,54284.81906721282
I00045,14.632066208259905,1.40174661492e6,171.75031744633318,1.4019183652374465e6,GEO,1897.5293006830873
