SECTOR_CODE,x,CO2,non_CO2,GHG6,ISO_COUNTRY,CO2_EDGAR
I00001,12845.161269177552,415658.5591688824,7.1316882260929365e6,7.1316882260929365e6,GRC,415658.5591688824
I00002,103.86538217249301,3360.9959576714614,194.29781272199503,194.29781272199503,GRC,3360.9959576714614
I00003,1124.266545341281,36380.31493459442,2103.1312464970197,2103.1312464970197,GRC,36380.31493459442
I00004,1473.8041587500165,135894.80721893854,3.468393157140106e6,3.6042879643590446e6,GRC,205273.46448364697
I00005,17556.159676356125,600641.81262,81115.08374461954,681756.8963646195,GRC,1.5739578958683722e6
I00006,1543.1852827567348,14964.913813117288,7130.010534869879,22094.924347987166,GRC,138350.79569559728
I00007,426.9273739681362,95554.80356022404,1972.5412807069868,97527.34484093102,GRC,38275.21072985407
I00008,1325.466509401116,57395.3070219899,6124.080031896556,63519.38705388646,GRC,118831.71015986022
I00009,587.8506803052813,25455.090747220696,2716.0585254024895,28171.149272623185,GRC,52702.426778686764
I00010,14657.763163797956,6.5746902647087965e6,77018.24253426355,6.6517085072430605e6,GRC,5.416044276438026e6
I00011,2379.6167182272497,113851.1752510638,3.697020661790063e6,3.810871837041127e6,GRC,385168.962010803
I00012,1501.2003550252114,54065.2720989847,2.3322952337254384e6,2.386360505824423e6,GRC,242986.93906725652
I00013,2086.3219378425392,44912.372285565594,9639.475934719883,54551.84822028548,GRC,187044.48740080238
I00014,2067.0380834529087,519918.8220484175,9550.378347743585,529469.2003961611,GRC,185315.63693242738
I00015,4909.486990308858,1.4150908360062693e6,133806.49198671113,1.5488973279929804e6,GRC,661542.9811259527
I00016,3389.5377730826067,67433.58272381687,92380.7639714511,159814.34669526797,GRC,456733.0410428534
I00017,617.6332811257771,12287.582479985096,2853.663685313436,15141.246165298533,GRC,55372.518677204105
I00018,1354.4520595355316,51944.158740502695,6258.002562215271,58202.16130271796,GRC,121430.34427695554
I00019,1122.861574651205,22338.909889998136,5187.9803066562345,27526.89019665437,GRC,100667.6217333356
I00020,156.34759183362218,2885.559904965337,722.375977357601,3607.9358823229377,GRC,14016.990686063937
I00021,356.8319896639968,6585.711171548783,1648.6781424832593,8234.389314032042,GRC,31990.967158179792
I00022,1129.2551418434934,28585.08336355986,5217.520635964573,33802.603999524435,GRC,101240.82257854208
I00023,1102.8533789043465,4085.8940181421835,2063.074287045035,6148.968305187218,GRC,35687.402971723466
I00024,6897.606609152023,3.0496538852615766e7,176471.27723982208,3.0673010129855588e7,GRC,3.095404462059323e7
I00025,1149.9051814861486,4260.213363205791,5232.262186637576,9492.475549843366,GRC,80106.19328522067
I00026,2930.3910225917302,10856.626437432877,5.067687223032986e6,5.078543849470419e6,GRC,205224.1616178593
I00027,10273.89785303956,375553.58903,5414.277363407869,380967.86639340786,GRC,921083.1380688972
I00028,3421.8602411637926,12677.440680446382,6401.1699219892735,19078.610602435656,GRC,110728.5045095035
I00029,19661.97479982953,72844.44764479763,36781.05849605779,109625.50614085543,GRC,636244.8819792276
I00030,12233.26517959727,2.2294548493053373e6,22884.39725659984,2.252339246561937e6,GRC,395858.1190166586
I00031,6369.245446047592,8.772913602709532e6,133623.87523391214,8.906537477943445e6,GRC,8.13884589876909e6
I00032,13528.298134647055,7.435631068425115e6,71615.9306704824,7.507246999095597e6,GRC,1.7006044071e6
I00033,2523.184364043767,2.967174849505692e6,14141.659185866512,2.981316508691558e6,GRC,501149.08
I00034,4165.011167483257,5.675497585089531e6,78787.83161259913,5.75428541670213e6,GRC,5.239629073816941e6
I00035,877.641849691783,3251.5216005317393,16601.282724793262,19852.804325325,GRC,1.1038654642145091e6
I00036,22281.9900727738,82551.1819541211,41682.24141363347,124233.42336775457,GRC,721026.361209516
I00037,1346.1445550623273,58290.707072403995,6219.619229329532,64510.32630173353,GRC,120685.55370193181
I00038,683.0800747909586,2530.7015827192417,4073.887216313516,6604.588799032757,GRC,22103.89373357876
I00039,7768.7652580897075,28782.02316242135,31800.09629247782,60582.11945489917,GRC,0.0
I00040,1723.2085042904005,6384.209772913575,3223.5537601115725,9607.763533025147,GRC,55761.57037121992
I00041,8548.608180066367,31671.21549836043,15991.62142826189,47662.836926622316,GRC,276625.73357891507
I00042,2178.5287443912953,8071.097876947452,4075.3074906542083,12146.405367601661,GRC,70495.34840598067
I00043,1147.733312914886,4252.166940196842,2147.0298151619354,6399.196755358777,GRC,37139.679694101265
I00044,15076.267149199286,55855.13989359561,28202.714608387207,84057.85450198282,GRC,487855.25923432526
I00045,18016.993957616003,66750.05875165566,33703.84284512151,100453.90159677717,GRC,583014.6926179173
I00046,5241.109443433079,19417.46576015983,9804.384095987363,29221.849856147193,GRC,169597.87067300107
I00047,1775.44481246208,6577.7368755829575,3321.2706337237446,9899.007509306703,GRC,57451.8931422576
I00048,908.2039379160278,3364.7492116049666,1698.9494955068844,5063.698707111851,GRC,29388.711621045444
I00049,1382.4767861558723,5121.853674136163,2586.1572938991853,7708.010968035349,GRC,44735.78003234909
I00050,1322.5753410436587,4899.928474518768,2474.101481647314,7374.029956166081,GRC,42797.41991014325
I00051,896.2210266753196,3320.3544567854456,1676.5334277525214,4996.887884537967,GRC,29000.954743838072
I00052,175.67078007597652,650.8319267134946,328.62198755735443,979.453914270849,GRC,5684.557928413558
I00053,2205.2418739565587,32715.76157013357,9028.567974632999,41744.32954476657,GRC,546.4354194615304
I00054,3132.7833584719774,11606.457421595504,5860.402586032874,17466.860007628376,GRC,101374.22097574719
I00055,23560.660683525213,87288.45047918454,44074.211651111626,131362.66213029617,GRC,762403.0611651528
I00056,10873.111918465733,40283.127200812465,20339.99990228543,60623.1271030979,GRC,351844.7093814372
I00057,10641.106860011952,39423.58585229995,19905.99509283751,59329.58094513746,GRC,344337.22183060437
I00058,434.63309205021136,1610.2455547253894,813.0549116134507,2423.30046633884,GRC,14064.359413081489
I00059,3083.186991917939,11422.710877130949,5767.624170945503,17190.33504807645,GRC,99769.32448360814
I00060,579.2942502707447,2146.1918303926122,1083.6681423181833,3229.859972710796,GRC,18745.472194275753
I00061,5809.386744014532,21522.841567593554,10867.443165458324,32390.284733051878,GRC,187986.84368923417
I00062,648.1078349771433,2401.1350708060604,1212.3956231626516,3613.530693968712,GRC,20972.221619286196
I00063,1077.0828611301097,3990.418403312233,2014.86616291825,6005.284566230483,GRC,34853.490803350884
I00064,580.6451123573684,5.362270290086701e6,1086.1951589548155,5.363356485245655e6,GRC,18789.18494935881
I00065,0.0,0.0,0.0,0.0,GRC,0.0
