SECTOR_CODE,x,CO2,non_CO2,GHG6,ISO_COUNTRY,CO2_EDGAR
I00001,248.75876344169478,2057.7992021755354,31619.998788537723,31619.998788537723,HKG,2057.7992021755354
I00002,0.0,0.0,70119.1995344092,70119.1995344092,HKG,0.0
I00003,6235.899218930588,193610.90088690066,34035.00305895158,34035.00305895158,HKG,193610.90088690066
I00004,692.6708982694269,21505.901863353258,3780.5383496062395,3780.5383496062395,HKG,21505.901863353258
I00005,260.4564672493306,8086.598178636111,1421.5490578558313,1421.5490578558313,HKG,8086.598178636111
I00006,511.8045095092029,44465.50053352125,2793.385113385173,47258.88564690642,HKG,15890.399874205868
I00007,890.6707179260072,77381.34101457834,4861.20438205685,82242.54539663519,HKG,27653.359048482132
I00008,354.70496122249193,11012.80580078346,1935.9492538917495,1935.9492538917495,HKG,11012.80580078346
I00009,1706.4062817317954,148252.32685720368,9313.419120412877,157565.74597761655,HKG,52980.14703031345
I00010,602.6148085344552,52355.085960638266,3289.019936303111,55644.10589694138,HKG,18709.859135303916
I00011,700.0418736773394,21734.754373478634,3820.7685011446383,3820.7685011446383,HKG,21734.754373478634
I00012,1431.7300582316848,124388.49694624399,7814.25985262555,132202.75679886955,HKG,44452.05681958228
I00013,1184.330524833895,102894.46186077446,6463.9744197860855,109358.43628056055,HKG,36770.84760524232
I00014,2990.5478223129435,259818.35509049165,16322.153502958172,276140.50859344983,HKG,92849.90627585267
I00015,1977.8706478519332,61408.516161690255,10795.048346114138,10795.048346114138,HKG,61408.516161690255
I00016,160.901254784232,14649.22758741444,882.8800397449463,15532.107627159387,HKG,6326.646994732364
I00017,3516.745666028829,3.236448191143827e7,5.339220063923348e6,3.7703701975361615e7,HKG,3.2202781081061386e7
I00018,33435.091337546255,1.0380857560119902e6,3281.446786408089,3281.446786408089,HKG,1.0380857560119902e6
I00019,0.0,0.0,0.0,0.0,HKG,0.0
I00020,73159.27263265576,304706.78072547866,2134.6482878870183,306841.4290133657,HKG,605193.1227359852
I00021,13722.075681696657,57152.1470263336,400.38404300803575,57552.53106934164,HKG,113512.6899624024
I00022,12762.512791206704,53155.58843925003,372.38582477001034,53527.97426402004,HKG,105574.92840108844
I00023,4799.1482739345975,6.662964922657942e6,53644.75909700662,6.716609681754949e6,HKG,1.741391298019855e6
I00024,13560.272084622233,2.7475556766629998e7,72679.94534082698,2.7548236711970825e7,HKG,0.0
I00025,12500.413217807094,1.91908003716e7,67120.65794258277,1.925792102954258e7,HKG,15944.607250000001
I00026,436.8637785371958,606525.9638220571,4883.252364824788,611409.2161868819,HKG,158517.8742020908
I00027,14798.178241176684,1.3472976405611334e6,167297.7974615324,1.5145954380226657e6,HKG,5.95144697082542e6
I00028,31394.984572160556,130759.42851349596,916.0458770784404,131675.4743905744,HKG,259707.7317440821
I00029,13319.400861605178,55475.01515098855,388.63475840812566,55863.64990939667,HKG,110181.65586311673
I00030,10191.198820307269,42446.12162646097,54919.84586112741,97365.96748758838,HKG,84304.32967060451
I00031,3427.3222139323107,14274.722543510949,100.00273694276844,14374.725280453717,HKG,28351.72847722188
I00032,3023.1411931468074,12591.31737500582,88.20950427425385,12679.526879280073,HKG,25008.23468186924
I00033,4571.721691505245,19041.121499198733,133.3941348825211,19174.515634081254,HKG,37818.507855515614
I00034,10034.486795843139,41793.419450002715,292.78722009888133,42086.206670101594,HKG,83007.96577792427
I00035,0.0,770117.1389599999,0.0,770117.1389599999,HKG,0.0
