SECTOR_CODE,x,CO2,non_CO2,GHG6,ISO_COUNTRY,CO2_EDGAR
I00001,4323.4361532056155,136604.15307,5.471130587479389e6,5.607734740549389e6,HND,283187.96172123356
I00002,248.66368094183554,13514.491081524133,3186.9812765571187,3186.9812765571187,HND,13514.491081524133
I00003,14291.269543211229,1.3305031904145547e6,2.215655017740082e6,3.5461582081546364e6,HND,936087.7202615783
I00004,1107.1652707755068,614408.7146864736,23403.647064029086,637812.3617505027,HND,664837.1650245513
I00005,2206.349960330684,330462.04621851456,18133.391850984997,348595.43806949956,HND,145985.84063307388
I00006,4055.3779109820807,2.250485628138561e6,170971.61937753574,2.4214572475160966e6,HND,2.260020150489344e6
I00007,1368.4809804224656,124.07611371801329,30323.464864511385,30447.540978229397,HND,15261.570005922158
I00008,1572.9891272075336,4.1255438261511354e6,80875.04415439241,4.206418870305528e6,HND,2.193971633612798e6
I00009,1299.384979349342,117.8113841315179,65729.87756585452,65847.68894998604,HND,1.7297154408514104e6
I00010,2139.039694847808,193.94038808149742,47397.878347193895,47591.818735275396,HND,23854.992882903116
I00011,1151.4450700377804,104.39811111291353,25514.277965285703,25618.676076398617,HND,12841.142694530245
I00012,1242.7661153513695,991272.469271941,169431.86339219965,1.1607043326641407e6,HND,839161.2324829075
I00013,1602.4997885597531,145.29390531759566,35508.96704371973,35654.26094903732,HND,17871.39394515376
I00014,1558.9241582286843,141.34303209272795,34543.39710581297,34684.7401379057,HND,17385.4299146968
I00015,925.5403130489588,83.91599647736179,20508.570864291298,20592.48686076866,HND,10321.808255266496
I00016,866.7399060876435,266182.40432788833,3.5132692291541463e6,3.779451633482035e6,HND,70230.98500669935
