SECTOR_CODE,x,CO2,non_CO2,GHG6,ISO_COUNTRY,CO2_EDGAR
I00001,3525.251763428726,611886.5613029002,1.643127265827605e6,2.2550138271305053e6,HRV,373000.9764955067
I00002,22737.655073913174,5.106432176573226e6,5.622665340191016e6,1.0729097516764242e7,HRV,6.542536590744442e6
I00003,4689.58092231364,201042.9859615605,13228.346709750174,214271.3326713107,HRV,277573.9588646971
I00004,11641.43675538297,7.702655125919155e6,208798.5287133412,7.911453654632496e6,HRV,6.453888792714031e6
I00005,2408.985450903259,22711.88379218065,17466.21840942728,40178.10220160794,HRV,977041.6742535642
I00006,3064.225102664657,28889.47478645329,27284.376658870893,56173.85144532418,HRV,142850.56125366504
I00007,4222.66183713958,39811.20139303057,37599.29254785062,77410.49394088119,HRV,196855.51590033935
I00008,3896.087719012518,856197.711690678,385657.1009026455,1.2418548125933236e6,HRV,952389.7254375978
I00009,7955.687531357519,75006.11953938642,70838.78237179125,145844.90191117767,HRV,370884.7721484058
I00010,1449.8279803102776,1.5002173081014259e6,16999.180251483773,1.5172164883529097e6,HRV,153403.86692843234
