SECTOR_CODE,x,CO2,non_CO2,GHG6,ISO_COUNTRY,CO2_EDGAR
I00001,9527.562868186233,829780.6006000097,6.901009130296305e6,6.901009130296305e6,HUN,829780.6006000097
I00002,522.8340382600957,45534.99654462847,3626.841939096901,3626.841939096901,HUN,45534.99654462847
I00003,47.467724314216404,4134.089413577854,329.27835737168635,329.27835737168635,HUN,4134.089413577854
I00004,25.760322014261394,666.0157583007592,135801.44698158643,136467.46273988718,HUN,201206.58333490998
I00005,306.4421481798057,113271.39994064214,1.9074548293820336e6,2.0207262293226756e6,HUN,249111.85877524552
I00006,0.0,0.0,0.0,0.0,HUN,0.0
I00007,6.260193421285106,62.36530324284093,2.6483134292506385,65.01361667209157,HUN,363.72125857912664
I00008,341.906582801078,3406.141996286032,62.51599469423009,3468.6579909802617,HUN,14316.524251415123
I00009,11924.206624806387,713259.4372744057,37980.63577331905,751240.0730477248,HUN,499297.76702265727
I00010,196.17485272361566,11734.412985594121,624.8504293509869,12359.263414945108,HUN,8214.354966571234
I00011,749.270121761807,5068.035416271779,2386.5533771667324,7454.588793438511,HUN,31373.90272273474
I00012,1198.5480851715527,8106.934958878781,3817.5804656897963,11924.515424568577,HUN,50186.34794121195
I00013,672.2446017946365,4547.037645491234,2141.213933531327,6688.251579022561,HUN,28148.642432179204
I00014,1424.8036029780985,1.3588575419693105e6,4538.242953677642,1.3633957849229882e6,HUN,59660.25915156869
I00015,1613.5114592753905,57576.835554263125,5139.309723409809,62716.145277672935,HUN,67561.95141785817
I00016,3005.3053266830334,107241.86034754815,9572.411028412322,116814.27137596047,HUN,125840.00647158362
I00017,7444.852249667789,1.858884137677941e6,25941.1269633431,1.884825264641284e6,HUN,2.197358329168164e6
I00018,7800.924464634313,881430.8602172143,3.01557399776328e6,3.8970048579804944e6,HUN,2.5350515984854377e6
I00019,4725.065554678348,49662.853897260444,15050.141236562813,64712.99513382326,HUN,197850.87215602314
I00020,3872.0757680355673,355662.72309916693,12333.22300256948,367995.9461017364,HUN,162133.95536947018
I00021,5352.639897927573,1.705314195302913e6,18334.749793635958,1.7236489450965489e6,HUN,310991.8159677896
I00022,6007.213483170165,67128.13326305992,20576.903784154332,87705.03704721425,HUN,349022.9616904745
I00023,8542.341131475125,95457.13923081111,27208.81626548188,122665.955496293,HUN,357690.1999683843
I00024,4240.253582401416,31496.771333078894,13505.932257552975,45002.70359063187,HUN,177550.52490439598
I00025,10191.976216589163,166156.1965825979,32463.185910189524,198619.38249278744,HUN,426764.7422264982
I00026,20932.214243616367,155485.31537418495,66672.67937658561,222157.99475077057,HUN,876486.6426362527
I00027,1631.6405158448317,18232.909866096248,5197.05386657531,23429.96373267156,HUN,68321.06250576221
I00028,21483.807401344504,110170.2534625019,68429.59784318988,178599.8513056918,HUN,899583.2930570606
I00029,815.5577877960908,4182.229272321145,2597.6909210829863,6779.920193404131,HUN,34149.54094114736
I00030,1608.9589357809436,29174.492688253536,5124.80915812001,34299.30184637355,HUN,67371.3253337406
I00031,299.5796176488581,6875.909346210452,1.5972174997540826e6,1.6040934091002932e6,HUN,1956.905728904427
I00032,8303.583843485696,1.2247308793667577e7,184144.51613656754,1.2431453309804145e7,HUN,1.2028362900507253e7
I00033,919.3005410763532,21099.657019297607,2786.12263469592,23885.779653993526,HUN,4052.1806980811325
I00034,12268.514759479696,517174.49516000005,2243.2396513873086,519417.7348113874,HUN,513714.85054186464
I00035,4290.899157980092,98484.11535988997,29765.4932230252,128249.60858291517,HUN,373705.7345810631
I00036,17711.14292117019,406503.6670367998,122860.24098508258,529363.9080218824,HUN,1.542510190041807e6
I00037,10844.673427965956,1.136987051908299e6,75228.30100206699,1.2122153529103661e6,HUN,944491.2360973634
I00038,4671.550201327524,107220.76469250635,32406.027440666676,139626.79213317303,HUN,406857.6387708049
I00039,8398.044260975394,8.652586122439638e6,92287.91395908938,8.744874036398727e6,HUN,5.743665052233692e6
I00040,81.60935563109551,18939.96,430.58346048271494,19370.543460482713,HUN,18939.96
I00041,1262.886645015231,538037.3856,3791.596948670481,541828.9825486705,HUN,0.0
I00042,3188.780574935698,3.2598569313303647e6,29814.32020319898,3.2896712515335637e6,HUN,2.130557952137046e6
I00043,6097.0005001977,139937.49992797268,56971.036082622864,196908.53601059553,HUN,4.0382200493992628e6
I00044,6107.37870782838,140175.69909320545,42366.21110058664,182541.91019379208,HUN,531907.7336341209
I00045,1631.566782678273,37447.491848839454,11317.998448508046,48765.4902973475,HUN,142097.45803624747
I00046,1121.4507679015812,25739.380658959064,7779.380032702646,33518.76069166171,HUN,97670.1077292253
I00047,14584.508142287217,334741.58433227224,101171.12108380621,435912.70541607845,HUN,1.2702033136063337e6
I00048,884.8474286047434,20308.894016431197,6138.088817716271,26446.982834147468,HUN,77063.6983355633
I00049,3432.905787999195,78791.57192873729,23813.688042036272,102605.25997077356,HUN,298980.82709912397
I00050,957.3114727085473,21972.078588292043,6640.763882841812,28612.842471133856,HUN,83374.78322371864
I00051,15425.89873979064,354053.0632592814,153321.32589942435,507374.3891587057,HUN,1.3434822418059965e6
I00052,12420.700715267085,285078.17990037857,86161.02810944269,371239.20800982125,HUN,1.0817516128706834e6
I00053,7678.497899244732,176235.80630961998,53264.891289258936,229500.6975988789,HUN,668740.6513806763
I00054,7311.856302199278,167820.6998226718,50721.53905227163,218542.23887494343,HUN,636808.8668508471
I00055,1462.4265016366605,33565.40785273179,1.2318617466748895e6,1.2654271545276213e6,HUN,9552.82212326219
I00056,1793.2399130400236,41158.19085035979,12439.507085498084,53597.69793585787,HUN,156177.99773653242
I00057,5274.5921318889905,121061.69846178738,36589.26266397524,157650.9611257626,HUN,459378.152384959
I00058,2530.808592811303,58086.76369023761,17555.939499999848,75642.70319023746,HUN,220414.80105671653
I00059,0.0,6.752205538609999e6,0.0,6.752205538609999e6,HUN,0.0
