SECTOR_CODE,x,CO2,non_CO2,GHG6,ISO_COUNTRY,CO2_EDGAR
I00001,262749.4767104548,2.0226595709029496e7,2.3829800095060718e8,2.3829800095060718e8,IND,2.0226595709029496e7
I00002,130254.37143356714,1.0027051407694362e7,4.8389236469171804e8,4.8389236469171804e8,IND,1.0027051407694362e7
I00003,33975.02747233973,2.6154158458837466e6,841034.1011087259,841034.1011087259,IND,2.6154158458837466e6
I00004,23977.427359265756,1.845795224448467e6,593548.7199360637,593548.7199360637,IND,1.845795224448467e6
I00005,17460.006474969865,1.1326030481499115e6,4.4814892790584005e7,4.594749583873392e7,IND,1.6695955568694001e7
I00006,22768.50255610093,1.865285615955093e6,1.6165643542602982e7,1.8030929158558074e7,IND,3.28015329967727e6
I00007,7907.730183350137,647832.4751271163,5.614490766801315e6,6.262323241928432e6,IND,1.1392302673380305e6
I00008,9236.652077884932,299063.04532745644,79287.84837382525,378350.8937012817,IND,3.227495996187072e6
I00009,4676.578568383562,151417.6150168648,40143.96659218801,191561.58160905278,IND,1.6341027547687443e6
I00010,16558.534935024658,536129.9572694852,62594.793622969846,598724.7508924551,IND,4.538274682868329e6
I00011,38349.28866985841,3304.022789024273,602812.812188385,606116.8349774093,IND,1.0806572924295053e7
I00012,22941.40729288537,1976.540768735484,360616.1867782675,362592.72754700296,IND,6.464735057559947e6
I00013,48823.91695294028,4206.475266091,767463.5880166057,771670.0632826966,IND,1.375825308114177e7
I00014,50124.677999507505,4318.543684828349,787910.2625616434,792228.8062464717,IND,1.4124798839729968e7
I00015,12153.863889606575,1047.128764542677,191046.69537213747,192093.82413668014,IND,3.4248775137834824e6
I00016,9766.364864881314,841.4313067782116,153517.57681190592,154359.00811868414,IND,2.7520962651014035e6
I00017,108373.56100382071,1.9871678302155673e6,1.7035249763818856e6,3.6906928065974526e6,IND,3.053894428487325e7
I00018,24562.098717411947,450377.4902450544,386091.8498008346,836469.340045889,IND,6.92143505577117e6
I00019,15234.956364877151,279352.40756695677,239478.4155956768,518830.8231626336,IND,4.293108755493009e6
I00020,102674.58737835256,2.5621646206736e8,2.1071743242879175e6,2.5832363639164793e8,IND,3.666934247735822e7
I00021,43536.444810145644,1.3901788627162356e7,893491.5738853863,1.4795280201047743e7,IND,1.554866540740951e7
