SECTOR_CODE,x,CO2,non_CO2,GHG6,ISO_COUNTRY,CO2_EDGAR
I00001,9468.028902981614,248082.31440036048,2.2913620111972816e7,2.2913620111972816e7,IRL,248082.31440036048
I00002,1014.8305587686573,5120.11138877359,2.2633663907506405e6,2.268486502139414e6,IRL,55722.12354446509
I00003,26384.561123902684,810859.4420000002,18454.085350762383,829313.5273507625,IRL,396418.95527326904
I00004,3785.689931977204,714.2956856879459,2647.815318517437,3362.111004205383,IRL,56878.68904756512
I00005,288.4063184968766,468097.29668885574,201.71928546572977,468299.01597432146,IRL,4333.205731027539
I00006,92.85762826871232,135.51378770466374,64.9471707902608,200.46095849492454,IRL,1395.1539240911832
I00007,39.61900312942465,57.81884891152532,27.71061689558165,85.52946580710697,IRL,595.2618940970953
I00008,1001.9424225700818,653753.5646863978,1447.713084914918,655201.2777713127,IRL,390823.0200965799
I00009,570.0472257345751,69163.97156007863,374983.1489686107,444147.1205286893,IRL,8564.763485014151
I00010,1130.8371044795615,136348.31745290212,743876.7162875995,880225.0337405016,IRL,16990.43851580003
I00011,155419.6616693019,147030.76549140428,108704.77201281072,255735.537504215,IRL,2.335126956197645e6
I00012,13348.865700296761,875390.8885358801,9336.562613731407,884727.4511496115,IRL,200562.11547899668
I00013,1736.9935334417532,932826.2609545196,1214.9008948576773,934041.1618493773,IRL,29414.49023008467
I00014,1932.165935824657,22111.33382530548,1351.4098234986968,23462.743648804175,IRL,32719.56685388696
I00015,934.0929510969861,10689.579338202633,653.3302170212318,11342.909555223865,IRL,14034.425286177362
I00016,2420.3922000911775,29767.50603404854,1692.8886568568905,31460.39469090543,IRL,36365.5602534347
I00017,1204.9902298559996,13789.675480023323,842.8032001052367,14632.478680128559,IRL,18104.563717804805
I00018,766.8934985323833,655.5576327307822,536.3863363275843,1191.9439690583665,IRL,11522.31102372423
I00019,1172.2032376043833,1002.0254194277005,819.8710789088764,1821.8964983365768,IRL,17611.95043710999
I00020,6930.117666018629,29519.740180376313,5858.116528689233,35377.85670906555,IRL,181583.6904671165
I00021,296.1228297744641,1.1815945800030429e7,91598.04468559856,1.1907543844716027e7,IRL,1.1734101809086839e7
I00022,1901.1348739976438,8098.131984605186,1127.8427443329563,9225.974728938141,IRL,0.0
I00023,19430.30980802678,82765.93916574723,966887.7330658864,1.0496536722316337e6,IRL,14069.202940323188
I00024,2554.246891928116,76158.74272,271.21074503618564,76429.95346503617,IRL,38376.680955698466
I00025,23504.889158148446,100122.14140596396,19868.981497606164,119991.12290357013,IRL,615877.6406186401
I00026,13933.018815166692,59349.51110120295,11777.757860575792,71127.26896177874,IRL,365074.46160856256
I00027,5014.889315234159,324926.04543835536,4239.14966569361,329165.195104049,IRL,131400.6706710774
I00028,658.1907054479495,3.2121795582298944e6,26346.446114360508,3.2385260043442547e6,IRL,1.52813041336186e6
I00029,7313.453215011587,707050.75338,6476.462598667345,713527.2159786674,IRL,218194.66733999999
I00030,2992.6931047504954,2.47184709651e6,1963.628972347931,2.473810725482348e6,IRL,24545.20376
I00031,1628.8466107442346,7.774588649789436e6,37115.529684034045,7.81170417947347e6,IRL,3.5112753837874583e6
I00032,2784.574401392085,11861.257889614635,63441.53241556891,75302.79030518355,IRL,5.993538673982358e6
I00033,4670.92865845848,19896.429908380338,3948.3953515848266,23844.825259965164,IRL,122388.17644762748
I00034,24046.59917522057,137522.55035949766,37145.74653037211,174668.2968898698,IRL,991363.4661003186
I00035,4167.577470951913,17752.339866801845,2472.4032346925596,20224.743101494405,IRL,0.0
I00036,66371.84368869622,282719.52590214426,56104.96290111392,338824.48880325817,IRL,1.7390822062367643e6
I00037,25074.902951886656,106809.81995693798,21196.134108660135,128005.95406559811,IRL,657015.3113611119
I00038,16157.583422465686,68825.33422379273,13658.210592144213,82483.54481593694,IRL,423362.74335832254
I00039,8632.126065592834,36769.66697261695,7296.845857399415,44066.51283001636,IRL,226179.8981067292
I00040,21536.212600854957,91736.30681105316,18204.83418644664,109941.1409974998,IRL,564294.1651515024
I00041,5833.233801912389,24847.420280927094,4930.906659529126,29778.32694045622,IRL,152843.02116580153
I00042,7652.979524879699,32598.864560113107,6469.160843869793,39068.0254039829,IRL,200524.19485040242
I00043,2609.617480749126,11116.006064315401,2205.942818618185,13321.948882933586,IRL,68377.47866612514
I00044,1643.1145622815638,6999.060810032446,1388.945619643643,8388.00642967609,IRL,43053.064963434794
I00045,2401.0312935776715,10227.50599155197,2029.6222639590658,12257.128255511036,IRL,62912.08089477427
I00046,16348.25572303865,69637.52775985748,13819.388310817983,83456.91607067546,IRL,428358.75954108743
I00047,1897.960281786734,8084.6093949810265,1604.3699448350249,9688.979339816051,IRL,49730.55998987667
I00048,512.7871502333469,47855.43283066775,305.8407670335538,48161.2735977013,IRL,1679.1697183231295
I00049,3722.6027861135703,15856.912153116415,3146.76344068555,19003.675593801963,IRL,97540.03966775577
