SECTOR_CODE,x,CO2,non_CO2,GHG6,ISO_COUNTRY,CO2_EDGAR
I00001,61072.18328192875,2.335937368449619e6,3.1376631465596452e7,3.1376631465596452e7,ITA,2.335937368449619e6
I00002,1652.5585369424653,63208.37134926187,3021.7299268940064,3021.7299268940064,ITA,63208.37134926187
I00003,1980.3396599671228,75745.60405979185,3621.0829947418033,3621.0829947418033,ITA,75745.60405979185
I00004,10337.481804405475,669367.6505158149,5.669728162805695e6,6.33909581332151e6,ITA,1.7593843444408034e6
I00005,147317.46841494789,3.1988792120600003e6,221864.64875761548,3.420743860817616e6,ITA,4.217862438537776e6
I00006,90533.74557597806,1.0086269962329812e6,136346.61170221143,1.1449736079351925e6,ITA,2.5920815025783274e6
I00007,15285.61146989589,6.514262472193602e6,23020.602080002354,6.537283074273604e6,ITA,437644.0021855156
I00008,24980.51795388492,887016.7632102211,37621.43010773884,924638.1933179599,ITA,715219.9227055053
I00009,11939.202632460268,423941.28472059494,17980.80721178087,441922.0919323758,ITA,341832.6073029085
I00010,47294.60917654793,1.2599801671834461e7,88515.9248875054,1.2688317596721968e7,ITA,1.3308490788955184e7
I00011,55988.634391890395,1.5788320586416482e6,1.0228477909873791e7,1.1807309968515439e7,ITA,4.64015095271352e6
I00012,27548.932246356155,730431.7644016718,5.032872260289998e6,5.763304024691669e6,ITA,2.2831634598268624e6
I00013,46222.022318509575,539863.6311320879,69611.79048826394,609475.4216203518,ITA,1.3233877412375791e6
I00014,32601.62331309588,2.5056161239840607e6,49099.04971292718,2.554715173696988e6,ITA,933420.6179836303
I00015,57906.814407802725,8.461798139478793e6,91044.44464074593,8.55284258411954e6,ITA,2.216398827661308e6
I00016,88804.2644795178,1.1361966670156484e6,139623.2036583621,1.2758198706740106e6,ITA,3.3990070028305072e6
I00017,23617.55675861917,302172.3047814348,35568.76853194968,337741.0733133845,ITA,676196.8326907936
I00018,43266.66424179725,553570.7096110628,65160.93012053153,618731.6397315944,ITA,1.2387725631577927e6
I00019,126664.26068155616,1.6205923404678232e6,190760.28123902407,1.8113526217068473e6,ITA,3.626538204750225e6
I00020,65780.44332098628,1.883367017226036e6,99067.37544133636,99067.37544133636,ITA,1.883367017226036e6
I00021,28285.41302904109,809842.7325514236,42598.70397023142,42598.70397023142,ITA,809842.7325514236
I00022,44674.9131777315,639859.3505411844,67281.79642984312,707141.1469710276,ITA,1.2790922913943469e6
I00023,21101.201168043823,179433.1258117985,38583.88652353601,218017.0123353345,ITA,807095.5004189532
I00024,98358.42376946847,1.0989828559908943e8,2.3584808877632404e6,1.1225676648685268e8,ITA,1.0950621715861876e8
I00025,9652.837724887668,82082.47635464875,13756.403106967,95838.87946161575,ITA,24651.954345157646
I00026,40091.08342614793,340912.74515829835,1.5819404693576062e7,1.616031743873436e7,ITA,232213.7635302897
I00027,217848.46253282184,563792.67725,21042.716397370095,584835.39364737,ITA,6.237242991593247e6
I00028,41475.467498739716,352684.7935592871,75838.5609775376,428523.3545368247,ITA,1.5863866198622007e6
I00029,184527.78533724925,1.5691238170997768e6,337412.0303954183,1.906535847495195e6,ITA,7.057965281782819e6
I00030,138680.9408703562,1.1352177714713698e7,253580.3361574738,1.1605758050871173e7,ITA,5.304378763984255e6
I00031,100619.03682450409,5.701604642186469e7,856124.9383625975,5.787217136022729e7,ITA,5.447963405281875e7
I00032,13433.143077698625,9.06402784045e6,47264.01760885495,9.111291858058855e6,ITA,2.94560705496e6
I00033,12877.813257687669,1.15662800027e7,34034.72764955214,1.1600314730349552e7,ITA,2.0875964026000001e6
I00034,72907.37950996161,4.095121840273079e7,615112.4567330473,4.156633085946384e7,ITA,3.94249868166222e7
I00035,7503.224034235614,63803.331924441336,63286.86423634884,127090.19616079018,ITA,4.0397934623055626e6
I00036,117156.61012528215,996236.0245221241,214222.75038075924,1.2104587749028835e6,ITA,4.481099067462169e6
I00037,10360.125674739724,367870.88079691277,15602.668635579515,383473.5494324923,ITA,296621.88342072844
I00038,16794.092831868486,142807.82160208366,54378.49304053419,197186.31464261783,ITA,642353.8001593209
I00039,43561.14555550684,370420.2641698209,61396.71035619437,431816.9745260152,ITA,0.0
I00040,60640.284755112305,515651.964884616,110881.73830073336,626533.7031853494,ITA,2.319417770590942e6
I00041,97912.09532528215,832591.1486785212,179033.84481417888,1.0116249934927e6,ITA,3.7450195817906028e6
I00042,26531.290073687665,225607.6453576907,48512.89162990726,274120.53698759794,ITA,1.0147898533478823e6
I00043,32637.809105884924,277534.1584054771,59678.760127902075,337212.9185333792,ITA,1.2483568429642373e6
I00044,261247.1050188712,2.2215031404851964e6,477694.543281058,2.699197683766254e6,ITA,9.99238674988451e6
I00045,84860.0130655123,721603.3475778913,155167.90198010544,876771.2495579968,ITA,3.245793173821389e6
I00046,37465.72645974794,318588.1389379501,68506.68484379776,387094.82378174784,ITA,1.4330188601482878e6
I00047,14800.877245632873,125858.6014981265,27063.642659316265,152922.24415744276,ITA,566115.7074458138
I00048,18436.550426652055,156774.3867231092,33711.529684134,190485.9164072432,ITA,705175.822650927
I00049,25546.725711605475,217235.4460859805,46712.59982096383,263948.0459069443,ITA,977131.4537060263
I00050,15192.81600127123,129191.43527810495,27780.308992729944,156971.7442708349,ITA,581106.8922412359
I00051,10863.396792854792,92376.41155839976,19863.89617243347,112240.30773083323,ITA,415511.8280212863
I00052,13159.97364195068,8032.349804520165,18578.161875090707,26610.51167961087,ITA,30882.842653496864
I00053,69808.1662570082,593610.6375619139,127645.35742901679,721255.9949909307,ITA,2.6700781832199683e6
I00054,141743.52433306296,1.205309756165886e6,259180.3193931623,1.4644900755590484e6,ITA,5.421518888507188e6
I00055,80046.96962647668,680675.8467187452,146367.17445726483,827043.02117601,ITA,3.0617000659442167e6
I00056,141330.8286962849,1.2018004171701458e6,258425.69876794796,1.4602261159380937e6,ITA,5.4057337780372435e6
I00057,26953.531655802733,229198.1578751186,49284.96717006744,278483.125045186,ITA,1.0309400847162724e6
I00058,30156.196316361635,256431.87440123523,55141.091134379145,311572.96553561435,ITA,1.153438146144285e6
I00059,17781.099179967117,151200.7861932953,32513.026512565677,183713.81270586097,ITA,680105.6028217094
I00060,12605.975814312325,107194.3547789836,23050.230006548798,130244.5847855324,ITA,482163.37435471336
I00061,3339.1938787506842,28394.686661878026,6105.769840861929,34500.45650273995,ITA,127720.13939413252
I00062,28786.02016241095,244780.64240461844,52635.70194727681,297416.34435189527,ITA,1.1010305604420223e6
I00063,20932.371134816432,4.694071121244172e7,38275.17808594832,4.6978986390527666e7,ITA,800637.9552267028
