SECTOR_CODE,x,CO2,non_CO2,GHG6,ISO_COUNTRY,CO2_EDGAR
I00001,16665.782301839634,602109.9549825799,2.8638231081549037e7,2.9240341036531616e7,KAZ,8.97017962456916e6
I00002,145.8200265090105,1.846828698465321e6,1948.708512521081,1.848777406977842e6,KAZ,78486.07445813541
I00003,432.24030759666556,75320.42971859111,2962.878773531825,2962.878773531825,KAZ,75320.42971859111
I00004,1682.8831975227815,294380.64437732426,1.611012177457102e7,1.6404502418948345e7,KAZ,1.0352258487357001e6
I00005,28002.107385386164,8.321284471660688e6,1.5929285652603114e7,2.42505701242638e7,KAZ,6.862225531269016e6
I00006,8196.360994131237,694876.1325997952,148185.81699387226,843061.9495936675,KAZ,3.9631698358447314e6
I00007,807.9836665988652,68499.7361453492,14607.911954877014,83107.64810022622,KAZ,390682.70633915137
I00008,2517.8923594863218,975215.2575818367,1.4778510084725213e6,2.453066266054358e6,KAZ,1.8345087122749907e6
I00009,6157.620871142328,222465.6939814968,3.4593058529802673e6,3.681771546961764e6,KAZ,3.3142737780779526e6
I00010,2345.456116438981,84737.8449511371,15266.783615789165,100004.62856692626,KAZ,853707.1476713825
I00011,443.6288206092577,16027.650209767238,2887.6196670232966,18915.269876790535,KAZ,161473.53702876315
I00012,214.8237432323613,607.3662011345764,1398.3069563636557,2005.673157498232,KAZ,78192.28157866062
I00013,172.74555225184181,488.3995048936955,1124.4162482233678,1612.8157531170632,KAZ,62876.51755759222
I00014,31.978036469432727,90.41076297220245,208.14789917189432,298.5586621440968,KAZ,11639.475201053538
I00015,106.95390927521396,18057.017271443794,696.172560348953,18753.189831792748,KAZ,38929.45008848652
I00016,183.1697342392922,39167.51760818891,1192.2681810131546,40359.78578920206,KAZ,66670.74700786435
I00017,266.39677454283463,56964.10709446212,1734.0004293341615,58698.10752379628,KAZ,96964.01009161083
I00018,297.9235665547234,244642.74163918867,3184.4098775075163,247827.15151669618,KAZ,587265.2273207279
I00019,3974.917751326559,4.320973891198529e6,575374.7307579792,4.896348621956509e6,KAZ,8.61620363551261e6
I00020,1374.287953699237,560869.2634892858,176502.42846539573,737371.6919546815,KAZ,2.8146773703168975e6
I00021,537.0489946887138,97271.34495419245,66729.58351597206,164000.9284701645,KAZ,236778.37818592822
I00022,739.6941031637369,255687.41186327965,91908.7083701675,347596.1202334472,KAZ,326122.144968024
I00023,2441.8999158906004,1.3815671067149348e6,303411.72963095264,1.6849788363458875e6,KAZ,1.0766040109842543e6
I00024,14548.600117787662,2.302516587946377e7,332123.2017696065,2.3357289081233375e7,KAZ,7.0346551575593e6
I00025,912.3889565359294,878525.5363231596,20828.501646247933,899354.0379694075,KAZ,441165.58478697337
I00026,164.8759934172363,37425.917777041934,1073.1925859951216,38499.110363037056,KAZ,60012.12858905191
I00027,378.9256297751927,101653.14392442646,5063.88332270466,106717.02724713112,KAZ,203952.67992077832
I00028,433.49786248865837,102214.80506000154,9896.120374769594,112110.92543477114,KAZ,209608.3437208732
I00029,386.89076576940346,28658.380720589743,2518.306593992553,31176.687314582297,KAZ,140821.82556749924
I00030,350.294330079275,3081.3468557305,2280.0971212702057,5361.443977000706,KAZ,127501.32960554825
I00031,143.46833980937924,24221.744744057603,933.848254177424,25155.592998235028,KAZ,52220.09753299949
I00032,63.27658486866847,35843.5221644283,1878.2537954178347,37721.775959846134,KAZ,41622.31807100647
I00033,1611.865830477119,391796.61218030367,21540.6397879,413337.2519682037,KAZ,867569.596687285
I00034,6809.311974577549,1.1453596649768984e7,93355.661326337,1.1546952311095322e7,KAZ,1.3464924151280833e7
I00035,1087.4965259948474,35317.48028696043,5164.595868673092,40482.07615563352,KAZ,0.0
I00036,24797.250115877076,5.80934571325419e6,161407.51861965057,5.970753231873841e6,KAZ,9.025787998395927e6
I00037,3556.578830363878,115503.26803617964,24379.290264411862,139882.5583005915,KAZ,619754.8935695741
I00038,32655.285567739116,5.374800469049273e7,614072.2341223086,5.436207692461503e7,KAZ,5.8377869966980115e7
I00039,12433.908356472546,2.4193842578191455e7,233815.6825330059,2.4427658260724463e7,KAZ,2.2228104044896178e7
I00040,21200.51145896028,1.295826222923034e7,468073.2158586389,1.3426335445088979e7,KAZ,1.5816142445879791e7
I00041,302.8003506048836,29225.939902717822,1454.2548042598494,30680.194706977672,KAZ,1657.0529313024015
I00042,1307.095768265765,282673.56911880954,6481.75177086462,289155.3208896742,KAZ,35486.791864733364
I00043,4901.339121410139,3.9767722755424897e6,69378.2067672264,4.0461504823097163e6,KAZ,2.899222995381223e6
I00044,337.90060560689454,22219.606113356604,4728.189401923963,26947.795515280566,KAZ,186594.134000102
I00045,898.0017306936849,29163.457227982755,6155.534825664386,35318.99205364714,KAZ,156482.11204541687
I00046,1670.3588736384067,54246.487397195946,11449.813365165997,65696.30076236195,KAZ,291069.9116568859
I00047,1886.015920982243,61250.15438486053,21884.897742985988,83135.05212784652,KAZ,328649.4274778338
I00048,4984.902173330333,161889.42220111002,57843.66563846737,219733.0878395774,KAZ,868648.6826923495
I00049,7730.287245828907,251048.4041936127,52988.820319234255,304037.22451284697,KAZ,1.3470482668342174e6
I00050,2082.1398484798365,67619.46479425335,14272.4494966403,81891.91429089365,KAZ,362825.1816534505
I00051,162.2877056821485,5270.447039821139,1112.433963052564,6382.8810028737025,KAZ,28279.592428547407
I00052,21919.53241746093,711857.5880919499,150251.87652337013,862109.4646153201,KAZ,3.8196081482857103e6
I00053,368.0884529853227,11954.021342987251,2523.136886969939,14477.15822995719,KAZ,64141.58968065616
I00054,1373.8964514259499,44618.58928254708,9417.65161975386,54036.24090230094,KAZ,239409.5814100061
I00055,4431.975320237358,143932.59864585503,30379.87288636077,174312.4715322158,KAZ,772297.9087224845
I00056,935.8432015839729,30392.394856978604,6414.926855721606,36807.32171270021,KAZ,163076.212129437
I00057,1120.6139859600862,36393.0011842861,7681.475637441554,44074.47682172765,KAZ,195273.61397756892
I00058,1045.5273667320614,33954.492066315055,7166.779191096767,41121.27125741182,KAZ,182189.32654075636
I00059,173.30279833284777,30199.037462384793,1187.939147621554,1187.939147621554,KAZ,30199.037462384793
I00060,1770.5300319843768,80773.12754913351,20736.914119822468,101510.04166895598,KAZ,368418.8897424994
I00061,675.5714736941933,21939.82383787452,4630.841557886167,26570.665395760687,KAZ,117722.32438754874
I00062,159.99887582181532,5325.061640285693,777.2042648361843,6102.265905121877,KAZ,5412.448427557302
I00063,1109.5344110241695,36033.18148828369,7605.528445982456,43638.709934266146,KAZ,193342.9325242064
I00064,629.7336122094066,20451.195846254577,4316.636648185575,24767.832494440154,KAZ,109734.80595454542
I00065,416.62365741203314,1.369703200374269e6,207102.15486306514,1.576805355237334e6,KAZ,1.6299431323578092e6
I00066,8897.637325963426,288959.2043273575,60990.65798435701,349949.86231171456,KAZ,1.5504659216027984e6
I00067,7435.2327651407,241466.2303142504,50966.30959429212,292432.53990854253,KAZ,1.2956332787240183e6
I00068,4860.292985236178,157842.62072736412,33315.86311135826,191158.48383872237,KAZ,846934.7947712477
I00069,615.0327128873463,19973.770208933583,4215.866354930544,24189.63656386413,KAZ,107173.0873116359
I00070,1608.7569678484365,52245.907127400416,11027.550619497855,63273.457746898275,KAZ,280335.41528059164
I00071,7129.044928866631,251678.274019337,4.300481926300966e6,4.552160200320303e6,KAZ,3.837132419310352e6
I00072,208.29508802239633,2.357807588676e7,1427.800887807026,2.357950368764781e7,KAZ,36296.650873102604
