SECTOR_CODE,x,CO2,non_CO2,GHG6,ISO_COUNTRY,CO2_EDGAR
C00001,53790.25080854192,1.9442544886502828e6,2.375727177902629e7,2.375727177902629e7,KOR,1.9442544886502828e6
C00002,3690.255381181738,296915.444091666,3.755380882876759e6,4.052296326968425e6,KOR,1.1011805483926067e7
C00003,96647.44956254587,1.94081472848e6,289271.428532318,2.2300861570123183e6,KOR,4.621407953329438e6
C00004,68649.31344240216,372382.1038548725,205471.38136733905,577853.4852222116,KOR,3.2826161949365125e6
C00005,37215.143931981875,4.867336028525192e6,111387.08674638555,4.978723115271578e6,KOR,1.7795230285953796e6
C00006,78310.63331487791,3.679065447181631e7,268201.65188645374,3.7058856123702765e7,KOR,4.943639772879099e7
C00007,214865.67351113237,9.337809718266603e6,9.372693868922729e6,1.871050358718933e7,KOR,2.604160187146455e7
C00008,34608.89123331319,2.8475521163808503e6,103586.4210829611,2.951138537463811e6,KOR,1.6548993887111312e6
C00009,110244.76663353315,6.642911925216907e7,432525.0263743454,6.686164427854342e7,KOR,8.82098286775986e6
C00010,88064.9536338722,1.2275713822409709e6,345506.6172869937,1.5730779995279645e6,KOR,7.046315856758028e6
C00011,109753.01835302259,1.529889688069033e6,328497.15691841836,1.8583868449874513e6,KOR,5.248079222104301e6
C00012,83846.5014231936,1.7533603535450823e6,250957.4474433274,2.0043178009884097e6,KOR,4.009302783362427e6
C00013,247598.15219682534,3.4513662176693836e6,741075.6467151958,4.1924418643845795e6,KOR,1.183944403055947e7
C00014,222186.90891347622,1.5491236901963486e6,665018.3200228903,2.2141420102192387e6,KOR,1.0624350178158743e7
C00015,17118.916041063378,238627.17868862272,51237.90974865298,289865.0884372757,KOR,818578.1942786861
C00016,77103.65705173102,3.0659336588672334e8,8.866415713531684e6,3.15459781600255e8,KOR,3.105770400751555e8
C00017,16442.64144941504,175734.268232799,2.18373471096196e7,2.20130813778524e7,KOR,988995.8889689447
C00018,182312.45477265125,2.6482977499499996e6,53858.11653574857,2.702155866485748e6,KOR,8.717666449460624e6
C00019,209174.5724665514,1.834738313544835e7,152087.37655151158,1.8499470511999864e7,KOR,7.5606377608675165e6
C00020,123265.87179767038,1.4328780273950857e8,2.0186437306482263e6,1.453064464701568e8,KOR,9.840023993998991e7
C00021,107409.1943219517,1.1479588741086489e6,78095.45103551881,1.2260543251441678e6,KOR,3.8823170564135504e6
C00022,115937.21214984579,1.2391038995032485e6,397053.068673014,1.6361569681762625e6,KOR,4.1905631919482024e6
C00023,127771.11248568929,1.3655812554838664e6,92900.26539972468,1.4584815208835911e6,KOR,4.618300811690814e6
C00024,232502.2182497136,2.484917481921344e6,169048.52248071574,2.6539660044020596e6,KOR,8.40381806476665e6
C00025,80592.86301559543,861353.5635623636,58597.73948756255,919951.3030499262,KOR,2.913037833360797e6
C00026,119661.6307436009,1.2789094245570998e6,87003.99517527458,1.3659134197323744e6,KOR,4.325182708676148e6
C00027,107677.39563249478,1.1508253333203492e6,78290.4557783381,1.2291157890986872e6,KOR,3.892011222067124e6
C00028,100409.77889574195,1.0731511157708853e6,73006.29169356942,1.1461574074644546e6,KOR,3.6293224215907054e6
C00029,101905.47581647296,1.0891366984202026e6,74093.78821911641,1.163230486639319e6,KOR,3.683384550100615e6
C00030,80315.971762023,3.1701787682814837e7,58396.41643070474,3.176018409924554e7,KOR,2.9030295687676016e6
