SECTOR_CODE,x,CO2,non_CO2,GHG6,ISO_COUNTRY,CO2_EDGAR
I00001,1542.020134432126,78753.62439318202,79287.94953836323,79287.94953836323,LBN,78753.62439318202
I00002,881.0785498119336,44998.19919558433,388773.9275070272,388773.9275070272,LBN,44998.19919558433
I00003,357.2465605605806,14596.291071592215,10073.486481608941,10073.486481608941,LBN,14596.291071592215
I00004,2920.359458165218,149147.78784397474,185593.6405715599,185593.6405715599,LBN,149147.78784397474
I00005,766.8793307429022,30810.460692506742,7133.661836962261,7133.661836962261,LBN,30810.460692506742
I00006,458.2703221105487,18411.65771445607,4262.92035369566,4262.92035369566,LBN,18411.65771445607
I00007,908.3895522164096,59062.64478940571,8450.017652012997,67512.66244141871,LBN,36495.83379034959
I00008,1085.196616480276,70558.47585372705,533648.4948824208,604206.9707361478,LBN,44338.693308055146
I00009,1479.881651337622,61642.86226975178,727735.9732302366,789378.8354999883,LBN,59456.336375541025
I00010,2858.3018775013134,185844.13270699204,28614.651259049897,214458.78396604193,LBN,147925.87050356017
I00011,681.0413358789106,72648.7118530681,6817.950361565172,79466.66221463328,LBN,35245.97358025179
I00012,3228.8756059578564,2.363611320976821e6,38776.85181965394,2.402388172796475e6,LBN,2.5039479350844272e6
I00013,1021.5783986947156,3357.253799318085,9412.54925209607,9412.54925209607,LBN,3357.253799318085
I00014,7538.03764518824,327623.8669281666,71077.38847622302,71077.38847622302,LBN,327623.8669281666
I00015,13615.068083340006,1.0533664329227451e7,170226.97778947992,1.0703891307016931e7,LBN,1.0159630921539001e7
I00016,3349.011887987206,9.00165448593e6,126448.22855007357,9.128102714480072e6,LBN,8.383348616804359e6
I00017,2896.343688050448,31556.56097376213,2053.1337215860094,2053.1337215860094,LBN,31556.56097376213
I00018,2562.405940423905,27918.205851096784,25100.393781908788,25100.393781908788,LBN,27918.205851096784
I00019,4970.558255679707,54155.77071054468,3523.484043674718,3523.484043674718,LBN,54155.77071054468
I00020,8527.796227558301,92912.9794702993,6045.10648299448,6045.10648299448,LBN,92912.9794702993
I00021,3749.6777682387346,40853.899906137434,36730.47546966384,36730.47546966384,LBN,40853.899906137434
I00022,2650.2532560803847,2.112363436872786e6,149758.43254136672,2.2621218694141526e6,LBN,2.0859154325819144e6
I00023,5138.139046298076,55981.615294872805,3642.2771875022772,3642.2771875022772,LBN,55981.615294872805
I00024,4188.760059622091,45637.83737795888,2969.2900623377063,2969.2900623377063,LBN,45637.83737795888
I00025,2696.6642120461865,29380.99127679059,1911.5867541510338,1911.5867541510338,LBN,29380.99127679059
I00026,2243.4929833966808,713326.51321,3.5524386205502027e6,4.265765133760203e6,LBN,121952.48159494356
