SECTOR_CODE,x,CO2,non_CO2,GHG6,ISO_COUNTRY,CO2_EDGAR
I00001,166.1468554577913,1598.5580378764191,34864.070440472766,34864.070440472766,LKA,1598.5580378764191
I00002,1679.3691399410498,16157.808282422619,9.779838592981149e6,9.779838592981149e6,LKA,16157.808282422619
I00003,850.22540032025,8180.32122211252,178410.34767326558,178410.34767326558,LKA,8180.32122211252
I00004,5.751476222486657,55.337000027947276,1206.8833418783543,1206.8833418783543,LKA,55.337000027947276
I00005,62.82466999866081,604.458513082158,13183.058530946475,13183.058530946475,LKA,604.458513082158
I00006,565.2504437654529,5438.475725615093,118611.52131737865,118611.52131737865,LKA,5438.475725615093
I00007,20.419921752870884,196.46733584525722,4284.893556483183,4284.893556483183,LKA,196.46733584525722
I00008,19.369565917352084,186.36148846781145,4064.4880619814094,4064.4880619814094,LKA,186.36148846781145
I00009,918.0058885603643,8832.461426565254,192633.32956468823,192633.32956468823,LKA,8832.461426565254
I00010,20.970166563398184,201.76143703209343,4400.356312494246,4400.356312494246,LKA,201.76143703209343
I00011,1090.8379082193817,10495.339808867984,228900.2073888787,228900.2073888787,LKA,10495.339808867984
I00012,577.6298653072586,5557.58254683893,121209.2052967511,121209.2052967511,LKA,5557.58254683893
I00013,34.182475133878796,328.8817608326897,7172.8123750137065,7172.8123750137065,LKA,328.8817608326897
I00014,737.3888698440719,7094.680797189731,154732.8562399148,154732.8562399148,LKA,7094.680797189731
I00015,10.568167204178216,101.68009850871259,2217.612393674017,2217.612393674017,LKA,101.68009850871259
I00016,4.422399795264496,42.54948262453903,927.9914299503732,927.9914299503732,LKA,42.54948262453903
I00017,291.3393140784298,2803.0792456844956,1.3080340343854742e6,1.3080340343854742e6,LKA,2803.0792456844956
I00018,117.7297303101266,6613.899697224664,529208.2497277593,529208.2497277593,LKA,6613.899697224664
I00019,184.16779693740563,1771.9439305733558,56471.320389077024,56471.320389077024,LKA,1771.9439305733558
I00020,108.82376137676427,54125.37809818101,24270.040721000136,78395.41881918116,LKA,62106.058921507916
I00021,274.58566830251715,15425.857713801612,6261.008970354994,6261.008970354994,LKA,15425.857713801612
I00022,364.19308797245475,20459.883395019926,8304.206861316083,8304.206861316083,LKA,20459.883395019926
I00023,11.858618429640696,114.09598909699146,206.54697739072284,206.54697739072284,LKA,114.09598909699146
I00024,1619.8301252814256,15584.96222891688,28213.321665452353,28213.321665452353,LKA,15584.96222891688
I00025,1974.1792437285133,92779.39063683056,100807.77747738844,100807.77747738844,LKA,92779.39063683056
I00026,1607.5527196651913,799544.1222013822,12830.183820640736,812374.306022023,LKA,901262.5845618313
I00027,188.42037298797823,306.41805351031763,571.6774075244964,878.095461034814,LKA,3039.2911317932353
I00028,275.03836490603175,12805.047595789343,1480.8622913027461,1480.8622913027461,LKA,12805.047595789343
I00029,231.43158711870382,10774.833137320906,1246.0745630796864,1246.0745630796864,LKA,10774.833137320906
I00030,119.98991494926298,5586.408181509415,646.0500172246711,646.0500172246711,LKA,5586.408181509415
I00031,359.3452649246511,16730.150436481075,1934.787725221242,1934.787725221242,LKA,16730.150436481075
I00032,1140.0194169497518,64044.77489867862,355701.93253120326,355701.93253120326,LKA,64044.77489867862
I00033,2085.1652952420714,97079.69598999496,11226.952494107933,11226.952494107933,LKA,97079.69598999496
I00034,452.9967997783528,21090.314378082792,2439.0265667183335,2439.0265667183335,LKA,21090.314378082792
