SECTOR_CODE,x,CO2,non_CO2,GHG6,ISO_COUNTRY,CO2_EDGAR
I00001,3301.7349232521633,103277.3001361645,4.817531026192018e6,4.817531026192018e6,LTU,103277.3001361645
I00002,451.6763935623012,14128.305132504878,3358.7661106995392,3358.7661106995392,LTU,14128.305132504878
I00003,94.47821898871233,2955.250983388018,702.5610473812957,702.5610473812957,LTU,2955.250983388018
I00004,212.98336039189036,3702.765112888176,615419.8393612914,619122.6044741796,LTU,10621.890646530284
I00005,4634.720740166135,244492.044,12007.790426289566,256499.83442628957,LTU,208980.31911401104
I00006,1028.876418337753,17213.65231167934,2665.647640618863,19879.299952298203,LTU,46392.20662632566
I00007,1343.7383253418077,196932.48258039236,3481.4024626431647,200413.88504303552,LTU,60589.38170794552
I00008,493.51649397304107,11818.936886307685,1278.6191366802936,13097.55602298798,LTU,22252.739740003635
I00009,266.6615430141369,6386.120799159489,690.8756973241019,7076.996496483591,LTU,12023.812755659434
I00010,6348.014799318355,2.0520845232284511e6,2.690253448210487e6,4.742337971438939e6,LTU,3.8387556153863333e6
I00011,239.55327824438353,11303.565448870895,101430.49419474059,112734.05964361149,LTU,85778.56520519908
I00012,1064.0543368981917,19384.21579242394,2756.78777556725,22141.00356799119,LTU,47978.38474981355
I00013,606.5682366040547,68252.69061951403,1571.5173950533272,69824.20801456735,LTU,27350.2613763509
I00014,74.73365205216436,3397.6827377920663,193.6224601099628,3591.3051979020292,LTU,3369.7526409880174
I00015,917.7050049393968,4262.181654058853,2377.6210024844563,6639.80265654331,LTU,41379.469343796016
I00016,348.9753416600547,1620.7782358565537,904.1370562590846,2524.9152921156383,LTU,15735.35545108702
I00017,368.7265685584657,2901.4568523540065,955.3091994268111,3856.7660517808176,LTU,16625.94151474168
I00018,444.87213252558905,2066.1605106728393,1152.5896884290605,3218.7501991019,LTU,20059.357495786386
I00019,292.5321648710136,943.2599366020291,757.9021748339478,1701.1621114359768,LTU,13190.32334268872
I00020,168.63689433336984,543.763884316091,436.91013953579807,980.674023851889,LTU,7603.865252714259
I00021,2157.0573080276163,18450.310378129263,5588.576646661886,24038.887024791147,LTU,97262.06816997181
I00022,544.2620733882738,4469.119863737397,4047.253815985518,8516.373679722916,LTU,17024.35804588636
I00023,1958.9067926983007,1.7035592100424576e6,87412.2241246486,1.7909714341671062e6,LTU,1.6893011882518362e6
I00024,206.63419674915062,1696.7432389143335,468.8123970710928,2165.5556359854263,LTU,2829.288547295649
I00025,528.9641409889314,4343.503369583413,1.4019362951767074e6,1.406279798546291e6,LTU,8511.248349930056
I00026,4794.726323925039,61168.24,1947.1318778491059,63115.3718778491,LTU,216194.99715581269
I00027,1102.5622363901368,9053.51122664512,8198.89798826399,17252.40921490911,LTU,34487.82341809102
I00028,4871.903071987289,40004.8429935128,36228.55470428034,76233.39769779315,LTU,152391.69936280965
I00029,3608.919004221807,405250.4379913168,26836.724301748956,432087.16229306575,LTU,112885.9281044282
I00030,5079.429703626081,3.4656733250163216e6,60382.570731580985,3.526055895747903e6,LTU,3.3897111668429105e6
I00031,190.81789731813694,257041.87871635894,571.5240300145667,257613.4027463735,LTU,15783.24813
I00032,250.05825808964377,243462.3343777384,546.3110275927344,244008.64540533116,LTU,0.0
I00033,2432.67760974115,1.562907485343361e6,21060.256005870364,1.5839677413492315e6,LTU,1.5478346846725794e6
I00034,156.1206060054794,1281.9590700012945,1349.3072312630343,2631.266301264329,LTU,97906.95864039374
I00035,949.0001657336985,7792.561155267025,7056.976280242405,14849.53743550943,LTU,29684.446881402084
I00036,199.64678676120545,4781.22373031308,517.251612148857,5298.475342461937,LTU,9002.10639356624
I00037,205.84055129380818,1690.2263478012806,1980.3831723301896,3670.60952013147,LTU,6438.632079895956
I00038,816.547954195726,6704.951272963119,1783.940891788076,8488.892164751194,LTU,0.0
I00039,924.6890849464106,7592.934652948016,6876.193676974567,14469.128329922583,LTU,28924.003403816612
I00040,933.0773069128765,7661.813179019825,6938.570360971236,14600.38353999106,LTU,29186.38452700689
I00041,347.8664580098629,2856.449077447961,2586.8123436728833,5443.261421120844,LTU,10881.16079161248
I00042,135.24495554586298,1110.5420473954337,1005.7115665219136,2116.253613917347,LTU,4230.42254768723
I00043,1804.9961840376984,14821.433817414472,13422.353037034647,28243.78685444912,LTU,56459.75130549749
I00044,1839.839994511342,15107.548123610068,13681.459360620649,28789.007484230715,LTU,57549.65547885541
I00045,1077.555189588164,8848.169912119281,8012.9400269352955,16861.10993905458,LTU,33705.610327664435
I00046,552.4593764479997,4536.430690128861,4108.210784533273,8644.641474662134,LTU,17280.76728166248
I00047,110.32448824810956,905.9116664455647,820.3974296409809,1726.3090960865457,LTU,3450.9176387624166
I00048,520.6713784758356,4275.4086933517765,3871.828162289448,8147.236855641224,LTU,16286.448027206612
I00049,190.91779674608216,1567.6905658098308,1419.7071947522847,2987.3977605621158,LTU,5971.852693873722
I00050,469.9202490923835,3858.674014371334,3494.431477666491,7353.105492037825,LTU,14698.967583312784
I00051,261.5566822461369,2147.730333003662,1944.9936566900903,4092.7239896937526,LTU,8181.41631683333
I00052,257.5074254334246,8209.466546220787,566.321693999949,8775.788240220736,LTU,2354.6567141170767
I00053,719.6077693049862,5908.942645736007,5351.163405896031,11260.106051632038,LTU,22509.119992474607
