SECTOR_CODE,x,CO2,non_CO2,GHG6,ISO_COUNTRY,CO2_EDGAR
I00001,1659.1113844188485,72895.62500589504,2.5385954022073564e6,2.5385954022073564e6,LVA,72895.62500589504
I00002,1042.1725881998025,45789.464706401544,10128.355333409701,10128.355333409701,LVA,45789.464706401544
I00003,72.28977904653149,3176.163261022285,702.5482894552732,702.5482894552732,LVA,3176.163261022285
I00004,262.4724270023013,4080.7236372799266,379069.9790585857,383150.70269586565,LVA,13508.758352227725
I00005,2073.081404899419,109457.46239999999,11131.704748275808,120589.1671482758,LVA,106695.99112990819
I00006,318.36926491984644,6861.290952742432,1709.528940656954,8570.819893399386,LVA,16385.62006568739
I00007,2367.180214799342,403442.3824939468,12710.910037025229,416153.29253097204,LVA,121832.47536937839
I00008,143.58933276339724,1667.3221009995086,771.0232958274084,2438.345396826917,LVA,7390.161398710814
I00009,230.78088747778625,2679.7678265838467,1239.2107202719421,3918.978546855789,LVA,11877.679026539188
I00010,8.323176338936983,490.30928310324794,44.69247630793201,535.0017594111799,LVA,428.3717690646925
I00011,272.9523209912109,16295.082246337153,150110.43762927444,166405.5198756116,LVA,14124.656355013562
I00012,173.37989717347943,10213.621534119844,95350.47053755462,105564.09207167446,LVA,8972.011879400141
I00013,234.06180669023553,5229.366487250362,1256.8280815051362,6486.194568755498,LVA,12046.539220047323
I00014,561.2903748789915,89161.49156434274,3013.928308090305,92175.41987243305,LVA,28888.12408323991
I00015,170.3703714069479,26187.49938295197,914.8278827228444,27102.327265674816,LVA,8768.510292685214
I00016,644.9696877055562,4911.368130620722,3463.256251374385,8374.624381995107,LVA,33194.87595415023
I00017,357.0867312117478,2719.173358022291,1917.42786944199,4636.601227464281,LVA,18378.305172162338
I00018,223.62520245343555,2716.4630877723425,1200.7872542302912,3917.2503420026337,LVA,11509.394933072255
I00019,220.9172619599342,1682.2589039088932,1186.246583527097,2868.5054874359903,LVA,11370.024431657259
I00020,158.6188686996602,718.9416581480209,851.7265215428488,1570.6681796908697,LVA,8163.691675501826
I00021,107.88006024565478,488.9674855831675,579.2772903382922,1068.2447759214597,LVA,5552.300032146012
I00022,384.4434125589916,10783.438786308587,2064.3234515115023,12847.762237820089,LVA,19786.28086644573
I00023,288.95876233341363,4060.1416949823383,2808.246018704535,6868.387713686873,LVA,12695.850187660715
I00024,2082.992760143955,1.885565620231911e6,84731.1234511081,1.9702967436830192e6,LVA,1.8589072398848368e6
I00025,92.47401446540275,1299.346656946716,280.40585429774467,1579.7525112444605,LVA,115.85360934285012
I00026,344.21147093944114,4836.494085754262,815169.714410122,820006.2084958763,LVA,431.2361858202383
I00027,5583.13183227305,77486.40886999998,13091.314501310002,90577.72337130998,LVA,287348.95940191764
I00028,576.5263696330082,8100.736356639292,5602.972095831333,13703.708452470626,LVA,25330.577827056924
I00029,3247.221581412295,45626.50957206843,31558.12616379708,77184.63573586551,LVA,142671.70301684958
I00030,2279.272048188493,358653.963425054,22151.107663883144,380805.0710889371,LVA,100143.34303984368
I00031,2712.100194681643,1.4696391818566944e6,43116.25535144871,1.512755437208143e6,LVA,1.45599713437722e6
I00032,155.29155175289858,812603.39712,562.5170772577918,813165.9141972577,LVA,9470.13561
I00033,508.6350513995397,319748.04290000006,1538.5417950637718,321286.5846950638,LVA,0.0
I00034,3296.4135027242514,1.5596989721052302e6,26484.80057826874,1.586183772683499e6,LVA,1.5202982665623275e6
I00035,155.71923230386844,2188.001300538751,1251.1151317517379,3439.116432290489,LVA,71817.34899045252
I00036,948.010939398312,13320.44306692193,9213.24525601973,22533.68832294166,LVA,41652.32701605019
I00037,115.54090337731503,1341.6310116008387,620.4132745128434,1962.0442861136821,LVA,5946.583271044148
I00038,163.53325455837805,2297.7956438729307,2083.960716579607,4381.756360452538,LVA,7185.086494031096
I00039,832.650631986849,11699.522523502575,2518.638451033007,14218.160974535582,LVA,0.0
I00040,940.6216007119341,13216.615926133267,9141.431960657756,22358.04788679102,LVA,41327.66499095509
I00041,1494.4366123971502,20998.236397139364,14523.683701718639,35521.920098858005,LVA,65660.38417640139
I00042,249.06714476506295,3499.627044166291,2420.559293749835,5920.186337916126,LVA,10943.15026500926
I00043,186.20887071083828,2616.4093237508528,1809.6710949287985,4426.080418679651,LVA,8181.374764578014
I00044,1787.7267919275396,25119.238567221306,17374.024602753547,42493.26316997485,LVA,78546.54187849424
I00045,2277.69064024412,32003.690291473846,22135.738749205248,54139.4290406791,LVA,100073.86143566872
I00046,601.1529106138739,8446.762360599796,5842.305158810691,14289.067519410488,LVA,26412.582997651483
I00047,353.96598408210406,4973.5541465219685,3440.018767828374,8413.572914350343,LVA,15552.043029063874
I00048,171.39023356690404,2408.193569900552,1665.6561551289667,4073.8497250295186,LVA,7530.295020030884
I00049,521.6516138627068,7329.694557782548,5069.6717273811,12399.366285163647,LVA,22919.570551422363
I00050,184.4296618991342,2591.4097707968413,1792.379852325306,4383.7896231221475,LVA,8103.202473336341
I00051,279.5033924777643,3927.2848780358954,2716.3539973722036,6643.638875408099,LVA,12280.413887384293
I00052,119.30544682038352,1676.3534532135698,1159.4701034070895,2835.8235566206595,LVA,5241.869349010434
I00053,273.1563378229479,18774.595968075104,826.2553694850308,19600.851337560136,LVA,0.0
I00054,749.2872233513203,10528.18842550273,7281.948624262933,17810.137049765664,LVA,32921.093163530015
I00055,2583.0362387414793,36294.08240773018,25103.24025144299,61397.322659173165,LVA,113489.69261752801
I00056,1536.7234852495337,21592.406631784386,14934.648717529959,36527.055349314345,LVA,67518.32334496363
I00057,1024.1319725059068,14390.014994381485,9953.027591872296,24343.04258625378,LVA,44996.82235047056
I00058,209.496093361052,2943.6166486956295,2035.9879913816276,4979.6046400772575,LVA,9204.534912643285
I00059,579.3144516675944,8139.911524840604,5630.068073853326,13769.97959869393,LVA,25453.076523881948
I00060,226.540933757063,3183.112646731198,2201.638289697627,5384.750936428825,LVA,9953.426340585698
I00061,190.71244792197254,2679.6888085598307,1853.4391145277455,4533.127923087576,LVA,8379.246395531189
I00062,50.38827246128218,708.0024994089795,489.69847595596667,1197.700975364946,LVA,2213.886691711839
I00063,143.22536584758353,2012.450755813713,1391.9358602279954,3404.3866160417083,LVA,6292.827991060203
I00064,40.76329557685479,421391.98407,396.1581285460177,421788.14219854603,LVA,1790.9984442760651
I00065,0.0,0.0,0.0,0.0,LVA,0.0
