SECTOR_CODE,x,CO2,non_CO2,GHG6,ISO_COUNTRY,CO2_EDGAR
I00001,11040.172628998904,407392.24129802,5.420266541078046e6,5.420266541078046e6,MEX,407392.24129802
I00002,5167.224201307517,190675.19316959495,2.473697882894145e6,2.473697882894145e6,MEX,190675.19316959495
I00003,6841.562127472911,252459.7597115269,3.2752512937480155e6,3.2752512937480155e6,MEX,252459.7597115269
I00004,2240.735482194541,82685.14278929435,1.0727041062061617e6,1.0727041062061617e6,MEX,82685.14278929435
I00005,6399.822752563262,236159.18180739798,3.06377803190881e6,3.06377803190881e6,MEX,236159.18180739798
I00006,11687.707563074306,431286.8593422004,3.94536376737699e7,3.94536376737699e7,MEX,431286.8593422004
I00007,3307.66466106059,122055.78345688594,1.1165526034901168e7,1.1165526034901168e7,MEX,122055.78345688594
I00008,12026.194771988501,443777.3400008139,4.059625282097791e7,4.059625282097791e7,MEX,443777.3400008139
I00009,449.6198572482533,16591.374748555114,1.5177603343575334e6,1.5177603343575334e6,MEX,16591.374748555114
I00010,444.3974496580854,16398.663238995752,195131.73972748333,195131.73972748333,MEX,16398.663238995752
I00011,214.06779294736168,7899.292962999086,164438.6653398174,164438.6653398174,MEX,7899.292962999086
I00012,11.30297236955932,417.08978670036527,44.160579361783746,44.160579361783746,MEX,417.08978670036527
I00013,603.0934348951918,22254.6869882009,2356.2789170383717,2356.2789170383717,MEX,22254.6869882009
I00014,1037.435679809902,38282.304181561994,4053.2489307303717,4053.2489307303717,MEX,38282.304181561994
I00015,1514.469634767915,55885.283647221484,5917.01495062468,5917.01495062468,MEX,55885.283647221484
I00016,36.99085433400941,1364.9955993511637,144.52283037305995,144.52283037305995,MEX,1364.9955993511637
I00017,172.29399756037787,6357.802562248767,673.1506106584145,673.1506106584145,MEX,6357.802562248767
I00018,13.629562312306268,502.9430358486133,53.25053875031672,53.25053875031672,MEX,502.9430358486133
I00019,78.24801565999073,2887.42174131536,305.71407170394065,305.71407170394065,MEX,2887.42174131536
I00020,72184.70339833305,2.09780780505558e7,2.6929834562223103e7,4.79079126127789e7,MEX,8.80754919034013e6
I00021,981.3010290288425,13598.03844996154,754270.623100932,767868.6615508936,MEX,628782.77278822
I00022,11585.205355930853,160537.96258275173,15076.340473053966,175614.3030558057,MEX,953710.1066429336
I00023,5276.5984943667445,73118.6323960323,1362.2146061238607,74480.84700215617,MEX,357311.11520759447
I00024,13714.12249900084,3.9855525981916934e6,5.134153057220194e6,9.119705655411888e6,MEX,2.8022813589769243e6
I00025,24422.1441995096,1.4422321119265804e8,991001.0570855852,1.452142122497436e8,MEX,1.380661314035936e8
I00026,6150.044251473601,330411.1274579943,16841.671523602072,347252.7989815964,MEX,0.0
I00027,288.18445904818464,281032.72388994024,11693.940598308447,292726.6644882487,MEX,1.6291982008778395e6
I00028,69176.45750630765,344760.0354942406,17858.69834811223,362618.7338423528,MEX,4.684365733735054e6
I00029,34176.0907393439,170326.01380717178,8822.951004335579,179148.96481150735,MEX,2.314274453238731e6
I00030,19699.16617803902,98176.25064319627,5085.566378574037,103261.8170217703,MEX,1.3339523640559998e6
I00031,9216.594016286692,45933.448961321454,2379.369777917176,48312.81873923863,MEX,624112.5774285888
I00032,14024.495257954444,69894.95642329342,3620.5847961136406,73515.54121940707,MEX,949685.3031727052
I00033,2443.509087291673,12177.904304919959,630.8199823160073,12808.724287235966,MEX,165465.11127048728
I00034,3036.539949159423,15133.437854293501,783.9177218504649,15917.355576143966,MEX,205622.89830558302
I00035,4737.65753511362,23611.428495256427,1223.0807972284545,24834.50929248488,MEX,320816.0899773499
I00036,1326.6643389659973,6611.799173861361,342.49366175813685,6954.292835619498,MEX,89836.64665184577
I00037,4943.308059650775,24636.34484244541,1276.1718460510285,25912.51668849644,MEX,334741.95876267547
I00038,5955.541690649978,65711.46746084884,17846.52496906902,83557.99242991787,MEX,403286.55769873
I00039,12037.31319882485,132815.71277092313,36071.31336190616,168887.02613282928,MEX,815120.9169632647
I00040,7052.531198192685,77815.28506033878,21133.791124539595,98949.07618487837,MEX,477570.5011766306
I00041,4578.286799584636,50515.294776570656,13719.408565743579,64234.703342314235,MEX,310024.11190584995
I00042,11855.874476488872,130813.77821681922,35527.609555146046,166341.38777196527,MEX,802834.5790338352
I00043,26498.680339388262,292377.63100724894,79406.6073060532,371784.23831330216,MEX,1.7943895169785293e6
I00044,867.4012868474783,9570.617484831308,2599.276359399753,12169.893844231061,MEX,58737.105251964145
I00045,25901.228202877373,285785.5427192287,77616.26731249645,363401.81003172515,MEX,1.7539323380956238e6
I00046,10525.555256860629,116135.47813029888,31541.141757061207,147676.61988736008,MEX,712750.4378101034
I00047,18907.703071031592,208621.31098202168,56659.29524004071,265280.6062220624,MEX,1.2803575025723365e6
I00048,1748.761343039019,19295.251390870093,5240.381915634343,24535.63330650444,MEX,118419.44509901397
I00049,1322.1325136201983,89529.76873229926,3961.935310399227,3961.935310399227,MEX,89529.76873229926
I00050,3252.2525272355915,220230.13096104984,9745.781147691583,9745.781147691583,MEX,220230.13096104984
I00051,735.1979337201393,49784.79864941639,2203.1124896570814,2203.1124896570814,MEX,49784.79864941639
I00052,685.6406222799818,46428.966623106826,2054.6078125081963,2054.6078125081963,MEX,46428.966623106826
I00053,1268.4937314804724,85897.5550845897,3801.1999962178234,3801.1999962178234,MEX,85897.5550845897
I00054,1148.9870855697545,77805.02104572639,3443.083396419065,3443.083396419065,MEX,77805.02104572639
I00055,8629.243531838343,584339.4438767347,25858.606681724497,25858.606681724497,MEX,584339.4438767347
I00056,330.80519951798254,22400.86580065376,991.2991226917618,991.2991226917618,MEX,22400.86580065376
I00057,935.7839139502826,63367.71581993013,2804.193447623098,2804.193447623098,MEX,63367.71581993013
I00058,3230.236509400928,218739.29024361944,9679.807398801091,9679.807398801091,MEX,218739.29024361944
I00059,355.97503131537565,24105.270765085952,1066.7236692690553,1066.7236692690553,MEX,24105.270765085952
I00060,3205.0444678418203,9.64734583e6,9604.316297897158,9.656950146297898e6,MEX,217033.38131887358
I00061,360.58361469787155,24417.34644597863,1080.533865331804,1080.533865331804,MEX,24417.34644597863
I00062,1903.293775678467,301337.06290323666,5703.457662708813,307040.5205659455,MEX,128883.79176118506
I00063,4605.525543881154,419382.0735964957,13801.032867186565,433183.1064636823,MEX,311868.615730015
I00064,10286.212938594625,2.5652233311143527e6,30823.9225886025,2.5960472537029553e6,MEX,696543.0893170738
I00065,5375.067327255629,1.340459136564448e6,16107.060994450942,1.356566197558899e6,MEX,363979.04882624664
I00066,87139.99596363054,5.05746450701147e7,351962.0669255125,5.092660713704021e7,MEX,5.6458737331479505e7
I00067,31960.85323598259,1.5604962709630013e6,3.2358391631555505e7,3.39188879025185e7,MEX,3.3811029881372186e6
I00068,8113.367975883994,398552.71553287096,8.214284408371297e6,8.612837123904169e6,MEX,858304.1417753573
I00069,2947.3130023355943,143903.25926366227,2.9839725393494745e6,3.1278757986131366e6,MEX,311792.9526347387
I00070,13487.200479250729,658515.775477047,1.36549582046063e7,1.4313473980083346e7,MEX,1.4267958838677234e6
I00071,3957.041422957339,193203.4898748915,4.0062602559741936e6,4.199463745849085e6,MEX,418610.9951620785
I00072,10580.373937950597,516589.2773155946,1.0711975708679263e7,1.1228564985994857e7,MEX,1.1192859487536806e6
I00073,3385.1957244968394,701240.6782823071,3.427301774265927e6,4.128542452548234e6,MEX,358116.07703387766
I00074,18902.441211679514,2.9927098954538153e6,56643.52742089203,3.0493534228747073e6,MEX,1.280001189535602e6
I00075,4165.805634790734,659546.9657153228,12483.357205659548,672030.3229209823,MEX,282092.46140184003
I00076,3506.6267973433637,358384.9828744785,10508.045438460338,368893.02831293887,MEX,237455.38587278136
I00077,4954.0326895166,506313.0533129739,14845.378083717686,521158.43139669154,MEX,335468.18977336114
I00078,9176.277596492686,937835.7833123219,27497.86262197123,965333.645934293,MEX,621382.5033224856
I00079,1352.5701153190234,138235.64514546614,4053.1453878250095,142288.79053329115,MEX,91590.88697331431
I00080,1402.4798523088027,162770.9080277401,4202.706152177672,166973.6141799178,MEX,94970.58391303303
I00081,13961.225808836216,9.906054019085888e6,56400.66792602405,9.962454687011912e6,MEX,1.1493073921382749e6
I00082,11022.566450637762,4.376166615914112e6,44529.04913847074,4.4206956650525825e6,MEX,907392.8948298658
I00083,2097.332650259607,172655.3206517658,8472.820650378158,8472.820650378158,MEX,172655.3206517658
I00084,21603.360637514932,3.4203302330600866e6,87273.42327143307,3.5076036563315196e6,MEX,1.778418486721306e6
I00085,1850.7509453161995,294782.67254505627,7476.677972967711,302259.350518024,MEX,152356.37411670218
I00086,1438.5548989825695,1371.4359961923506,5811.485199209328,7182.921195401679,MEX,118423.8262481922
I00087,2137.189216755205,2037.4740127090126,8633.833515750408,10671.30752845942,MEX,175936.36825645753
I00088,5339.419729063673,5090.297506474416,21570.229088765424,26660.52659523984,MEX,439548.4070215296
I00089,3168.8383717696956,3020.9893360581273,12801.497745585386,15822.487081643514,MEX,260863.1516339549
I00090,1499.735402080551,1429.7619900581892,6058.6426684762755,7488.404658534465,MEX,123460.28976708648
I00091,2335.646556718522,372015.551769724,9435.563011570815,381451.11478129483,MEX,192273.65059591935
I00092,2185.5365829026096,2083.565627497254,8829.147579179698,10912.713206676952,MEX,179916.39021616674
I00093,2898.012413667111,2762.7993511587974,11707.412946883569,14470.212298042366,MEX,238568.38469212735
I00094,6104.533617678852,972313.8269979744,24661.14208940335,996974.9690873778,MEX,502533.63912461145
I00095,3750.9135061630645,3575.9064910170073,11240.081091137748,14815.987582154756,MEX,253997.54962693973
I00096,1687.6973675004242,1608.954181801578,5057.396081470664,6666.350263272242,MEX,114284.42568792969
I00097,587.7622334941416,560.3389101009527,1761.3029881727123,2321.641898273665,MEX,39801.01562605294
I00098,5220.34848195314,831483.1776912909,15643.426638534771,847126.6043298256,MEX,353502.0790098615
I00099,553.7192636134222,527.8842889080244,1659.2889744094712,2187.1732633174956,MEX,37495.75560938795
I00100,6468.758478465995,6166.944504041635,19384.443212960003,25551.38771700164,MEX,438039.6401994307
I00101,5058.59934347082,4822.579405803361,15158.725130495275,19981.304536298638,MEX,342549.04456604575
I00102,25937.092963256808,24726.94156584198,77723.74054916712,102450.6821150091,MEX,1.75636096281314e6
I00103,10610.428841039859,10115.376241762646,31795.476059119243,41910.85230088189,MEX,718497.7530638833
I00104,18584.804175625606,2.960138022613001e6,55691.68834570987,3.015829710958711e6,MEX,1.258492021516693e6
I00105,19668.25466980436,3.167486894447006e6,58938.38315559894,3.2264252776026046e6,MEX,1.3318591546727454e6
I00106,3793.965375588874,3616.9496819829455,11369.091398273882,14986.041080256828,MEX,256912.85794397964
I00107,642.1174815753809,612.1580960446377,1924.1852820880972,2536.343378132735,MEX,43481.7456133786
I00108,1789.22945979981,4869.679293917156,5361.649685005603,10231.32897892276,MEX,121159.79154485145
I00109,8144.818919490007,7764.804705442407,24406.967789920745,32171.77249536315,MEX,551536.0576314139
I00110,9419.372503156761,1.5002925202902297e6,28226.32689054399,1.5285188471807737e6,MEX,637843.9627824309
I00111,9577.469119901898,1.5254737275847103e6,28700.083160724593,1.5541738107454348e6,MEX,648549.6623917645
I00112,78656.12815494703,139089.203735227,235702.91805552843,374792.1217907554,MEX,5.326292856839488e6
I00113,2730.3739771505984,4828.174883375269,8181.906850659018,13010.081734034287,MEX,184890.50697168085
I00114,75967.79141977921,134335.36414716518,227646.9810540696,361982.3452012348,MEX,5.144248951486096e6
I00115,3976.6259621606814,7031.94718077377,11916.45667391899,18948.403854692762,MEX,269281.9358569806
I00116,2818.4193858289755,4983.867339549745,8445.745921227099,13429.613260776845,MEX,190852.60607726287
I00117,621.427905025192,1098.8833866642342,1862.1863802783591,2961.0697669425936,MEX,42080.72643820103
I00118,1588.270916276903,2808.571210441405,4759.452294571771,7568.023505013176,MEX,107551.64580980607
I00119,5381.946588484114,852091.252753549,16127.67556045686,868218.9283140058,MEX,364444.8861462509
I00120,1126.382602460319,178333.38682027857,3375.3462377893507,181708.7330580679,MEX,76274.33170539732
I00121,1176.510773566376,186269.87883367014,3525.5615672702143,189795.44040094037,MEX,79668.82016995348
I00122,8804.536405090917,1.4023630670465583e6,26383.893683629525,1.4287469607301878e6,MEX,596209.6083580173
I00123,8594.475088257834,1.3689050609701055e6,25754.41869535386,1.3946594796654594e6,MEX,581985.0575494355
I00124,119283.45913978225,682097.8252343872,466039.0640321291,1.1481368892665163e6,MEX,4.401666296511812e6
I00125,133643.63525452573,1.4422887431660824e7,522144.1022672217,1.4945031533928046e7,MEX,4.931569634930001e6
I00126,8698.405636696038,9.457623119814467e6,24131.378514307587,9.481754498328775e6,MEX,40032.84919921421
I00127,841.1302372831476,914546.0801855349,2333.4888005313524,916879.5689860663,MEX,3871.150800785792
I00128,3255.023337611547,509716.03269302077,225272.005705136,734988.0383981568,MEX,2.0833955999999999e6
I00129,1873.4675598263568,4.897518729290562e6,28120.508925997365,4.925639238216559e6,MEX,2.3496998062480604e6
I00130,30.0893962421087,78658.09091587945,451.63799670089463,79109.72891258035,MEX,37738.069255256756
I00131,57933.950209407645,7.819481942780028e7,1.3008501656680675e6,7.949566959346835e7,MEX,7.621131667784207e7
I00132,9396.172160967122,1.2682235248651111e7,210981.85205839667,1.289321710070951e7,MEX,1.2360535567324482e7
I00133,24999.806604731235,3.3742828792459026e7,561346.1958986757,3.43041749883577e7,MEX,3.2886902604624934e7
I00134,11883.239240515295,1.6039088363053724e7,266826.5098240684,1.6305914872877793e7,MEX,1.5632238189247588e7
I00135,417.1737743169027,563069.2855365999,9367.228912769568,572436.5144493695,MEX,548786.3767141033
I00136,252.74327405070173,341133.55993419554,5675.102918615686,346808.6628528112,MEX,332480.309511931
I00137,182.01440988915127,245669.1432760033,4086.9554795148306,249756.09875551815,MEX,239437.45906938193
I00138,669.9989408499146,617376.2061746528,27187.197536972217,644563.403711625,MEX,3.7877166333949636e6
I00139,421.53191457406905,0.0,1154.3497496413147,1154.3497496413147,MEX,0.0
I00140,129.4877724285968,174772.7014395442,2907.5212307614443,177680.22267030567,MEX,170339.38812723395
I00141,43.603523476170395,113985.99979355827,654.4833214140265,114640.48311497229,MEX,54687.46449668252
I00142,0.4777187392223323,644.7882531010417,10.726706858652946,655.5149599596947,MEX,628.4324474028451
I00143,2018.8268011332586,316135.4869188316,5528.483447835986,321663.9703666676,MEX,0.0
I00144,105.73042709897248,16556.715035834997,289.53891231341703,16846.253948148413,MEX,0.0
I00145,1408.5573678986448,220571.15999439955,3857.2828978611647,224428.4428922607,MEX,0.0
I00146,2451.571754786954,383900.60503504775,6713.539695388293,390614.14473043603,MEX,0.0
