SECTOR_CODE,x,CO2,non_CO2,GHG6,ISO_COUNTRY,CO2_EDGAR
I00001,32276.395175452046,1.2686443096878778e6,1.944777164076775e7,1.944777164076775e7,NLD,1.2686443096878778e6
I00002,294.1483156164383,11561.687257283433,159.54646743754392,159.54646743754392,NLD,11561.687257283433
I00003,554.996821917808,21814.50425902534,301.03107063687526,301.03107063687526,NLD,21814.50425902534
I00004,13755.041234410955,1.458837774059472e6,4.823749926834033e6,6.282587700893505e6,NLD,1.8310189255137772e6
I00005,947.9345718356162,100536.43149183257,326879.79325717484,427416.2247490074,NLD,1144.2822859071603
I00006,63341.78728547943,2.654850149456133e6,84725.4110337922,2.7395755604899256e6,NLD,3.441859639774974e6
I00007,4590.933710904109,192420.22637607236,6140.792079834655,198561.018455907,NLD,249461.69228264777
I00008,4397.794816876711,184325.1781677946,5882.451213806793,190207.62938160138,NLD,238966.93056669494
I00009,3620.7992661917806,40837.23800406038,4843.148879211954,45680.38688327234,NLD,196746.62481286196
I00010,2802.7339506849307,6.411192243938658e6,3748.9119926456724,6.414941155931304e6,NLD,152294.6743263263
I00011,9254.572005479447,454136.48212653137,12378.833163834966,466515.31529036636,NLD,502873.998889404
I00012,2055.153231561643,100849.61878947802,2748.9546750033514,103598.57346448136,NLD,111672.70871888836
I00013,27875.27037764383,1.493189021879413e7,51525.88873327246,1.4983416107527403e7,NLD,1.2274097761280015e7
I00014,45274.42074476711,6.741401155243552e6,1.1812282988211082e7,1.8553684143454634e7,NLD,1.0411075894075807e7
I00015,6244.824240219176,851349.3890619207,1.6293003847130418e6,2.4806497737749624e6,NLD,1.4360280714933435e6
I00016,8954.318724821916,116563.02875372392,11977.217047395105,128540.24580111902,NLD,486558.866451673
I00017,2675.6396784657527,512740.3799344008,3578.911825058374,516319.2917594592,NLD,145388.63859944933
I00018,7757.745576767122,6.2601025830383245e6,13897.78739410254,6.274000370432427e6,NLD,558137.7545852012
I00019,20654.76172449315,157800.9316310905,37002.43637565605,194803.36800674655,NLD,1.4860248014481934e6
I00020,47409.49351868492,362205.20697341574,63414.51666292501,425619.72363634076,NLD,2.5761322702926276e6
I00021,2976.447955945204,39037.366511792236,3981.270300308661,43018.6368121009,NLD,161733.9283984332
I00022,27563.362163726026,210582.1546788069,36868.507960941526,247450.66263974842,NLD,1.4977351892559743e6
I00023,10458.360112219178,57264.65241462982,13989.009423646548,71253.66183827637,NLD,568285.3154465928
I00024,8340.492239780819,45668.28680147827,11156.16820306518,56824.45500454345,NLD,453204.8249061448
I00025,3510.9098954520537,35947.51872395152,4696.161834747827,40643.68055869935,NLD,190775.4672848198
I00026,3216.206583013698,24571.5928310987,4301.969306412213,28873.56213751091,NLD,174761.908459616
I00027,9765.724078465752,98169.53158161626,5296.942718926458,103466.47430054272,NLD,383848.01694180997
I00028,9059.213124164382,6.311283316685489e7,987472.9268106164,6.41003060936655e7,NLD,6.275861463899909e7
I00029,10821.88303057534,108786.52513695929,13981.023794061366,122767.54893102066,NLD,80879.39663052285
I00030,9437.16595989041,94866.7148791659,5.5870391449609175e6,5.681905859840084e6,NLD,77234.64937674363
I00031,46191.830491397246,873967.2891324351,4137.162573408463,878104.4517058436,NLD,2.509967019704121e6
I00032,8337.717255671232,157752.83356326012,746.7660712049327,158499.59963446506,NLD,453054.03809988126
I00033,39203.86550663013,741752.2903043044,3511.2868094105056,745263.577113715,NLD,2.1302556841708985e6
I00034,14280.068227945201,143549.78674670303,7745.529447486802,151295.31619418983,NLD,561287.1945847222
I00035,39529.09364427396,397364.55543129327,21440.63697504081,418805.1924063341,NLD,1.553716251344821e6
I00036,4487.704302027397,870398.639730534,2434.1372371697744,872832.7769677038,NLD,176392.08143847896
I00037,23753.863978082183,1.524090638592299e7,197327.2391714496,1.543823362509444e7,NLD,1.424637195424173e7
I00038,9725.764307287669,4.0910112327e7,22313.189950672277,4.0932425516950674e7,NLD,1.03854114e6
I00039,12466.338613917806,1.128009718e7,15792.782336407248,1.1295889962336406e7,NLD,30750.5
I00040,19560.307991671223,1.250420110954974e7,154924.89470378336,1.2659126004253523e7,NLD,1.1658505608742416e7
I00041,4992.751409972601,50189.424079803364,39544.443103939266,89733.86718374264,NLD,2.975823302015855e6
I00042,6987.409987945203,70240.64574974703,3789.98117931826,74030.62692906529,NLD,274644.60862112907
I00043,18962.02141764383,190614.9247566209,10285.027559379483,200899.9523160004,NLD,745314.35251386
I00044,6241.49425928767,306279.9926833567,8348.567182038265,314628.55986539496,NLD,339149.6846482902
I00045,5374.5892234520525,54027.83267994838,9622.813539537472,63650.64621948585,NLD,211251.65924440138
I00046,17097.232095999996,171869.20833730797,21337.795150536986,193207.00348784495,NLD,0.0
I00047,33222.10976,333963.8645416885,18019.71988832336,351983.58443001186,NLD,1.3058162249452574e6
I00048,5665.407558136985,56951.27178819839,3072.925169061223,60024.19695725961,NLD,222682.45947613072
I00049,63428.36678969862,637610.9960409524,34403.63693880594,672014.6329797583,NLD,2.4930924337469707e6
I00050,23806.03367934246,239309.15478869335,12912.426743898131,252221.5815325915,NLD,935711.3456866331
I00051,9216.277224767122,92646.24013664013,4998.921958995952,97645.16209563609,NLD,362251.65772537485
I00052,93278.31585972602,937676.3567243833,50594.29204193964,988270.648766323,NLD,3.66636373081439e6
I00053,17405.8103289863,174971.17807812284,9440.936437313685,184412.11451543652,NLD,684146.4825715529
I00054,55871.53006246575,561646.2118845937,30304.79788101424,591951.009765608,NLD,2.1960661437560814e6
I00055,15836.279316602737,159193.5334252011,8589.6205695526,167783.15399475372,NLD,622455.0645270292
I00056,4436.644594410957,44599.183647615384,2406.442378671181,47005.62602628656,NLD,174385.14704664858
I00057,9719.104345424652,97700.8886711334,5271.656108992959,102972.54478012637,NLD,382015.5985840517
I00058,2572.4102695890406,25859.0463105701,1395.279012401917,27254.325322972014,NLD,101110.22724058248
I00059,799.1954235616436,31412.886132996493,433.48474171710046,433.48474171710046,NLD,31412.886132996493
I00060,13949.290122082186,140224.65371518204,7566.114929387223,147790.76864456927,NLD,548285.750046343
I00061,24191.201473753415,243181.03788244427,13121.34230692012,256302.3801893644,NLD,950850.6116423965
I00062,12453.018690191777,29313.999527269385,15541.694721409753,44855.69424867914,NLD,0.0
I00063,2398.696264328767,24112.793560794817,1301.0562872925755,25413.849848087393,NLD,94282.28740750755
I00064,10862.39779857534,109193.79814249794,5891.780114504924,115085.57825700287,NLD,426953.47735764406
I00065,13599.08712745205,136704.2528042932,7376.164323815356,144080.41712810856,NLD,534520.797858898
I00066,82303.80870312326,827355.5839638192,44641.703651166055,871997.2876149853,NLD,3.235003723596422e6
I00067,45083.50183802738,453200.01076596114,24453.355929974656,477653.3666959358,NLD,1.7720358099691467e6
I00068,50374.841538191766,506390.98110576166,27323.386157426627,533714.3672631882,NLD,1.9800152935746943e6
I00069,39448.06410827397,396550.009420216,21396.686438727826,417946.69585894386,NLD,1.5505313337230035e6
I00070,9384.996258630135,94342.28114600654,5090.435404469562,99432.7165504761,NLD,368883.26702011854
I00071,6914.150407452053,69504.20689041687,3750.245077994193,73254.45196841106,NLD,271765.09405893774
I00072,7016.26982268493,70530.75802766497,3805.634794991378,74336.39282265634,NLD,275778.9628425984
I00073,1065.5938980821916,10711.837953893115,577.9796556228007,11289.817609515916,NLD,41883.84817732866
I00074,7405.87759167123,74447.27377955713,4016.9586065784642,78464.2323861356,NLD,291092.74483243417
I00075,590.5166185205478,1.6111334903999997e7,320.2970591576354,1.6111655201059155e7,NLD,23210.63253160297
I00076,5891.84626147945,59227.537353400665,3195.7458458810684,62423.28319928173,NLD,231582.77721381304
