SECTOR_CODE,x,CO2,non_CO2,GHG6,ISO_COUNTRY,CO2_EDGAR
I00001,2843.1013174733635,43752.0996816881,1.611700158463311e6,1.611700158463311e6,NZL,43752.0996816881
I00002,5998.32934475712,92307.47486995498,1.620561425476709e7,1.620561425476709e7,NZL,92307.47486995498
I00003,8237.979842134813,126773.1519146596,2.2208106683472022e7,2.2208106683472022e7,NZL,126773.1519146596
I00004,1072.3569121987389,16502.354744980363,2.890880672839416e6,2.890880672839416e6,NZL,16502.354744980363
I00005,3103.76691276147,47763.44709253839,3066.8956243848047,3066.8956243848047,NZL,47763.44709253839
I00006,863.1202648506196,13282.44042269631,852.8668028209157,852.8668028209157,NZL,13282.44042269631
I00007,2632.934933065884,40517.877762186574,2601.6569067440896,2601.6569067440896,NZL,40517.877762186574
I00008,599.0315607984345,118425.99023489028,349437.261753552,467863.25198844227,NZL,16634.625544804
I00009,2962.7357609823875,326308.2655095413,766009.455185642,1.0923177206951834e6,NZL,213042.17867448536
I00010,1191.5155522365733,33333.19351091142,8582.917111696768,41916.11062260819,NZL,154747.55577728062
I00011,614.984888223092,172108.3000645429,163433.08158000952,335541.38164455246,NZL,124092.76218698086
I00012,7762.83997405175,595288.307146518,25965.832375271653,621254.1395217897,NZL,468703.4413873598
I00013,1339.4951379847791,102718.30873588932,4480.461575488389,107198.77031137771,NZL,80875.81130020562
I00014,13939.346691397695,1.0689296858350046e6,46625.557247023215,1.1155552430820279e6,NZL,841627.5212149638
I00015,5453.501765350294,418198.2167309176,18241.354088280186,436439.57081919775,NZL,329270.60889773857
I00016,3431.7880245275055,263164.4205516703,11478.947510215905,274643.3680618862,NZL,207203.9179713288
I00017,1197.0480468999783,9584.255774885936,4003.991971346535,13588.247746232471,NZL,72275.16488339983
I00018,432.14649104870614,3460.0135835452656,1445.4817290631077,4905.495312608373,NZL,26092.06787915814
I00019,3541.932517335943,1.623628032554885e6,11847.368532275239,1.6354754010871602e6,NZL,213854.20356290913
I00020,2345.336565586432,165654.78088602255,7844.888768694669,173499.6696547172,NZL,141606.33520417896
I00021,1176.964507853881,83130.83952213463,3936.8147771603462,87067.65429929497,NZL,71062.56435348964
I00022,5720.45052872233,2.3242238921024334e6,22142.29010355616,2.3463661822059895e6,NZL,2.1236743832648364e6
I00023,1018.8127889967384,173353.5713111274,473034.3886992753,646387.9600104027,NZL,560806.6324917697
I00024,1219.7146628293106,207537.5329654264,566313.0519662653,773850.5849316916,NZL,671393.2923199001
