SECTOR_CODE,x,CO2,non_CO2,GHG6,ISO_COUNTRY,CO2_EDGAR
I00001,27197.859862537156,3.2127726232355544e6,3.461679715670482e7,3.461679715670482e7,POL,3.2127726232355544e6
I00002,3285.6812486961826,388124.1692486894,44355.00265411501,44355.00265411501,POL,388124.1692486894
I00003,157.48620428438636,18603.205113174634,2125.982552870078,2125.982552870078,POL,18603.205113174634
I00004,5909.151057842734,154129.5219669135,1.5365892637173397e7,1.5520022159140311e7,POL,3.4813848060198002e6
I00005,7289.935886768173,1.4333482778564994e6,2.3760927465669185e7,2.5194275743525684e7,POL,1.1601622697169576e6
I00006,51362.14735840748,3.3054332713895794e6,164397.84577514307,3.4698311171647226e6,POL,3.5838971730812956e6
I00007,5479.193954779858,352615.9035397375,17537.57833496322,370153.48187470075,POL,382321.78238718625
I00008,2363.988527690201,152135.50707068288,7566.557112137671,159702.06418282056,POL,164952.05588787934
I00009,3565.4244858949464,17409.670545739988,11412.06384275383,28821.734388493816,POL,248784.66717264458
I00010,2722.269834862193,13292.616671324788,8713.329163344293,22005.94583466908,POL,189951.8549613382
I00011,1348.719921009683,6585.686943068493,4316.92717247186,10902.614115540353,POL,94109.6461262694
I00012,10254.296559365068,9.20970832837837e6,32821.530076139476,9.242529858454509e6,POL,715514.1741757814
I00013,9942.783819822145,938504.1258354152,31824.452929909396,970328.5787653245,POL,693777.7460074615
I00014,4051.097786981939,382385.05997340276,12966.586941098052,395351.6469145008,POL,282673.49893547414
I00015,17071.04686485187,8.821904212232957e6,70074.45534178219,8.89197866757474e6,POL,9.21837258611015e6
I00016,16299.373461386564,2.6852576598464125e6,8.902462015121125e6,1.1587719674967537e7,POL,5.5140609346428355e6
I00017,4308.431605293821,685663.7059688775,2.353197734976785e6,3.0388614409456626e6,POL,1.4575378900674758e6
I00018,21114.07739904971,176081.30696024862,67581.06929820997,243662.3762584586,POL,1.4732772322512208e6
I00019,13183.66985257374,1.7279981823774674e6,42197.747458840306,1.7701959298363077e6,POL,919917.0896374513
I00020,11914.190021067267,1.1404895771707634e7,42437.41471995001,1.1447333186427584e7,POL,1.0877226140702926e6
I00021,25953.50436778986,423025.8639065321,92444.35638044905,515470.2202869812,POL,2.3694614208182907e6
I00022,9722.354995682665,158468.29634147338,31118.913428564018,189587.20977003739,POL,678396.8812981552
I00023,14731.463667906955,327200.2784228289,47151.8621528635,374352.1405756924,POL,1.0279175172787894e6
I00024,12062.04250025528,196603.73708455457,38607.68882681061,235211.4259113652,POL,841653.2844041061
I00025,33925.319122913534,200553.21086990682,108586.76414214037,309139.9750120472,POL,2.36720739987886e6
I00026,5894.160220385964,34843.968697753065,18865.785266401665,53709.753964154734,POL,411276.8884860823
I00027,10974.261513351736,183583.80421975534,35125.96424714642,218709.76846690176,POL,765751.1774168084
I00028,3401.5792321137965,55443.610732479865,10887.634702863254,66331.24543534312,POL,237352.0349317939
I00029,11164.538532324848,185396.82116188903,150715.51339002934,336112.3345519184,POL,1.3188215517324042e6
I00030,31571.95192511029,1.508617887357159e8,2.3806518746649814e6,1.532424406103809e8,POL,1.5030736013489583e8
I00031,2064.515754853806,34283.07019410953,5620.980357427922,39904.05055153745,POL,3096.326842772628
I00032,5398.323959063546,89643.8396190511,2.9729974732297244e6,3.0626413128487756e6,POL,54621.783984035574
I00033,3060.0816326916015,50815.302894455446,5.276346076937853e6,5.327161379832309e6,POL,30962.78014841309
I00034,89943.90389809552,225548.505,57010.652357805986,282559.157357806,POL,6.2760168625137275e6
I00035,19912.619146084842,330666.2680237756,268810.0908831171,599476.3589068927,POL,2.3521967527149995e6
I00036,55097.518961597496,914941.9691473785,743788.0959227475,1.658730065070126e6,POL,6.508445937389624e6
I00037,48464.284258249645,6.586796034054145e6,654242.8477374244,7.241038881791569e6,POL,5.724888886720124e6
I00038,41347.81169094417,3.1089313363421336e7,479474.7028249387,3.1568788066246275e7,POL,3.080691777819557e7
