SECTOR_CODE,x,CO2,non_CO2,GHG6,ISO_COUNTRY,CO2_EDGAR
I00001,7361.091568129751,149992.23314502416,6.850209184072414e6,6.850209184072414e6,PRT,149992.23314502416
I00002,1412.984168818849,28791.470520119095,2974.501285926764,2974.501285926764,PRT,28791.470520119095
I00003,558.2557632561095,11375.218990535976,1175.1953930732348,1175.1953930732348,PRT,11375.218990535976
I00004,1239.2213238382462,25847.11708510757,852112.9384164454,877960.055501553,PRT,72815.70905703974
I00005,13815.262829563611,465686.3091240693,38917.03834817066,504603.3474722399,PRT,693145.9599687437
I00006,3250.498726646355,109568.14745393029,9156.523850192425,118724.67130412272,PRT,163085.5734019818
I00007,861.6691958176438,29045.23442200038,2427.2873814107415,31472.52180341112,PRT,43232.07812104883
I00008,4038.374435028164,90105.68379597417,11375.937952910259,101481.62174888443,PRT,202615.24945372678
I00009,4358.99831903737,97259.56087566826,12279.122506346643,109538.6833820149,PRT,218701.74397881774
I00010,3264.010679272766,72827.79715080668,9194.58647592803,82022.38362673472,PRT,163763.5015376843
I00011,3476.1926242538075,856575.8545901496,9792.294459589855,866368.1490497395,PRT,174409.19534433365
I00012,4430.376460304217,290471.3097665096,12480.191852270249,302951.5016187799,PRT,222282.96214741602
I00013,1082.5978907121093,70978.9856648015,3049.634606902564,74028.62027170406,PRT,54316.6180387091
I00014,7850.738624260382,3.962404787430032e6,29869.181210536815,3.992273968640569e6,PRT,3.0000365549928127e6
I00015,4835.669549471561,149975.00558330328,2.3462518526596418e6,2.496226858242945e6,PRT,729270.7621071079
I00016,1305.273715601972,37994.39359012338,633314.7544777392,671309.1480678626,PRT,196849.25688097306
I00017,4124.5787613957245,94218.52658469143,11618.772064458648,105837.29864915008,PRT,206940.33405694083
I00018,4168.718768636492,695056.6938120077,11743.112685094657,706799.8064971024,PRT,209154.94756588238
I00019,2556.0900330437253,152982.02084372495,7200.402559440965,160182.4234031659,PRT,150166.11514903177
I00020,6417.562561066518,61791.56228715512,18078.01497314684,79869.57726030196,PRT,377021.32008772815
I00021,1881.700074807671,18117.96710539577,5300.673239045347,23418.64034444112,PRT,94409.55418775912
I00022,2798.4582551688754,39646.09158715409,7883.144068682332,47529.235655836426,PRT,140405.58313234473
I00023,2748.2920924357254,26461.956606904638,7741.828011003809,34203.784617908444,PRT,137888.62247407864
I00024,8518.059032978847,38660.14481126381,23995.028840786115,62655.173652049925,PRT,427372.1230152704
I00025,652.2011852957806,2960.086584513272,1837.2244416923622,4797.311026205634,PRT,32722.54912930065
I00026,1924.7389683537533,15337.89798832546,5421.91206680123,20759.81005512669,PRT,96568.92209490838
I00027,1019.4425823587941,9815.71262088843,2871.728649745023,12687.441270633451,PRT,51147.95976736563
I00028,1894.4095020295886,9166.923321432483,3987.959401250245,13154.882722682727,PRT,38601.16520364994
I00029,16316.816654898408,1.9116794443533693e7,216054.0882615762,1.9332848531795267e7,PRT,1.909140743373284e7
I00030,1633.4089265990133,7903.958656581225,3191.60058473065,11095.559241311876,PRT,8036.764049747751
I00031,2804.0015634261913,13568.379644193332,4.315033779232372e6,4.328602158876565e6,PRT,16093.93413235659
