SECTOR_CODE,x,CO2,non_CO2,GHG6,ISO_COUNTRY,CO2_EDGAR
I00001,12500.224143599351,774156.4641250761,1.6725498493184015e7,1.6725498493184015e7,ROU,774156.4641250761
I00002,1490.3940916585339,92302.20249627037,12931.206139055184,12931.206139055184,ROU,92302.20249627037
I00003,345.40869327988526,21391.64622936296,2996.8925937256186,2996.8925937256186,ROU,21391.64622936296
I00004,74.80082937283966,3239.776022314991,871045.643104,874285.419126315,ROU,12372.356354648
I00005,1848.1695226027825,496870.4378231759,3.5161327966668773e6,4.0130032344900533e6,ROU,54643.87254801517
I00006,60.857823659332325,400.3877523253637,4810.304325538264,5210.692077863628,ROU,11073.775877896993
I00007,607.1315822749161,3994.3598863072166,259.88242405503536,4254.242310362252,ROU,65154.94097005218
I00008,639.6587194599308,195465.3687432293,1.2675070462973753e6,1.4629724150406048e6,ROU,135305.6660850892
I00009,15583.672751239423,714253.4723369319,53266.00718691375,767519.4795238456,ROU,1.6723776325374087e6
I00010,3075.399981262668,140956.18860240065,10511.917191763603,151468.10579416426,ROU,330039.66535171197
I00011,127.82308928503473,5858.573060667517,436.90763411139164,6295.480694778908,ROU,13717.464352241512
I00012,1768.665429379351,41056.321381036294,6045.413489902347,47101.73487093864,ROU,189806.12277686264
I00013,3074.8673350233403,71377.40095653318,10510.096572268763,81887.49752880195,ROU,329982.50388079777
I00014,1286.1600652673633,29855.845039952797,4396.178768230622,34252.02380818342,ROU,138025.57069513155
I00015,3379.4387845165647,1.1494838786465696e6,11551.141599112294,1.1610350202456817e6,ROU,362667.8976113261
I00016,892.4342688663208,52306.67496036263,3050.3983841357826,55357.073344498414,ROU,95772.48788436015
I00017,965.3571491347595,56580.775057639396,3299.6535325513046,59880.4285901907,ROU,103598.28067453798
I00018,6904.021668443957,4.109259140038605e6,28566.814919393095,4.137825954957998e6,ROU,3.814954173328259e6
I00019,3115.560470182588,737050.275134533,2.7589879609435787e6,3.4960382360781115e6,ROU,2.551184171749594e6
I00020,655.659608116186,153497.0388974915,580620.0786606872,734117.1175581787,ROU,536888.4444035606
I00021,4188.401673572325,105577.51378221536,14316.229377214124,119893.74315942949,ROU,449482.5697881461
I00022,3080.298633567695,445575.2424738197,10528.661104001172,456103.90357782086,ROU,330565.3691877255
I00023,4209.534267859084,4.82185071946404e6,345315.2125088246,5.167165931972865e6,ROU,765972.8237003821
I00024,4354.347107651751,114823.52837110504,357194.4545733971,472017.98294450215,ROU,792323.1733461813
I00025,2285.124857402985,60258.42506548147,7810.705410747405,68069.13047622888,ROU,245230.4896335842
I00026,5487.541040165872,200290.8419303869,18756.772241685576,219047.61417207247,ROU,588901.0273572751
I00027,3586.5799586134017,94577.61530067235,12259.163606778638,106836.778907451,ROU,384897.4626097014
I00028,13840.740586087675,140197.51178444258,47308.55166809889,187506.06345254148,ROU,1.4853331010871476e6
I00029,2040.4073140425226,20667.971245922992,6974.244928582471,27642.216174505462,ROU,218968.37849081837
I00030,2472.249611999021,69533.94054979434,8450.309994485164,77984.2505442795,ROU,265311.9722902046
I00031,580.4988460818499,15307.673934708264,1984.1828175538221,17291.856752262087,ROU,62296.82189802463
I00032,2357.1904597178423,29653.457553237073,20451.84955725743,50105.3071104945,ROU,145984.12081265924
I00033,14062.05893299331,2.973147662774297e7,267637.14046877885,2.999911376821175e7,ROU,2.9510498871979717e7
I00034,831.7958914644278,10463.992868633066,4728.227791844998,15192.220660478064,ROU,22319.85390966412
I00035,459.0494326240353,5774.842168156327,1.1742194112917176e6,1.1799942534598738e6,ROU,12475.066414594401
I00036,1831.718794926218,23043.023660172516,4.685420811295918e6,4.708463834956091e6,ROU,49778.546700177205
I00037,158.58975649042952,1995.0592422769596,2.306139421676769e6,2.308134480919046e6,ROU,4309.8141600641065
I00038,16236.700819353924,597185.3395672782,6950.113106913582,604135.4526741918,ROU,1.742458001393136e6
I00039,5439.654420024182,200070.31650658007,2328.441836941775,202398.75834352185,ROU,583762.0261923278
I00040,5355.386495570363,196970.9449261418,2292.3709865421183,199263.3159126839,ROU,574718.7284892423
I00041,4191.894283109389,52734.03287349158,36370.413296320105,89104.44616981168,ROU,259609.90930388693
I00042,18888.904094906233,237622.42609471403,163887.0644745135,401509.4905692275,ROU,1.1698163998761466e6
I00043,14736.812230235886,2.2201625669705234e6,127861.99156873091,2.3480245585392546e6,ROU,912671.5103325791
I00044,18581.579364604877,1.2255791984776065e7,197356.98189084494,1.2453148966666909e7,ROU,1.1838612410706593e7
I00045,754.7198911019034,273565.344,3581.3563436308095,277146.7003436308,ROU,135210.27000000002
I00046,649.8170879716772,814186.0700000001,2688.1887402980446,816874.2587402981,ROU,97881.91
I00047,4495.472310261272,2.885173596143777e6,38976.79543199632,2.9241503915757732e6,ROU,2.7796933033635686e6
I00048,880.126102736102,11071.986958620655,7630.8012771669755,18702.78823578763,ROU,544109.3519482462
I00049,2225.7371647629316,27999.775015150954,19311.31252464725,47311.0875397982,ROU,137843.03335288016
I00050,2227.6456228699512,28023.78341940837,19327.871007620135,47351.65442702851,ROU,137961.22684789982
