SECTOR_CODE,x,CO2,non_CO2,GHG6,ISO_COUNTRY,CO2_EDGAR
I00001,94042.28030999999,1.4059310780579995e6,7.444982466714449e7,7.58557557452025e7,RUS,3.3087560085524064e7
I00002,4153.76484,1.353483794571743e7,58418.20689314622,1.3593256152610576e7,RUS,1.4614484386340724e6
I00003,5982.87267,708740.0560666443,20197.94726106239,20197.94726106239,RUS,708740.0560666443
I00004,13242.426930000003,1.227565117515596e6,7.55218958542972e7,7.67494609718128e7,RUS,4.3734413939627e7
I00005,147336.62705999997,2.0188376926271986e7,1.2418780868414964e8,1.4437618561042163e8,RUS,2.8484220453799546e7
I00006,45.25878,857.5903218522748,553.6107956772408,1411.2011175295156,RUS,12816.661458476525
I00007,8923.429800000002,169086.4630952973,109152.45774959032,278238.9208448876,RUS,2.5269920840791753e6
I00008,10612.98699,201101.19911690292,7265.437255696837,208366.63637259975,RUS,2.47681188330486e6
I00009,104438.83581000002,1.5613594708407146e6,2.0379640279296473e7,2.1940999750137188e7,RUS,3.67454536803496e7
I00010,4436.574780000001,66326.74519130166,47417.91736219537,113744.66255349702,RUS,1.035388166086374e6
I00011,3675.7251300000003,5424.105083788448,39285.98955351877,44710.094637307215,RUS,857824.4456838161
I00012,3508.9338900000002,5177.978624159683,37503.332069481476,42681.31069364116,RUS,818899.4450546432
I00013,1234.9837799999996,1822.410969966699,13199.45266958661,15021.863639553309,RUS,288215.0430293474
I00014,9713.66976,500125.7907371135,103819.27788971835,603945.0686268319,RUS,2.266933212557068e6
I00015,11166.47988,477030.72372422926,119346.8489618149,596377.5726860442,RUS,2.605983601744585e6
I00016,7729.421789999999,330200.00126069516,82611.72230162928,412811.7235623244,RUS,1.8038582124510377e6
I00017,117865.94088,4.26434985495951e7,2.3416998041918002e7,6.6060496591513105e7,RUS,8.923432590824546e7
I00018,44094.72024,9.480272832897773e6,8.251326378620161e6,1.7731599211517934e7,RUS,3.118698737058035e7
I00019,14891.221680000002,3.019521593487869e6,2.7791681571104606e6,5.79868975059833e6,RUS,6.544536856202995e6
I00020,23209.43427,8.939301956551306e6,4.331607040298406e6,1.3270908996849712e7,RUS,1.0200304666449359e7
I00021,83963.84907000001,1.6568919562388602e8,1.8669778060869891e6,1.67556173429973e8,RUS,2.3777402490319207e7
I00022,20046.45600000001,2.9126258126541324e7,445742.88645935437,2.957200101300068e7,RUS,5.676879491542759e6
I00023,27906.567030000002,1.3622751435792581e6,620516.3515747444,1.9827914951540027e6,RUS,7.9027543847137e6
I00024,1554.25674,21177.79763078108,16611.828113253432,37789.62574403451,RUS,362725.55190785846
I00025,13093.785150000005,639180.6640364182,139945.80346080428,779126.4674972225,RUS,3.055769566807009e6
I00026,8061.2484,431130.7243114877,113372.73413105495,544503.4584425427,RUS,2.8362459940369218e6
I00027,11957.35983,487342.89640565554,127799.73930451236,615142.6357101679,RUS,2.79055566051308e6
I00028,24858.311070000003,539040.5536491266,265684.54236243176,804725.0960115583,RUS,5.80132250374734e6
I00029,50646.13377,408149.3486015862,541303.6644049425,949453.0130065287,RUS,1.181957031353937e7
I00030,8689.308330000005,2.345087380261519e6,222545.84773588076,2.5676332279974e6,RUS,3.490040594404078e6
I00031,6697.314840000002,85224.33409813297,22609.876457399274,107834.21055553225,RUS,793373.9454290561
I00032,114120.19428000003,1.9131394807090008e8,1.9709375857189447e6,1.93284885656619e8,RUS,2.1319876738132596e8
I00033,5152.19847,65562.49694648809,55372.576991028094,120935.07393751618,RUS,38205.298097865416
I00034,163550.26499999993,8.31249444825197e6,1.8696982313975599e6,1.018219267964953e7,RUS,3.938141689636002e7
I00035,21475.323930000006,273276.71241388883,72499.86487717967,345776.5772910685,RUS,2.5439990328588346e6
I00036,195530.04017999995,3.248534226003968e8,3.903189940608702e6,3.287566125410055e8,RUS,3.428190749267198e8
I00037,114437.82623999998,2.1210402917670083e8,2.2844191705473955e6,2.1438844834724823e8,RUS,2.0064164919163316e8
I00038,23602.76556,300348.72568800213,79682.02572429135,380030.75141229347,RUS,2.7960189542730586e6
I00039,103393.73214,1.696263941695051e8,3.280657091041303e6,1.729070512605464e8,RUS,1.2697424686144122e8
I00040,3775.7604899999997,2.8854764599944935e6,38899.6447353711,2.9243761047298647e6,RUS,115946.920750001
I00041,17011.344450000004,7.409199964503659e6,188975.66651276962,7.598175631016429e6,RUS,2.471498833972587e6
I00042,54906.76052999999,1.1730382503480956e8,1.3678617847190022e6,1.1867168681952856e8,RUS,6.79511541535601e7
I00043,32663.84244,852944.1584733349,904144.8622043867,1.7570890206777216e6,RUS,3.4339320365725584e7
I00044,52928.23965,673519.7742559236,178683.6946124697,852203.4688683932,RUS,6.269958530982708e6
I00045,11015.376600000001,140172.31651829524,37187.486329629806,177359.80284792505,RUS,1.3048980079797024e6
I00046,799.31469,10171.399108079793,2698.4555487142657,12869.85465679406,RUS,94688.01518142495
I00047,159445.20504000003,2.0289641071546627e6,538280.8593897753,2.567244966544438e6,RUS,1.8888117764272463e7
I00048,16811.78244,908380.2660881969,230125.72779525048,1.1385059938834473e6,RUS,6.598519244883914e6
I00049,19849.060110000002,252582.2618111475,67009.66097669554,319591.92278784304,RUS,2.3513493853499633e6
I00050,35878.47939,456559.02216272947,121124.36190729325,577683.3840700227,RUS,4.250218397921302e6
I00051,73950.20451000003,1.6250767458688977e8,7.318296448771e7,2.3569063907459977e8,RUS,2.0496110988478467e8
I00052,138909.35361,1.7676423229663083e6,468952.6174193251,2.2365949403856336e6,RUS,1.6455410050659278e7
I00053,39088.50513,497407.0803270917,131961.28493396577,629368.3652610574,RUS,4.630482854216838e6
I00054,71064.88344,904311.2820025997,239912.30417321686,1.1442235861758166e6,RUS,8.41845251465717e6
I00055,4436.80452,56459.001819987054,1.0414088986298291e8,1.041973488648029e8,RUS,32900.40946123658
I00056,3772.9543800000006,48011.40939316123,12737.348392479555,60748.75778564079,RUS,446949.8259968972
I00057,23419.055610000003,298010.9890681793,79061.828022268,377072.8170904473,RUS,2.7742563984834505e6
I00058,5013.96063,71202.27978732472,70515.92969751022,141718.20948483492,RUS,1.7640972024998434e6
I00059,7919.26908,1.30262573988e8,26735.146817691188,1.3028930913481769e8,RUS,938128.4746222157
