SECTOR_CODE,x,CO2,non_CO2,GHG6,ISO_COUNTRY,CO2_EDGAR
I00001,1979.6783559380826,30211.62162135796,1.6134549540974435e6,1.6134549540974435e6,SEN,30211.62162135796
I00002,921.4093325326029,134292.76314143534,6.994474638192571e6,6.994474638192571e6,SEN,134292.76314143534
I00003,107.39216377205481,15652.099347687566,2630.563415787049,2630.563415787049,SEN,15652.099347687566
I00004,335.4346786846576,5119.026310867855,5834.90432082688,5834.90432082688,SEN,5119.026310867855
I00005,883.5993850454796,115509.39201999508,891557.7114390419,891557.7114390419,SEN,115509.39201999508
I00006,3859.7790100400002,562551.702128809,1.669912145765822e6,1.669912145765822e6,SEN,562551.702128809
I00007,716.358392830685,290227.9798878108,123241.5280848969,413469.50797270774,SEN,112215.5803666714
I00008,346.87547061808226,49241.24525113597,59676.0832035708,108917.32845470677,SEN,54254.135493508475
I00009,622.8691349194522,134076.3732933471,107142.4596622728,241218.8329556199,SEN,81275.85971901103
I00010,2004.6548518613704,714313.2556771212,379700.5780140317,1.094013833691153e6,SEN,292652.10879436467
I00011,637.2729244383563,405791.8328664305,7585.200322453473,413377.033188884,SEN,491214.8131391919
I00012,340.54335356219184,272.692386539427,2103.3389901795067,2376.0313767189336,SEN,1484.456233391672
I00013,1831.4523288106855,1466.547801190223,13050.379933046952,14516.927734237175,SEN,246962.80247477366
I00014,3201.880170370685,2.722664424363317e6,90768.07610464552,2.8134325004679626e6,SEN,2.0990957104700548e6
I00015,1541.6555969452058,3.973687214114143e6,76194.54943981128,4.049881763553954e6,SEN,2.741467467560061e6
I00016,613.6197089901372,491.36011941454785,10673.947921458153,11165.308040872702,SEN,9364.372960795065
I00017,1607.1630569846577,1286.9466544649792,37841.697989624416,39128.64464408939,SEN,24526.71264289161
I00018,763.7781994200002,611.6005430967534,13285.96295834624,13897.563501442994,SEN,11655.922738310139
I00019,1479.4884894093154,1184.7103836104047,25735.782040543378,26920.49242415378,SEN,22578.28717534693
I00020,950.528271682192,761.1419226564847,22380.805501517036,23141.94742417352,SEN,14505.892029545375
I00021,433.1036076616439,511274.8819111683,168316.8567120423,679591.7386232106,SEN,351779.7645193171
I00022,1455.3479276991782,1165.379666048955,25315.855668046603,26481.235334095556,SEN,22209.881108812897
I00023,970.6059223684933,777.2192368206931,16883.74235024233,17660.961587063022,SEN,14812.294523546936
I00024,477.5384183967124,382.39210841940934,8306.806534703288,8689.198643122698,SEN,7287.653553916227
I00025,110.19271260356166,88.23755761138578,1916.808176827201,2005.0457344385866,SEN,1681.6370844405847
I00026,93.19989606821919,337968.285,1621.2172170197907,339589.5022170198,SEN,1422.3118552148235
I00027,217.4833459043836,174.15125565331374,2.5080559265831476e6,2.508230077838801e6,SEN,32645.600497781626
