SECTOR_CODE,x,CO2,non_CO2,GHG6,ISO_COUNTRY,CO2_EDGAR
I00001,223.16539566801532,345.78220214149434,17229.55509979337,17229.55509979337,SGP,345.78220214149434
I00002,7026.720496650092,313466.42527531757,9477.961343244217,9477.961343244217,SGP,313466.42527531757
I00003,1793.3548785251262,80002.69020083045,2418.958918528617,2418.958918528617,SGP,80002.69020083045
I00004,443.2686893137899,19774.495305727873,597.9010413164355,597.9010413164355,SGP,19774.495305727873
I00005,282.1755434354843,14207.53095691938,380.6112529971075,14588.142209916487,SGP,12588.028646224097
I00006,2596.1748842289558,130717.33499006373,3501.8391872502125,134219.17417731395,SGP,115816.99609893242
I00007,24281.985481457163,1.449314111003333e7,461474.37272628944,1.495461548275962e7,SGP,5.944074636687963e6
I00008,1125.3989492896421,113485.31435554856,90388.27904603112,203873.59340157968,SGP,273301.67752603407
I00009,33380.05369374271,5.046731913063622e6,2.680974253393403e6,7.727706166457025e6,SGP,8.106302814808339e6
I00010,12507.317319367517,1.2612388154697944e6,1.0045458889879329e6,2.2657847044577273e6,SGP,3.037385814951394e6
I00011,1450.3773267040199,73026.45905268785,1956.3351412898992,74982.79419397775,SGP,64702.24568047457
I00012,1613.1426089634006,75397.78263110868,30199.62095834722,30199.62095834722,SGP,75397.78263110868
I00013,973.5828670000265,49019.87094140832,1313.213010574459,50333.08395198278,SGP,45503.11544573988
I00014,6838.422947318616,344314.40987992915,9223.97701379178,353538.38689372095,SGP,319612.80275757704
I00015,20513.973163700168,915141.2581281022,27670.18337140235,27670.18337140235,SGP,915141.2581281022
I00016,20528.501900016494,1.0336095137541454e6,27689.780394115573,1.061299294148261e6,SGP,915789.394202252
I00017,13054.14365276756,582353.5670465837,17608.02482026616,17608.02482026616,SGP,582353.5670465837
I00018,13054.14365276756,582353.5670465837,17608.02482026616,17608.02482026616,SGP,582353.5670465837
I00019,843.3921478867812,37624.254704506755,1137.6058260290124,1137.6058260290124,SGP,37624.254704506755
I00020,8304.456274075123,418129.1481105327,11201.429682576623,429330.57779310935,SGP,370467.0227498791
I00021,1558.9423187374389,78492.70345634279,2102.7725580354368,80595.47601437822,SGP,69545.39832600576
I00022,640.3614212773043,32242.180189135775,863.7487145624609,33105.92890369824,SGP,28566.926165302124
I00023,23861.349403696062,1.2014182951485727e6,32185.277236186128,1.2336035723847589e6,SGP,1.0644698196531099e6
I00024,1860.0301431318599,82977.11573270163,2508.893558848304,2508.893558848304,SGP,82977.11573270163
I00025,8170.74766386079,364502.1974672456,11021.077405938539,11021.077405938539,SGP,364502.1974672456
I00026,6429.964025349759,286844.7433815226,8673.028975575424,8673.028975575424,SGP,286844.7433815226
I00027,6782.586911057193,302575.4723191077,9148.662819425,9148.662819425,SGP,302575.4723191077
I00028,2558.7423918947547,128832.61001653176,3451.348532969317,132283.95854950108,SGP,114147.10904895773
I00029,7025.4528753508885,1.9965803986072026e7,1.4243971356166054e6,2.139020112168863e7,SGP,1.795598217646473e7
I00030,788.9317758606985,3267.850324803188,159954.40887172337,163222.25919652655,SGP,2.016388858788529e6
I00031,1506.8702814845085,1509.8778286733557,274338.1493288673,275848.02715754067,SGP,5520.389788897722
I00032,2152.5750427700573,2156.8713455760876,4.616535483331058e6,4.618692354676634e6,SGP,7885.916546338141
I00033,35669.733366560715,7497.5195545971355,2890.3031107637958,10387.82266536093,SGP,1.591249262621168e6
I00034,20538.95924807491,4317.140445402863,1664.2630096644764,5981.40345506734,SGP,916255.9030829303
I00035,105687.90173064245,105898.84314720023,460.2786440039406,106359.12179120416,SGP,163757.4467615954
I00036,10990.196823671846,11012.132046609117,47.86312159199059,11059.995168201107,SGP,17028.690529202708
I00037,7454.287697979375,3.251527575076365e6,58179.496224712355,3.3097070713010775e6,SGP,2.971717012911053e6
I00038,54180.182667710855,1.4088417954e8,70828.1410232063,1.409550076810232e8,SGP,218180.03999999998
I00039,13575.65253130568,2.20863214e7,17211.430530516514,2.2103532830530517e7,SGP,0.0
I00040,8596.559576869264,3.7497815549236345e6,67094.74140413894,3.8168762963277735e6,SGP,3.427093691864175e6
I00041,1511.313688245658,1514.3301039852213,11795.556139251075,13309.886243236297,SGP,602498.4252247732
I00042,4703.921679163801,4713.310188975534,20.48592749531818,4733.796116470852,SGP,7288.4615110401455
I00043,10247.921109925981,10268.37483225656,44.630455852531156,10313.005288109092,SGP,15878.57614822128
I00044,8184.2865463860035,412078.6055814348,11039.339268676053,423117.94485011086,SGP,365106.17554057646
I00045,1461.865795205475,1464.7835183943025,1859.7434909691328,3324.5270093634354,SGP,2265.078653383374
I00046,10236.454730364318,10256.885567063639,12977.94187529176,23234.8274423554,SGP,0.0
I00047,19471.882596239895,19510.746330221158,84.80149166404262,19595.5478218852,SGP,30170.584573894426
I00048,36357.910100802816,36430.47648668197,158.3413927798959,36588.817879461865,SGP,56334.5324318125
I00049,11114.197217482624,11136.379931554604,48.4031524960447,11184.783084050649,SGP,17220.82215028113
I00050,3486.479828118897,3493.438458025448,15.183878015892017,3508.62233604134,SGP,5402.1039824752515
I00051,18355.554450059986,18392.19011595926,79.93979986230114,18472.129915821562,SGP,28440.897031866847
I00052,24543.279735113098,24592.2654194679,106.8878020180426,24699.153221485944,SGP,38028.42859744696
I00053,16373.80260377916,16406.482911166484,71.30912371468321,16477.792034881168,SGP,25370.284245087165
I00054,2040.920073709655,2044.9935254896586,8.888358162712407,2053.881883652371,SGP,3162.2906202354843
I00055,1496.2627868600819,1499.2491626574495,6.516335316834465,1505.765497974284,SGP,2318.374853207589
I00056,1836.4885917215377,1840.154020769578,7.998043909326816,1848.1520646789047,SGP,2845.5355614267332
I00057,17556.369694321857,17591.4102754318,76.45929102773967,17667.86956645954,SGP,27202.605297927345
I00058,11501.894501128314,11524.851016296432,50.09160289650061,11574.942619192932,SGP,17821.53723920428
I00059,3672.7902462376433,3680.120731227642,15.995273693271054,3696.116004920913,SGP,5690.7814741901375
I00060,130.11326226260076,130.3729540097657,0.5666528991538806,130.9396069089196,SGP,201.60316620012648
I00061,12697.352944386326,12722.695462997863,55.2979130059417,12777.993376003804,SGP,19673.83271647143
I00062,2786.2463173478523,2791.807358256377,12.134309185911462,2803.9416674422887,SGP,4317.131625345673
I00063,6970.703909688896,6984.616667280225,8867.92841451966,15852.545081799884,SGP,10800.712812815396
I00064,27277.455179699078,27331.897977232908,118.79533869438131,27450.69331592729,SGP,42264.87934035952
I00065,13098.267055998529,13124.40975503977,57.04392367162044,13181.45367871139,SGP,20295.026535378256
I00066,10928.719628813655,10950.532150038081,47.59538385263598,10998.127533890718,SGP,16933.435080857253
I00067,2056.7703982077333,2060.8754854904555,8.957387500484591,2069.83287299094,SGP,3186.849804660995
I00068,8213.196601728561,8229.589237945822,35.769079836744865,8265.358317782568,SGP,12725.885207541489
I00069,1174.6542282304774,1176.9987087510578,5.115706211306699,1182.1144149623644,SGP,1820.060518686258
I00070,1376.6010865909413,1379.348630808259,5.995199744671647,1385.3438305529307,SGP,2132.965793226749
I00071,3555.8850964537755,201823.02225163503,15.486143102744863,201838.5083947378,SGP,5509.643533816613
