SECTOR_CODE,x,CO2,non_CO2,GHG6,ISO_COUNTRY,CO2_EDGAR
I00001,6299.841121342468,36858.83908682393,7.087728425056543e6,7.087728425056543e6,SWE,36858.83908682393
I00002,5243.304031005482,30677.297385706617,5611.059102092996,5611.059102092996,SWE,30677.297385706617
I00003,193.1113038136987,1129.8472986885588,206.65575228394897,206.65575228394897,SWE,1129.8472986885588
I00004,4168.736892646577,261834.8065506085,448018.49897107267,709853.3055216812,SWE,883620.1932887263
I00005,18496.81275195891,328265.697,50942.18917216317,379207.8861721632,SWE,484287.07109361736
I00006,1372.774643142466,3285.3044459599414,3780.7673408115197,7066.071786771461,SWE,35942.24692189972
I00007,10746.145858536993,1.0860223256668379e6,29596.0283827425,1.1156183540495804e6,SWE,281357.63567290973
I00008,15140.6142076685,251623.4007560521,41698.861500779676,293322.2622568318,SWE,396414.44218078314
I00009,2517.564073797261,41839.652287638375,6933.639163689941,48773.29145132832,SWE,65915.34162882568
I00010,10637.135239246578,2.7834569703279343e6,32499.22282282205,2.8159561931507564e6,SWE,3.2705083808958232e6
I00011,19325.483248545213,354557.05523087824,4.515786912036501e6,4.870343967267379e6,SWE,1.7908813760878257e6
I00012,5384.578946756166,18118.245468203342,14829.702987021356,32947.9484552247,SWE,140980.0705757121
I00013,5305.104392975346,402484.59439147875,14610.821615005138,417095.4160064839,SWE,138899.25268599705
I00014,15108.231292471239,4.275241777853752e6,90975.27081603241,4.366217048669784e6,SWE,712354.527563828
I00015,15119.737309958911,46904.05367059141,91044.55510462263,137948.60877521406,SWE,712897.0373714226
I00016,6467.805252915071,20064.256309125387,17813.023418740944,37877.279727866335,SWE,169341.3078426946
I00017,8015.5425331123315,35578.02865990151,22075.656466603097,57653.685126504606,SWE,209864.4598203104
I00018,22025.36432109042,68326.50918811245,60660.19540106841,128986.70458918087,SWE,576672.2796986249
I00019,32971.857226397275,44065.445985399965,90808.00085446076,134873.44683986073,SWE,863275.4398726224
I00020,5615.055152720551,7504.275777924841,15464.458965868394,22968.734743793237,SWE,147014.4424558859
I00021,5679.109270693153,26712.017679453616,15640.87081794117,42352.888497394786,SWE,148691.51956102942
I00022,3146.9550922465764,5417.687788778764,3367.6763563225836,8785.364145101348,SWE,18412.069308481245
I00023,15915.550416400007,6.287292916782195e6,776186.0103111278,7.063478927093322e6,SWE,7.779661493367008e6
I00024,2582.8043791397267,4446.4656582310145,3302.9349740087987,7749.400632239813,SWE,0.0
I00025,5227.527738986305,8999.52886737581,7.783969662675759e6,7.792969191543135e6,SWE,41095.880132991864
I00026,54681.69570710414,601825.265,80671.43651773257,682496.7015177326,SWE,1.4316865619792442e6
I00027,74899.4290952603,1.1070016197887298e6,80152.72829524196,1.1871543480839718e6,SWE,438218.35369220935
I00028,24275.324524246582,7.6037177550829165e6,142876.56359225584,7.7465943186751725e6,SWE,7.611179506056766e6
I00029,4241.806034630138,6.187042098e6,9607.014381627981,6.196649112381628e6,SWE,434163.258
I00030,3343.862195643837,2.73424332e6,8237.860847922057,2.742481180847922e6,SWE,520603.32000000007
I00031,31593.0330276685,9.899926274303248e6,179714.7203792656,1.0079640994682513e7,SWE,9.845536813943235e6
