SECTOR_CODE,x,CO2,non_CO2,GHG6,ISO_COUNTRY,CO2_EDGAR
I00001,111995.28453716855,8.893502030941416e6,5.882379158936162e7,5.882379158936162e7,TUR,8.893502030941416e6
I00002,2408.1758303668707,191232.30702739066,11547.262524438156,11547.262524438156,TUR,191232.30702739066
I00003,2224.041270671637,176610.2531848239,10664.332767478187,10664.332767478187,TUR,176610.2531848239
I00004,17212.51879817721,544297.8443210141,7.611985651309685e6,8.156283495630699e6,TUR,4.193368969215783e6
I00005,100354.77194966841,5.042870842e6,535776.1203394472,5.578646962339448e6,TUR,6.265121806077316e6
I00006,95784.89329082887,4.026758385018325e6,511378.35817340825,4.538136743191733e6,TUR,5.979825493003312e6
I00007,8145.749195567668,8.716676161868712e6,43488.69332739128,8.760164855196103e6,TUR,508536.9626227962
I00008,12179.506299589533,662476.3980545396,65024.19871091639,727500.596765456,TUR,760363.3491697308
I00009,6114.587610095179,332589.0127140282,32644.686082845226,365233.6987968734,TUR,381732.08335713897
I00010,22364.75745255133,1.6796151168673955e7,133890.02982840175,1.6930041198502358e7,TUR,1.5693468808265995e7
I00011,26040.07848691572,3.7888572352025015e6,1.467101352687792e7,1.845987076208042e7,TUR,3.61877093116726e6
I00012,5845.701339440529,772885.5589805767,3.293475611761812e6,4.066361170742389e6,TUR,812372.900107894
I00013,27996.746111166543,1.5153350151323592e6,149469.60390774798,1.6648046190401071e6,TUR,1.7478294370321608e6
I00014,34994.93977437639,5.279802434810653e6,186831.70415883686,5.46663413896949e6,TUR,2.184724812017595e6
I00015,64004.04955801853,1.98918577620046e7,386004.5464767015,2.0277862308481302e7,TUR,5.142211262028454e6
I00016,33458.464501423805,565258.0540783948,201785.97299490537,767044.0270733002,TUR,2.6881188636890864e6
I00017,6144.059745042385,103799.72026140847,32802.03252301306,136601.75278442152,TUR,383572.0209280399
I00018,27399.007685808952,633567.6366097191,146278.3857096087,779846.0223193278,TUR,1.7105127856135678e6
