SECTOR_CODE,x,CO2,non_CO2,GHG6,ISO_COUNTRY,CO2_EDGAR
C00001,1200.564678834592,0.0,0.0,0.0,TWN,0.0
C00002,383.3584277351178,0.0,0.0,0.0,TWN,0.0
C00003,1017.3540590357061,23013.942072524263,395765.97692117124,418779.9189936955,TWN,30330.83478888704
C00004,2658.0106711033095,10072.473808688486,841.9526645675953,10914.426473256082,TWN,163109.09196062468
C00005,3060.422781356074,11597.40577562358,969.4209069508913,12566.82668257447,TWN,187803.15154844493
C00006,777.4527584946236,0.0,0.0,0.0,TWN,0.0
C00007,2826.9179265270327,93722.66451639844,17996.899028793887,111719.56354519233,TWN,173474.10266477248
C00008,3040.178432444068,3.0431475234161e6,72940.00785325278,3.116087531269353e6,TWN,2.498099449122205e6
C00009,1503.3438533988858,13421.276970384408,354.1651803172601,13775.442150701669,TWN,30882.811260785165
C00010,48.22806170950819,73096.95096912522,11.361805306937887,73108.31277443215,TWN,990.7368323493257
C00011,2940.824953761706,26254.556558446384,692.814087526095,26947.370645972478,TWN,60412.620700643056
C00012,92.728857810896,2097.653755010379,36072.91549521956,38170.56925022994,TWN,2764.567203958806
C00013,787.1423205423802,17806.237274921878,249.33555812230165,18055.572833044178,TWN,48303.06760738224
C00014,470.68388420703786,17186.266058064328,406002.1546855542,423188.4207436185,TWN,3.424263443669168e6
C00015,3082.176672752872,102185.42518338097,19621.942981763073,121807.36816514404,TWN,189138.0812802616
C00016,2622.126003838899,86933.06355711335,16693.140076351,103626.20363346435,TWN,160907.02574755807
C00017,661.5796059065348,21933.78268022254,4211.788837335141,26145.57151755768,TWN,40597.89900478118
C00018,911.2882284317087,30212.536455197074,5801.499250939463,36014.035706136536,TWN,55921.293721595124
C00019,1256.4044840668755,41654.40207942747,7998.599615113096,49653.001694540566,TWN,77099.38743260979
C00020,1098.9876308573364,36435.457877283625,6996.4427480677905,43431.900625351416,TWN,67439.4864151135
C00021,1634.9577613085826,54204.82721613984,10408.568805802606,64613.39602194245,TWN,100329.34733490905
C00022,679.0600085532268,22513.32193656034,4323.07365337565,26836.39558993599,TWN,41670.58566996471
C00023,2375.5043265061568,78756.65330118331,15123.081963372137,93879.73526455545,TWN,145773.06173271372
C00024,2364.883539002668,78404.53536569295,15055.467251776536,93460.0026174695,TWN,145121.31604017978
C00025,308.573203852432,10230.329855717217,1964.4577370331192,12194.787592750336,TWN,18935.62566581385
C00026,766.5897892729303,25415.254177538063,4880.311134818997,30295.56531235706,TWN,47041.85946051622
C00027,4127.666337811047,136847.22990510077,26277.80368473548,163125.03358983627,TWN,253294.65964759825
C00028,1492.1419186326339,49469.95989468608,9499.36579137028,58969.325686056356,TWN,91565.43879619874
C00029,1661.837837122721,55096.00000331689,10579.694400137667,65675.69440345456,TWN,101978.84588867407
C00030,1613.846509150406,53504.91202405902,10274.169051958717,63779.08107601774,TWN,99033.85322455523
C00031,1680.5651367214189,207064.58613639526,10698.917288357063,217763.50342475233,TWN,103128.04851062979
C00032,5018.990977267252,618396.3161092392,31952.209505875275,650348.5256151145,TWN,307990.8857253837
