SECTOR_CODE,x,CO2,non_CO2,GHG6,ISO_COUNTRY,CO2_EDGAR
1111A0,37405.72727272728,902957.88858883,1.547767580566071e7,1.547767580566071e7,USA,902957.88858883
1111B0,37405.72727272728,902957.88858883,2.341351434155423e7,2.341351434155423e7,USA,902957.88858883
111200,37405.72727272728,902957.88858883,1.547767580566071e7,1.547767580566071e7,USA,902957.88858883
111300,37405.72727272728,902957.88858883,1.547767580566071e7,1.547767580566071e7,USA,902957.88858883
111400,37405.72727272728,902957.88858883,1.547767580566071e7,1.547767580566071e7,USA,902957.88858883
111900,47701.47727272727,2.121288505329743e6,1.9928841899124194e7,2.2050130404453937e7,USA,2.914237002326158e6
112120,37405.72727272728,902957.88858883,8.677703633819005e7,8.677703633819005e7,USA,902957.88858883
1121A0,37405.72727272728,902957.88858883,8.677703633819005e7,8.677703633819005e7,USA,902957.88858883
112300,37405.72727272728,902957.88858883,3.084293184200618e7,3.084293184200618e7,USA,902957.88858883
112A00,47701.47727272727,2.121288505329743e6,1.1110082438224275e8,1.132221128875725e8,USA,2.914237002326158e6
113000,17690.333333333332,4.851672277596831e7,81710.73877169032,4.8598433514740005e7,USA,1.0807594844229089e6
114000,17690.333333333332,427036.905836228,10874.150602203414,10874.150602203414,USA,427036.905836228
115000,55096.06060606061,495576.44666632795,33867.2454232121,529443.6920895401,USA,1.329994794425058e6
211000,260805.99999999994,4.561379285315402e7,7.44983348511787e7,1.2011212770433272e8,USA,2.667701562825592e7
212100,20753.6,149897.16709124018,6.0892539680686004e7,6.104243684777725e7,USA,2.33670503046e7
212230,20753.6,63380.48020379083,14241.946818532264,77622.4270223231,USA,800939.3812255434
2122A0,20753.6,63380.48020379083,14241.946818532264,77622.4270223231,USA,800939.3812255434
212310,20753.6,63380.48020379083,6012.293585133124,69392.77378892395,USA,759565.7446336402
2123A0,20753.6,1.867384367044444e6,83102.68599993954,1.9504870530443834e6,USA,766921.4961253721
213111,60286.5,3.529542649083177e6,7.796265659401658e6,1.1325808308484836e7,USA,763124.6403784059
21311A,167055.41666666666,1.047686518236123e7,2.17182894569362e7,3.219515463929743e7,USA,8.561772738443168e6
221100,151479.20000000004,1.987567812736466e9,1.127416636550192e7,1.9988419791019678e9,USA,1.1137779666668043e9
221200,96870.79999999996,7.535626040826877e6,7.209818345748211e6,1.4745444386575088e7,USA,7.122599185458238e8
221300,96870.79999999996,871330.6599717897,1.84702817533419e7,1.9341612413313687e7,USA,634365.9446220727
233210,115371.83333333331,1.001273055733943e7,1.5070006288037425e7,2.5082736845376857e7,USA,8.697958162189519e6
233262,115371.83333333331,1.001273055733943e7,1.5070006288037425e7,2.5082736845376857e7,USA,8.697958162189519e6
230301,115371.83333333331,1.001273055733943e7,1.5070006288037425e7,2.5082736845376857e7,USA,8.697958162189519e6
230302,115371.83333333331,1.001273055733943e7,1.5070006288037425e7,2.5082736845376857e7,USA,8.697958162189519e6
2332A0,115371.83333333331,1.001273055733943e7,1.5070006288037425e7,2.5082736845376857e7,USA,8.697958162189519e6
233412,115371.83333333331,1.001273055733943e7,1.5070006288037425e7,2.5082736845376857e7,USA,8.697958162189519e6
2334A0,115371.83333333331,1.001273055733943e7,1.5070006288037425e7,2.5082736845376857e7,USA,8.697958162189519e6
233230,115371.83333333331,1.001273055733943e7,1.5070006288037425e7,2.5082736845376857e7,USA,8.697958162189519e6
2332D0,115371.83333333331,1.001273055733943e7,1.5070006288037425e7,2.5082736845376857e7,USA,8.697958162189519e6
233240,115371.83333333331,1.001273055733943e7,1.5070006288037425e7,2.5082736845376857e7,USA,8.697958162189519e6
233411,115371.83333333331,1.001273055733943e7,1.5070006288037425e7,2.5082736845376857e7,USA,8.697958162189519e6
2332C0,115371.83333333331,1.001273055733943e7,1.5070006288037425e7,2.5082736845376857e7,USA,8.697958162189519e6
321100,43916.416666666664,983449.640910128,175852.4874957844,1.1593021284059123e6,USA,1.6228723679007608e6
321200,33620.666666666664,752890.0368045915,134625.68928323922,887515.7260878307,USA,1.2424067140511733e6
321910,12939.774193548386,289769.0032566402,51814.14268929594,341583.14594593615,USA,478172.0272165123
3219A0,43916.416666666664,2.7426455168723697e6,175852.4874957844,2.918498004368154e6,USA,1.6228723679007608e6
327100,21438.917050691238,2.0564131280176255e6,99025.2539434137,2.1554383819610393e6,USA,1.3097725464919019e6
327200,21438.917050691238,1.8635749792374023e6,85846.86954756494,1.9494218487849673e6,USA,792246.470001536
327310,21438.917050691238,1.8635749792374023e6,85846.86954756494,1.9494218487849673e6,USA,792246.470001536
327320,8499.142857142855,738786.8489852212,34032.72685826901,772819.5758434902,USA,314074.44278502377
327330,21438.917050691238,1.8635749792374023e6,85846.86954756494,1.9494218487849673e6,USA,792246.470001536
327390,21438.917050691238,1.8635749792374023e6,85846.86954756494,1.9494218487849673e6,USA,792246.470001536
327400,12376.09022556391,1.0757899771995177e6,49557.008900718836,1.1253469861002364e6,USA,457341.8410286441
327910,8499.142857142855,738786.8489852212,34032.72685826901,772819.5758434902,USA,314074.44278502377
327991,21438.917050691238,1.8635749792374023e6,85846.86954756494,1.9494218487849673e6,USA,792246.470001536
327992,8499.142857142855,764742.8159310202,34032.72685826901,798775.5427892891,USA,314074.44278502377
327993,8499.142857142855,738786.8489852212,34032.72685826901,772819.5758434902,USA,314074.44278502377
327999,21438.917050691238,1.8635749792374023e6,85846.86954756494,1.9494218487849673e6,USA,792246.470001536
331110,22628.199999999997,6.621813541863392e6,99582.06955129877,6.7213956114146905e6,USA,881305.6010597222
331200,22628.199999999997,6.621813541863392e6,99582.06955129877,6.7213956114146905e6,USA,881305.6010597222
331314,22628.199999999997,1.2850836594973223e6,99582.06955129877,1.3846657290486211e6,USA,881305.6010597222
331313,22628.199999999997,3.42388849594721e6,3.546355701089197e6,6.970244197036407e6,USA,2.073242769536481e6
33131B,22628.199999999997,791112.4540871263,99582.06955129877,890694.523638425,USA,881305.6010597222
331410,189432.53333333335,6.622817384028546e6,833653.7466382092,7.456471130666755e6,USA,7.377871534174138e6
331420,22628.199999999997,1.2850836594973223e6,99582.06955129877,1.3846657290486211e6,USA,881305.6010597222
331490,22628.199999999997,1.2850836594973223e6,99582.06955129877,1.3846657290486211e6,USA,881305.6010597222
331510,10295.749999999998,1.665292171009523e6,45309.48518144546,1.7106016561909686e6,USA,400990.8937569331
331520,10295.749999999998,359953.3347401707,45309.48518144546,405262.8199216161,USA,400990.8937569331
332114,12939.774193548386,142668.7826601522,56945.29364775088,199614.0763079031,USA,503968.29943266563
33211A,12939.774193548386,425142.68054521794,56945.29364775088,482087.9741929688,USA,503968.29943266563
332119,12939.774193548386,142668.7826601522,56945.29364775088,199614.0763079031,USA,503968.29943266563
332200,43790.49999999998,1.438758534263888e6,192713.01370352684,1.6314715479674148e6,USA,1.7055184647124275e6
332310,3876.947368421052,42745.67339559068,17061.65061687761,59807.32401246829,USA,150996.342210305
332320,43790.49999999998,482816.56492849294,192713.01370352684,675529.5786320198,USA,1.7055184647124275e6
332410,43790.49999999998,482816.56492849294,192713.01370352684,675529.5786320198,USA,1.7055184647124275e6
332420,43790.49999999998,482816.56492849294,192713.01370352684,675529.5786320198,USA,1.7055184647124275e6
332430,43790.49999999998,1.438758534263888e6,192713.01370352684,1.6314715479674148e6,USA,1.7055184647124275e6
332500,43790.49999999998,1.438758534263888e6,192713.01370352684,1.6314715479674148e6,USA,1.7055184647124275e6
332600,43790.49999999998,8.521678847460352e6,192713.01370352684,8.714391861163879e6,USA,1.7055184647124275e6
