SECTOR_CODE,x,CO2,non_CO2,GHG6,ISO_COUNTRY,CO2_EDGAR
I00001,19814.391922063267,1.368471848947016e6,4.047113425566388e7,4.047113425566388e7,ZAF,1.368471848947016e6
I00002,1378.096574749197,95177.60500006335,10209.278007245723,10209.278007245723,ZAF,95177.60500006335
I00003,1230.0131330171866,84950.29032381563,9112.23948860126,9112.23948860126,ZAF,84950.29032381563
I00004,9967.10758130591,6.2573520357416406e7,3.526217962009401e7,9.783569997751042e7,ZAF,2.0992826224756002e7
I00005,20496.01174739663,2.200425823579361e6,120973.32879935058,2.321399152378712e6,ZAF,6.055545272468501e6
I00006,17058.68249518159,2.744689194196129e6,2.2225574620619975e6,4.967246656258127e6,ZAF,5.087737745343332e6
I00007,27296.39350611329,149327.74607337362,405035.4986646847,554363.2447380583,ZAF,4.9783271939222645e6
I00008,8843.043341540588,48376.78392662638,131216.8389114168,179593.62283804317,ZAF,1.6127977908277595e6
I00009,2024.789667787393,116.7215518764995,30044.69043134566,30161.411983222162,ZAF,369281.9515831378
I00010,2606.4682992328344,150.25314957074426,38675.8854094416,38826.13855901235,ZAF,475368.7336483139
I00011,611.2544156419847,35.23653104327616,9070.053045472612,9105.289576515888,ZAF,111480.82544728996
I00012,546.1833625693952,31.48542819160544,8104.501078910078,8135.986507101683,ZAF,99613.14069340918
I00013,3041.915320775596,5.556955291913085e6,45137.23355322199,5.602092525466307e6,ZAF,554785.7360582947
I00014,7437.0791577059745,1.478706899775354e6,110354.5442578538,1.5890614440332078e6,ZAF,1.3563774791665503e6
I00015,2421.564436900485,481477.1989330133,35932.20324249026,517409.40217550355,ZAF,441645.89308682224
I00016,23507.828892077046,6.0378299328255225e6,587578.474825225,6.625408407650747e6,ZAF,5.934315602034114e7
I00017,8994.277208022831,2.274290582580859e6,3.134085740410074e6,5.408376322990933e6,ZAF,3.0390869139780607e6
I00018,9793.809839611475,584906.1648510133,3.412685539115338e6,3.997591703966351e6,ZAF,3.3092419360839035e6
I00019,1577.9735041486742,304857.1573723516,23414.642120739416,328271.79949309106,ZAF,287791.4404784939
I00020,3143.6396369944814,607336.5877294816,46646.66223056037,653983.249960042,ZAF,573338.2576433241
I00021,797.9644400127661,57209.09495451992,11840.535813087245,69049.63076760716,ZAF,145533.07456564982
I00022,4368.515024967559,782193.6305728247,64821.88429638617,847015.5148692109,ZAF,796731.5220958894
I00023,1570.3638229631174,303296.4766836372,23301.726434167816,326598.203117805,ZAF,286403.5837722719
I00024,4956.610360706815,1.0600485914140295e6,1.2069146532845823e7,1.3129195124259852e7,ZAF,1.4155561490075449e6
I00025,8431.03380903462,1.8115294401e7,159864.2526901877,1.827515865369019e7,ZAF,2.490948363688684e6
I00026,7544.030331274502,6.876403511807641e6,143045.41987353278,7.019448931681174e6,ZAF,2.2288832466985136e6
I00027,8751.684643241912,22177.374194456417,165944.2432519743,188121.6174464307,ZAF,2.58568463077946e6
I00028,9774.669263000307,1.9126269506458864e6,185341.469672296,2.0979684203181826e6,ZAF,2.8879253668959774e6
I00029,4238.313429264844,834614.109904018,62889.897631899665,897504.0075359177,ZAF,772985.3028587683
I00030,957.338789371702,2425.962706409788,14205.400206344882,16631.36291275467,ZAF,174599.83231331946
I00031,1347.2490499870205,263618.62206336233,19991.054520253907,283609.67658361624,ZAF,245711.82200440552
I00032,22875.57957375951,28583.020388154622,339437.58093267074,368020.60132082534,ZAF,4.1720573761246023e6
I00033,16894.232198378595,2.3797058144128233e8,1.221980689751127e6,2.3919256213103345e8,ZAF,2.3043442390545022e8
I00034,3940.1140326686477,71685.83201944268,885524.7597365775,957210.5917560202,ZAF,134533.6770084784
I00035,28284.82644130409,327584.335,50327.360021766624,377911.69502176665,ZAF,5.158597989019305e6
I00036,59839.85177890347,5.378862874419682e6,443308.3238991332,5.822171198318815e6,ZAF,4.1328117928972677e6
I00037,9515.235230527223,173118.7343070537,70491.20036487331,243609.934671927,ZAF,657165.337210584
I00038,37094.5485970587,6.8442402431326e7,1.116008838317754e6,6.955841126964375e7,ZAF,3.2299640041674566e7
I00039,26906.28120011479,5.839277343771062e6,1.0189306358907497e6,6.858207979661811e6,ZAF,2.8375175541904658e7
I00040,9642.992355849023,175443.1279030691,71437.65653762314,246880.78444069225,ZAF,665988.8242089713
I00041,15814.850044293122,287732.9626219002,117160.29464370082,404893.257265601,ZAF,1.0922453318809702e6
I00042,11994.821001846993,218231.93854602793,88860.5809627617,307092.51950878964,ZAF,828416.7860790355
I00043,35805.022969387195,651431.1110679548,265252.4070142317,916683.5180821866,ZAF,2.4728574148141467e6
I00044,11690.527202807076,212695.66371193156,86606.2977382026,299301.9614501342,ZAF,807400.8750466314
I00045,1257.3209658783708,22875.505329837786,9314.542623638054,32190.04795347584,ZAF,86836.29321874521
I00046,47897.75253956333,1.127021368803797e6,980340.7903252703,2.1073621591290673e6,ZAF,3.308036211055096e6
I00047,50203.8081845052,913400.4067931044,371922.14549356303,1.2853225522866673e6,ZAF,3.4673028816963667e6
I00048,27081.305961575843,492713.1382321389,200624.9681096015,693338.1063417403,ZAF,1.8703579189766273e6
I00049,22851.578135363943,415758.11715311115,169290.10518053625,585048.2223336474,ZAF,1.5782337154357843e6
I00050,56687.946613785505,1.697659310254337e7,1.3160345922529709e7,3.0136939025073078e7,ZAF,5.850715031539974e6
