country,sic_division,n_segments,scope1_total,scope2_total,scope3_total,scope23_total,scope123_total,share_scope1,share_scope2,share_scope3
AUS,Mining,8,1.12774808125e7,20317.586329799913,1.585544212073867e6,1.6058617984036668e6,1.2883342610903667e7,0.8753536371031098,0.0015770430813975527,0.12306931981549261
AUS,"Finance, Insurance and Real Estate",10,25259.428582191467,142565.2084743136,204296.25875567473,346861.4672299883,372120.8958121798,0.06787962962160726,0.3831152995672417,0.5490050708111511
Other / suppressed small cells,Other / suppressed small cells,91,6.422937619668096e7,6.097715972187991e6,1.2389261328712884e8,1.2999032925931683e8,1.942197054559978e8,0.33070473485623064,0.0313959696204435,0.6378992955233258
AUT,"Transportation, Communications, Electric, Gas and Sanitary service",13,3.006095053001404e6,763977.6910470693,4.983420728122915e6,5.747398419169985e6,8.753493472171389e6,0.34341660990074546,0.08727689047531297,0.5693064996239415
AUT,Manufacturing,7,2.495693274536133e6,125189.91795165394,5.902666080019019e6,6.027855997970672e6,8.523549272506805e6,0.2927997709341734,0.014687533790115014,0.6925126952757116
BEL,Manufacturing,4,18721.89990234375,1.2728978529488395e6,1.2967235054295592e7,1.424013290724443e7,1.4258854807146775e7,0.0013130016509432458,0.08927069320537874,0.9094163051436781
BEL,"Transportation, Communications, Electric, Gas and Sanitary service",9,40929.23406982422,36899.27427997003,5.084053561006406e6,5.120952835286376e6,5.1618820693562e6,0.007929130018836132,0.007148414819281638,0.9849224551618823
BEL,"Finance, Insurance and Real Estate",8,21151.26799607277,19869.736016134746,1.2181335699198935e6,1.2380033059360282e6,1.259154573932101e6,0.016797991631814804,0.01578021986139901,0.9674217885067862
BRA,Mining,5,8.11093778125e6,368183.16397199477,8.10377746170003e6,8.471960625672024e6,1.6582898406922024e7,0.4891146036246798,0.02220258213837383,0.4886828142369464
BRA,Wholesale Trade,5,2.104423549432373e7,771679.0817691198,4.45084426889605e7,4.528012177072962e7,6.632435726505335e7,0.31729271661426334,0.011634927402089152,0.6710723559836476
BRA,"Transportation, Communications, Electric, Gas and Sanitary service",39,1.2985381111325031e7,1.730997083224284e6,3.564656696823695e7,3.7377564051461235e7,5.036294516278627e7,0.25783601553389834,0.03437044989385046,0.7077935345722511
BRA,Manufacturing,19,3.894620499565387e7,663722.0890205291,6.125746237796877e7,6.19211844669893e7,1.0086738946264318e8,0.3861129469408725,0.0065801454023586324,0.6073069076567688
BRA,Construction,4,18701.514617919922,2309.620824838316,643451.8414718444,645761.4622966826,664462.9769146026,0.028145307214495804,0.0034759210145355484,0.9683787717709686
BRA,Retail Trade,8,226197.36938476562,110569.82001680587,1.1869645910193184e7,1.198021573020999e7,1.2206413099594755e7,0.018531026890469177,0.009058338359896792,0.9724106347496341
BRA,"Finance, Insurance and Real Estate",13,278548.34856987,136394.51296112474,5.561501789797382e6,5.697896302758507e6,5.976444651328377e6,0.04660770153839831,0.022822015582593655,0.930570282879008
CAN,Manufacturing,35,1.932073737955284e7,3.19461110249225e6,5.400727377618992e7,5.7201884878682174e7,7.652262225823501e7,0.25248399505119723,0.04174727692566051,0.7057687280231424
CAN,Mining,37,2.8366221878825426e7,2.68122512175194e6,2.6076395375180293e7,2.875762049693223e7,5.712384237575766e7,0.49657412210183444,0.04693705833222809,0.4564888195659375
CAN,"Transportation, Communications, Electric, Gas and Sanitary service",35,1.917166738002777e7,563004.71894386,8.801603580860212e6,9.364608299804073e6,2.8536275679831844e7,0.6718349512433903,0.019729439302472344,0.30843560945413734
CAN,Services,7,8468.811226844788,38575.27211020253,1.1875163620238958e6,1.2260916341340984e6,1.2345604453609432e6,0.006859778521714097,0.031246159112869067,0.9618940623654167
CAN,Wholesale Trade,6,142783.76446533203,55541.66117187752,7.252061835907073e6,7.3076034970789505e6,7.450387261544283e6,0.019164609764960924,0.007454869018495167,0.9733805212165438
CAN,Retail Trade,4,248892.55152130127,94380.45984649452,9.15386145867123e6,9.248241918517726e6,9.497134470039027e6,0.026207120927527364,0.009937782827466555,0.9638550962450061
CAN,"Finance, Insurance and Real Estate",38,394926.49882394075,341923.163496876,2.6016474143743373e7,2.6358397307240248e7,2.675332380606419e7,0.014761773216919783,0.012780586291837582,0.9724576404912427
CHE,Manufacturing,30,836582.857509613,670052.5737604094,1.898179073774028e7,1.9651843311500687e7,2.04884261690103e7,0.04083197267611426,0.03270395530789452,0.9264640720159912
CHE,Services,22,29931.893024286255,110160.5554229947,3.94916131642624e6,4.0593218718492347e6,4.089253764873521e6,0.007319646748607209,0.026939036253819264,0.9657413169975735
CHE,"Transportation, Communications, Electric, Gas and Sanitary service",7,405263.7592563629,420710.1520298503,8.111301642455375e6,8.532011794485224e6,8.937275553741587e6,0.04534533559130326,0.04707364671706023,0.9075810176916366
CHE,"Finance, Insurance and Real Estate",14,12348.992316246033,46565.21271839619,3.855272310266889e6,3.901837522985285e6,3.914186515301531e6,0.003154932006426046,0.01189652371862229,0.9849485442749517
CHL,Manufacturing,4,641401.87109375,272558.2166246673,4.249159958332229e6,4.521718174956896e6,5.163120046050646e6,0.12422757274147996,0.05278944014349452,0.8229829871150256
COL,Manufacturing,9,7.597261590637207e6,324765.660632293,4.727695379962325e6,5.052461040594618e6,1.2649722631231826e7,0.600587207491789,0.025673737685793622,0.37373905482241737
