database,sic_division,n_sectors,share_S1,share_S2,share_S3
EMRIO,Mining,216,0.5226994547395643,0.06023018991564699,0.41707035534478887
EMRIO,"Finance, Insurance and Real Estate",585,0.03687816765445935,0.03691056299036188,0.9262112693551788
EMRIO,Services,528,0.07499366041775159,0.08747094150446218,0.8375353980777863
EMRIO,Wholesale Trade,180,0.16773583840105646,0.05279106899194512,0.7794730926069985
EMRIO,"Transportation, Communications, Electric, Gas and Sanitary service",572,0.5694724918746147,0.03525347394519452,0.39527403418019075
EMRIO,Manufacturing,2493,0.25525335562542,0.052795531894354,0.691951112480226
EMRIO,"Agriculture, Forestry and Fishing",14,0.18002208398234104,0.09204625739204773,0.7279316586256113
EMRIO,Construction,113,0.047143645627942425,0.017665148452309813,0.9351912059197478
EMRIO,Retail Trade,348,0.04650306727153872,0.13445261694535657,0.8190443157831048
EMRIO,Public Administration,46,0.25064824872592484,0.03133165204727359,0.7180200992268017
EXIOBASE v3.9.6,"Agriculture, Forestry and Fishing",19,0.6213648377349689,0.022950248686866535,0.3556849135781646
EXIOBASE v3.9.6,Mining,19,0.572417021905872,0.10115708179704276,0.32642589629708524
EXIOBASE v3.9.6,Construction,1,0.06894648830048179,0.029746810279223317,0.9013067014202949
EXIOBASE v3.9.6,Manufacturing,94,0.23524010321605804,0.08235477489265362,0.6824051218912884
EXIOBASE v3.9.6,"Transportation, Communications, Electric, Gas and Sanitary service",46,0.6682652083937951,0.07097954449364005,0.2607552471125648
EXIOBASE v3.9.6,Wholesale Trade,1,0.13148414766690475,0.0814668334231111,0.7870490189099841
EXIOBASE v3.9.6,Retail Trade,4,0.10492932590576053,0.1392988974646555,0.7557717766295841
EXIOBASE v3.9.6,"Finance, Insurance and Real Estate",4,0.10699987957167129,0.25919594216007563,0.6338041782682531
EXIOBASE v3.9.6,Services,11,0.16128396580209062,0.10969652678954327,0.7290195074083662
EXIOBASE v3.9.6,Public Administration,1,0.2198526707189607,0.0710491548427834,0.7090981744382558
GLORIA v060,"Agriculture, Forestry and Fishing",23,0.6752263645833784,0.03170934115279503,0.2930642942638266
GLORIA v060,Mining,17,0.47647134815131603,0.10301219422467948,0.42051645762400447
GLORIA v060,Construction,2,0.07165022911612183,0.043843105777878186,0.884506665106
GLORIA v060,Manufacturing,51,0.20833312408586532,0.08475883539725873,0.706908040516876
GLORIA v060,"Transportation, Communications, Electric, Gas and Sanitary service",13,0.6372673773079909,0.10196667616717767,0.2607659465248315
GLORIA v060,Wholesale Trade,1,0.002425341361574722,0.21115368689145436,0.7864209717469709
GLORIA v060,Retail Trade,1,0.001642135138586655,0.18418132448710767,0.8141765403743056
GLORIA v060,"Finance, Insurance and Real Estate",2,0.0019245982185563057,0.30958247803624817,0.6884929237451954
GLORIA v060,Services,9,0.007447483524230807,0.1592521704851751,0.8333003459905942
GLORIA v060,Public Administration,1,0.1161071177744515,0.13906136613642744,0.744831516089121
